"Age","LuminRange"
1685,0.121
1686,0.046
1687,0.125
1688,0.219
1689,0.283
1690,0.148
1691,0.195
1692,0.194
1693,0.21
1694,0.227
1695,0.236
1696,0.043
1697,0.044
1698,0.142
1699,0.192
1700,0.201
1701,0.214
1702,0.058
1703,0.35
1704,0.249
1705,0.129
1706,0.249
1707,0.367
1708,0.377
1709,0.149
1710,0.181
1711,0.205
1712,0.215
1713,0.377
1714,0.134
1715,0.135
1716,0.113
1717,0.261
1718,0.157
1719,0.241
1720,0.195
1721,0.218
1722,0.165
1723,0.314
1724,0.131
1725,0.04
1726,0.142
1727,0.347
1728,0.159
1729,0.285
1730,0.259
1731,0.192
1732,0.207
1733,0.17
1734,0.391
1735,0.444
1736,0.356
1737,0.198
1738,0.128
1739,0.296
1740,0.111
1741,0.114
1742,0.135
1743,0.106
1744,0.231
1745,0.018
1746,0.038
1747,0.098
1748,0.09
1749,0.297
1750,0.109
1751,0.048
1752,0.007
1753,0.393
1754,0.049
1755,0.376
1756,0.391
1757,0.122
1758,0.103
1759,0.348
1760,0.049
1761,0.41
1762,0.236
1763,0.177
1764,0.237
1765,0.105
1766,0.247
1767,0.117
1768,0.219
1769,0.144
1770,0.087
1771,0.235
1772,0.206
1773,0.146
1774,0.082
1775,0.062
1776,0.344
1777,0.059
1778,0.099
1779,0.038
1780,0.201
1781,0.124
1782,0.259
1783,0.209
1784,0.058
1785,0.303
1786,0.169
1787,0.118
1788,0.22
1789,0.133
1790,0.1
1791,0.16
1792,0.344
1793,0.317
1794,0.21
1795,0.051
1796,0.108
1797,0.179
1798,0.114
1799,0.044
1800,0.23
1801,0.032
1802,0.147
1803,0.337
1804,0.185
1805,0.117
1806,0.079
1807,0.11
1808,0.154
1809,0.095
1810,0.168
1811,0.175
1812,0.187
1813,0.356
1814,0.128
1815,0.326
1816,0.304
1817,0.185
1818,0.085
1819,0.222
1820,0.113
1821,0.085
1822,0.454
1823,0.02
1824,0.222
1825,0.186
1826,0.249
1827,0.137
1828,0.43
1829,0.113
1830,0.088
1831,0.098
1832,0.142
1833,0.375
1834,0.36
1835,0.089
1836,0.135
1837,0.26
1838,0.079
1839,0.148
1840,0.085
1841,0.118
1842,0.174
1843,0.161
1844,0.215
1845,0.114
1846,0.216
1847,0.121
1848,0.135
1849,0.173
1850,0.239
1851,0.202
1852,0.234
1853,0.147
1854,0.073
1855,0.161
1856,0.318
1857,0.086
1858,0.155
1859,0.086
1860,0.467
1861,0.116
1862,0.117
1863,0.243
1864,0.265
1865,0.201
1866,0.163
1867,0.399
1868,0.326
1869,0.087
1870,0.248
1871,0.221
1872,0.145
1873,0.228
1874,0.05
1875,0.121
1876,0.136
1877,0.184
1878,0.259
1879,0.222
1880,0.096
1881,0.2
1882,0.22
1883,0.168
1884,0.092
1885,0.268
1886,0.057
1887,0.085
1888,0.192
1889,0.191
1890,0.17
1891,0.347
1892,0.188
1893,0.19
1894,0.524
1895,0.272
1896,0.302
1897,0.489
1898,0.025
1899,0.49
1900,0.189
1901,0.251
1902,0.073
1903,0.119
1904,0.113
1905,0.229
1906,0.328
1907,0.125
1908,0.268
1909,0.057
1910,0.259
1911,0.311
1912,0.351
1913,0.212
1914,0.155
1915,0.157
1916,0.161
1917,0.271
1918,0.151
1919,0.07
1920,0.115
1921,0.198
1922,0.271
1923,0.15
1924,0.263
1925,0.235
1926,0.116
1927,0.329
1928,0.225
1929,0.228
1930,0.306
1931,0.227
1932,0.05
1933,0.293
1934,0.239
1935,0.207
1936,0.13
1937,0.169
1938,0.162
1939,0.216
1940,0.346
1941,0.238
1942,0.306
1943,0.224
1944,0.111
1945,0.123
1946,0.093
1947,0.446
1948,0.145
1949,0.32
1950,0.276
1951,0.142
1952,0.147
1953,0.237
1954,0.319
1955,0.439
1956,0.621
1957,0.248
1958,0.359
1959,0.242
1960,0.191
1961,0.152
1962,0.197
1963,0.27
1964,0.123
1965,0.094
1966,0.164
1967,0.154
1968,0.353
1969,0.192
1970,0.225
1971,0.604
1972,0.22
1973,0.161
1974,0.419
1975,0.14
1976,0.136
1977,0.386
1978,0.19
1979,0.291
1980,0.074
1981,0.3
1982,0.157
1983,0.314
1984,0.111
1985,0.108
1986,0.12
1987,0.097
1988,0.116
1989,0.218
1990,0.27
1991,0.338
1992,0.302
1993,0.125
1994,0.129
1995,0.142
