Age,BaCa,Cd,Mn,MnCa,P,Y,Distance
1989.59726,0.0058916389,0.008586132,0.25027243,0.00045618,25.13697201,0.083977953,138.0365385
1989.630137,0.0058515634,0.00927055,0.239840743,0.000437166,20.18246123,0.070491866,137.8150481
1989.665753,0.0057850907,0.007866636,0.276511874,0.000504008,15.05641074,0.063412043,137.5935577
1989.69863,0.0057121081,0.003779622,0.299051688,0.000545092,16.87844854,0.065834885,137.3720673
1989.734247,0.0055892816,0.008802501,0.315577117,0.000575213,19.5291622,0.070549047,137.1505769
1989.767123,0.0053907491,0.00998072,0.335830884,0.000612131,20.80969779,0.073745668,136.9290865
1989.80274,0.0048859567,0.015113866,0.337832098,0.000615778,19.40172917,0.081658123,136.7075962
1989.835616,0.0046569157,0.014448733,0.355296883,0.000647612,24.02523684,0.086955779,136.4861058
1989.871233,0.0045825020,0.018975069,0.344265185,0.000627504,21.19536802,0.068014463,136.2646154
1989.876712,0.0045178455,0.018381288,0.334923328,0.000610476,26.28648968,0.067420452,136.043125
1989.884932,0.0046103196,0.017766045,0.376476623,0.000686217,24.82978929,0.062603761,135.8216346
1989.893151,0.0045037780,0.023228351,0.424737485,0.000774184,27.35398619,0.058857243,135.6001442
1989.89863,0.0043005789,0.026415713,0.42919762,0.000782313,32.48425848,0.079710789,135.3786538
1989.906849,0.0043867672,0.023293543,0.428919691,0.000781807,24.26589563,0.072379987,135.1571635
1989.915068,0.0043384274,0.018269911,0.403837364,0.000736088,25.34717431,0.083138717,134.9356731
1989.920548,0.0043464671,0.015359513,0.386121838,0.000703798,20.77463454,0.075674248,134.7141827
1989.928767,0.0043531804,0.020915817,0.407330204,0.000742455,22.99619407,0.073738484,134.4926923
1989.936986,0.0044311922,0.025314575,0.429581351,0.000783013,27.26809185,0.085440883,134.2712019
1989.942466,0.0044801236,0.030938831,0.438833394,0.000799877,24.63068989,0.08341063,134.0497115
1989.950685,0.0046305553,0.045030342,0.41815838,0.000762192,35.49780037,0.077935219,133.8282212
1989.958904,0.0045686527,0.015854947,0.381594182,0.000695545,17.02215089,0.056728721,133.6067308
1989.964384,0.0047640077,0.021251235,0.28400122,0.000517659,24.9248529,0.085312075,133.3852404
1989.972603,0.0048620133,0.011036224,0.304696978,0.000555382,20.00828182,0.090222781,133.16375
1989.980822,0.0048180561,0.013556092,0.394730214,0.000719489,21.86976027,0.097464082,132.9422596
1989.986301,0.0047936449,0.015300537,0.415434052,0.000757226,19.77708874,0.069695141,132.7207692
1989.994521,0.0047811694,0.032053039,0.40059844,0.000730185,19.94390188,0.068401836,132.4992788
1990.00274,0.0047928482,0.015836007,0.311224146,0.000567279,17.69022287,0.060260047,132.2777885
1990.008219,0.0047668025,0.012287811,0.394074735,0.000718294,16.62138021,0.060648165,132.0562981
1990.016438,0.0045944001,0.008356333,0.476063768,0.000867738,12.6168142,0.051044355,131.8348077
1990.024658,0.0045625415,0.006785155,0.520295949,0.000948362,11.43267007,0.042539405,131.6133173
1990.030137,0.0046344041,0.009923403,0.548387172,0.000999564,14.42384468,0.049231456,131.3918269
1990.038356,0.0045311983,0.015098303,0.436388363,0.00079542,13.5462184,0.045800536,131.1703365
1990.046575,0.0044024175,0.01439631,0.395465172,0.000720828,15.73619826,0.050920294,130.9488462
1990.052055,0.0043888674,0.021592881,0.400827037,0.000730601,15.25106387,0.046861837,130.7273558
1990.060274,0.0044054248,0.015087001,0.391811581,0.000714169,18.90943191,0.054852558,130.5058654
1990.068493,0.0042490858,0.02700742,0.428905117,0.00078178,18.32587181,0.051546357,130.284375
1990.073973,0.0041782320,0.016701042,0.417687307,0.000761333,19.04193835,0.052192583,130.0628846
1990.082192,0.0041079808,0.015323416,0.412515818,0.000751907,18.01593509,0.058431685,129.8413942
1990.090411,0.0040565541,0.015703637,0.38591959,0.000703429,18.8736568,0.078099851,129.6199038
1990.09589,0.0039978954,0.006828198,0.374351856,0.000682344,12.93160357,0.039379539,129.3984135
1990.10411,0.0040881382,0.005646879,0.358085633,0.000652695,13.37471803,0.050771877,129.1769231
1990.112329,0.0041273291,0.008555007,0.346067138,0.000630789,13.81206119,0.046601408,128.9554327
1990.120548,0.0042383623,0.008303305,0.332550964,0.000606152,14.74335067,0.043375549,128.7339423
1990.136986,0.0043463523,0.008872895,0.344484571,0.000627904,16.311715,0.05314687,128.5124519
1990.156164,0.0042954510,0.010643044,0.393284758,0.000716854,17.85600588,0.051234419,128.2909615
1990.172603,0.0043038177,0.017841876,0.41695163,0.000759992,25.04544577,0.052058325,128.0694712
1990.191781,0.0044471136,0.012749605,0.538443313,0.000981439,16.88082913,0.060165956,127.8479808
1990.208219,0.0047073349,0.009353748,0.494358697,0.000901085,15.07024745,0.0605984,127.6264904
1990.227397,0.0057708468,0.0066936,0.354055162,0.000645349,11.90521901,0.074841906,127.405
1990.243836,0.0065755554,0.009080389,0.33062936,0.00060265,14.06484394,0.073762959,127.1835096
1990.263014,0.0076225265,0.006667272,0.306350919,0.000558397,18.7918957,0.081731932,126.9620192
1990.279452,0.0076620549,0.007923207,0.299340429,0.000545618,13.52312479,0.06224794,126.7405288
1990.29863,0.0074035663,0.007850464,0.281782381,0.000513615,19.33140643,0.079736117,126.5190385
1990.315068,0.0068505471,0.005669056,0.285157093,0.000519766,12.97506508,0.07144235,126.2975481
1990.334247,0.0063229524,0.012396806,0.237595246,0.000433073,18.32351961,0.073452867,126.0760577
1990.350685,0.0060100972,0.015852943,0.172468753,0.000314365,15.67907441,0.064031193,125.8545673
1990.369863,0.0056793332,0.010552431,0.152659148,0.000278257,14.55773303,0.054777511,125.6330769
1990.386301,0.0058120091,0.013455031,0.184757655,0.000336764,17.05659845,0.072706941,125.4115865
1990.405479,0.0058247859,0.015032697,0.20838346,0.000379828,23.54182759,0.085807355,125.1900962
1990.421918,0.0058499614,0.011882889,0.197604656,0.000360181,19.27194555,0.077014067,124.9686058
1990.441096,0.0058186595,0.008167606,0.158721222,0.000289307,16.80048844,0.072705371,124.7471154
1990.457534,0.0059597560,0.008447735,0.17062974,0.000311013,13.92956893,0.0695383,124.525625
1990.476712,0.0058632525,0.006593042,0.182122165,0.00033196,16.28238236,0.081856696,124.3041346
1990.49589,0.0053491554,0.008808334,0.191008079,0.000348157,18.96376572,0.088645661,124.0826442
1990.528767,0.0049833336,0.007690604,0.194052054,0.000353705,17.28964913,0.085422967,123.8611538
1990.564384,0.0047831322,0.009427958,0.248881536,0.000453645,15.6398019,0.084257741,123.6396635
1990.6,0.0046961503,0.006318005,0.280288742,0.000510892,16.26477506,0.060726989,123.4181731
1990.635616,0.0047293019,0.001345811,0.28227488,0.000514512,13.63248069,0.059545675,123.1966827
1990.668493,0.0046866186,0.002950028,0.269993816,0.000492127,16.22845905,0.065057688,122.9751923
1990.70411,0.0047088378,0.006987123,0.256585751,0.000467688,17.07095924,0.068170394,122.7537019
1990.739726,0.0047164528,0.007246213,0.254026739,0.000463023,16.86199661,0.067724535,122.5322115
1990.775342,0.0048105533,0.008502879,0.256816863,0.000468109,19.34056737,0.070739947,122.3107212
1990.808219,0.0045850341,0.017742199,0.257738244,0.000469788,20.31607345,0.066913294,122.0892308
1990.843836,0.0048001132,0.012353365,0.29327318,0.000534559,20.10080111,0.07478104,121.8677404
1990.879452,0.0046875482,0.016852552,0.352038438,0.000641673,14.93696593,0.058709945,121.64625
1990.915068,0.0044112686,0.001971134,0.36068584,0.000657435,13.15773807,0.05032766,121.4247596
1990.928767,0.0044846554,0.009867808,0.389463909,0.000709889,15.15287834,0.049512179,121.2032692
1990.942466,0.0041352554,0.012240676,0.38696893,0.000705342,15.56209681,0.037615239,120.9817788
1990.956164,0.0042470890,0.01988529,0.407616796,0.000742977,18.67720654,0.047829668,120.7602885
1990.972603,0.0044784796,0.018205105,0.415253593,0.000756897,17.45956023,0.045426664,120.5387981
1990.986301,0.0048990613,0.020223134,0.453108875,0.000825897,22.48966566,0.059372368,120.3173077
1991,0.0047167765,0.019852486,0.47771378,0.000870746,24.25983255,0.082370565,120.0958173
1991.016438,0.0045304994,0.02002707,0.428670106,0.000781352,18.48056816,0.063023798,119.8743269
1991.030137,0.0047931745,0.023189898,0.389276482,0.000709548,21.39957155,0.063980242,119.6528365
1991.043836,0.0046358126,0.015089422,0.387288495,0.000705924,20.47055202,0.070156416,119.4313462
1991.057534,0.0046253423,0.017817036,0.395958828,0.000721728,19.91750777,0.07309293,119.2098558
1991.073973,0.0044277005,0.010203984,0.394957485,0.000719903,18.67073587,0.066020619,118.9883654
1991.087671,0.0044568595,0.008641513,0.43927381,0.00080068,15.77208407,0.060521583,118.766875
1991.10137,0.0040671387,0.006879533,0.454267003,0.000828008,14.70849125,0.053976895,118.5453846
1991.117808,0.0039478059,0.013066831,0.443463696,0.000808317,16.45362665,0.053592493,118.3238942
1991.123288,0.0037965194,0.01220341,0.394484553,0.000719041,22.52603707,0.063960046,118.1024038
1991.128767,0.0041066137,0.012991995,0.365343369,0.000665924,24.32663207,0.083879742,117.8809135
