Age,BaCa,BCa,MgCa,Mn,SrCa,UCa,Dist
1987.6535,0.001615253,0.536951457,3.372901947,0.103623858,9.03015151,0.001125811,74.26
1987.7113,0.001888881,0.511885579,3.636483114,0.174869359,9.006068653,0.001075707,73.92
1987.769,0.001762127,0.504285197,3.706201773,0.117686424,8.859948625,0.001055615,73.58
1987.7957,0.001896115,0.50833007,3.66861217,0.096405669,8.98615942,0.001119676,73.24
1987.8224,0.00196974,0.497347755,3.519522457,0.308925925,9.014381934,0.001162139,72.9
1987.8492,0.002224444,0.484039122,3.76261748,0.170557137,8.95260004,0.001116271,72.55
1987.8759,0.00259762,0.432036066,3.581992141,0.119549666,8.86438969,0.001093106,72.21
1987.9026,0.002857468,0.411256121,3.488788861,0.116794522,8.864824339,0.001124165,71.87
1987.9293,0.004469005,0.414925916,3.537760017,0.1234194,8.967873487,0.001090323,71.53
1987.9561,0.005205844,0.437277142,3.228605095,0.156300791,8.86347574,0.001128178,71.19
1987.9828,0.002462399,0.441887923,3.201546555,0.134312609,8.836959435,0.001166545,70.85
1988.0095,0.002047202,0.45231324,3.424166239,0.117303886,8.815835082,0.001085568,70.51
1988.0362,0.002251396,0.44853708,3.548275302,0.123214954,8.979715348,0.001061652,70.17
1988.0629,0.002346547,0.422707219,3.462615164,0.103310513,8.763963536,0.001052198,69.83
1988.0897,0.002310757,0.42359435,3.712410168,0.094909427,8.8925505,0.001033443,69.49
1988.1164,0.002285212,0.404805884,3.832918897,0.093295974,8.939959006,0.001108489,69.15
1988.1431,0.002251132,0.407351899,4.051119995,0.089399354,8.731036851,0.001008137,68.81
1988.1698,0.002276391,0.431606393,3.710883946,0.138514681,8.768955951,0.001071484,68.46
1988.1966,0.002002128,0.429360181,3.6820869,0.118393864,8.884989102,0.001049543,68.12
1988.2233,0.001853879,0.422830585,3.68425055,0.141463931,8.746569757,0.000991067,67.78
1988.25,0.00178652,0.432630181,3.544115934,0.107220868,8.741442556,0.001033579,67.44
1988.2718,0.001916639,0.457998903,3.376764388,0.134517049,8.89481035,0.001139285,67.1
1988.2936,0.002152415,0.446891282,3.786546872,0.107811991,8.908714245,0.001030159,66.76
1988.3154,0.002084802,0.432175103,3.426003819,0.113925113,8.941397339,0.001078984,66.42
1988.3372,0.00208549,0.436498803,3.396771738,0.092114086,8.912622507,0.001135951,66.08
1988.359,0.002052099,0.441446605,3.548017475,0.083963668,8.941448432,0.00107644,65.74
1988.3808,0.002033412,0.471684538,3.722797156,0.099373167,8.973598395,0.00106855,65.4
1988.4026,0.002089766,0.460795657,3.548035042,0.111867205,8.960093092,0.001091191,65.06
1988.4244,0.001720476,0.479773952,3.179633057,0.108092002,9.042381358,0.001141613,64.72
1988.4462,0.002074829,0.493935049,3.603868044,0.114239987,8.991440247,0.001098244,64.37
1988.468,0.00198147,0.486712114,3.545863494,0.111245615,8.972617528,0.0011281,64.03
1988.4898,0.001934193,0.494928612,3.689350572,0.115140735,9.113396477,0.001100716,63.69
1988.5116,0.001951706,0.507248758,3.474015564,0.141789571,9.085736885,0.001053628,63.35
1988.5334,0.001858059,0.509216663,3.244449272,0.104020642,9.144006146,0.001228024,63.01
1988.5552,0.001758284,0.521430391,3.096565496,0.103531567,9.188282629,0.001149581,62.67
1988.577,0.001872269,0.505581911,2.805976851,0.103127125,9.195688792,0.001198006,62.33
1988.654,0.002081508,0.490883073,3.170341387,0.09353224,8.996492639,0.001193983,61.99
1988.731,0.002029291,0.468639541,3.34134603,0.11773723,8.899589473,0.001079079,61.65
1988.7517,0.002394127,0.450262511,3.253514834,0.111106597,9.013805786,0.001076456,61.31
1988.7724,0.00295899,0.4539805,3.337520738,0.12412285,8.869323781,0.001126168,60.97
1988.7931,0.003254625,0.429075216,3.376593505,0.16834971,8.80396576,0.001039549,60.63
1988.8138,0.003590603,0.411872946,3.823918356,0.238929219,8.663490792,0.000968736,60.28
1988.8345,0.004189151,0.397434267,3.909256186,0.218583999,8.851574244,0.000977222,59.94
1988.8552,0.004536937,0.40532031,4.103272719,0.271631181,8.798858539,0.000988158,59.6
1988.8758,0.003765958,0.405299211,3.9376494,0.24153174,8.703667846,0.001028114,59.26
1988.8965,0.002049359,0.397933022,3.51809522,0.175206438,8.795379635,0.001055938,58.92
