"Age","SrCa"
2009.33,8.96
2009.41,9.137
2009.5,9.184
2009.58,9.272
2009.66,9.269
2009.75,9.201
2009.83,9.071
2009.92,9.027
2010,8.939
2010.08,8.885
2010.18,8.899
2010.28,8.972
2010.38,9.093
2010.48,9.219
2010.58,9.309
2010.65,9.25
2010.72,9.216
2010.8,9.13
2010.87,9.011
2010.94,8.908
2011.01,8.931
2011.08,8.884
2011.17,8.901
2011.25,8.969
2011.33,9.035
2011.42,9.162
2011.5,9.284
2011.58,9.331
2011.68,9.299
2011.78,9.1
2011.88,8.976
2011.98,8.934
2012.08,8.898
2012.17,8.973
2012.25,8.989
2012.33,9.06
2012.42,9.246
2012.5,9.335
2012.58,9.389
2012.68,9.226
2012.78,9.144
2012.88,8.995
2012.98,8.941
2013.08,8.922
2013.16,8.964
2013.23,9.002
2013.3,9.022
2013.37,9.159
2013.44,9.215
2013.51,9.258
2013.58,9.263
2013.71,9.166
2013.83,9.083
2013.96,8.985
2014.08,8.892
2014.21,8.916
