Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,La,LaCa,LiCa,Lu,LuCa,MgCa,Mn,MnCa,P,PbCa,PCa,Pr,PrCa,SrCa,UCa,Y,Yb,YbCa,YCa,ZnCa,Distance
1989.911031,0.002643782,0.002382871,0.341424864,0.007239667,6.45E-06,128.2344726,9.16E-05,165.6921975,0.000119384,0.005011683,13.62274923,7.79E-06,2.032279835,0.251646586,0.000458441,6.985114766,0.000104626,0.022570521,29.79330916,2.12E-05,9.588121332,0.001800033,750.928578,78.23244918,4.52E-05,0.000845343,0.001868274,186.230406
1989.930368,0.002548155,0.002334782,0.354409877,0.006068891,5.40E-06,89.38569268,6.38E-05,131.6897125,9.49E-05,0.005443858,9.229104937,5.28E-06,2.298546543,0.291381902,0.00053083,2.182189851,0.000101752,0.00705116,19.14070929,1.36E-05,9.435441277,0.001739118,570.13313,60.04542219,3.47E-05,0.000641816,0.001780593,185.979083
1989.949704,0.003863014,0.003830187,0.364629635,0.012904207,1.15E-05,104.4063167,7.46E-05,130.1560424,9.38E-05,0.005776119,7.477582291,4.28E-06,2.320349863,0.34841114,0.000634723,10.00948322,0.000137534,0.032342955,25.26733113,1.79E-05,9.245113743,0.001673162,581.201652,50.76903249,2.94E-05,0.000654276,0.002275667,185.72776
1989.96904,0.003096741,0.003066724,0.320484048,0.008427676,7.50E-06,108.8073355,7.77E-05,154.3592078,0.000111218,0.004944899,9.366306547,5.36E-06,1.954559059,0.283718568,0.000516869,6.212763151,0.00012938,0.020074874,28.23371084,2.01E-05,9.400312903,0.001783337,721.02701,60.51325505,3.50E-05,0.000811682,0.001922198,185.476437
1989.988377,0.00447387,0.004223218,0.30390668,0.006982384,6.22E-06,151.3449995,0.000108105,209.5618211,0.000150993,0.004868141,13.61662403,7.79E-06,2.017258871,0.356177492,0.000648872,7.140395177,0.000143882,0.023072268,38.71356078,2.75E-05,9.430889707,0.001737239,889.186247,82.3090414,4.76E-05,0.001000984,0.003009506,185.225114
1990.007713,0.002879286,0.003032324,0.316031192,0.004374277,3.89E-06,174.7175741,0.0001248,252.9236785,0.000182236,0.004899341,13.94531641,7.98E-06,2.208389193,0.354841864,0.000646439,7.548800732,0.000157336,0.024391921,44.93822702,3.19E-05,9.494340703,0.00157436,963.445901,89.14215961,5.16E-05,0.00108458,0.002751863,184.973791
1990.02705,0.003421471,0.003247758,0.323794841,0.00953,8.48E-06,161.1299,0.000115094,223.5690517,0.000161085,0.00498024,14.34592812,8.21E-06,2.213524108,0.398921047,0.000726741,7.735039232,0.000208569,0.024993701,41.10542212,2.92E-05,9.484397202,0.001612642,874.803566,90.98496275,5.26E-05,0.000984793,0.003280858,184.722468
1990.046386,0.006168623,0.006598769,0.338258616,0.011228715,1.00E-05,140.926105,0.000100663,190.7299655,0.000137424,0.005479316,15.02172791,8.59E-06,2.755994276,0.526677472,0.000959483,7.983842422,0.000232309,0.025797641,36.85101834,2.62E-05,9.4927621,0.00165947,803.054328,70.12271339,4.06E-05,0.000904022,0.004934597,184.471145
1990.065723,0.005024537,0.004397679,0.335381987,0.013023941,1.16E-05,167.3481199,0.000119536,227.5040486,0.000163921,0.005736826,15.13724526,8.66E-06,2.663952081,0.510801372,0.00093056,7.241423026,0.000230464,0.023398712,44.90138903,3.19E-05,9.596778305,0.001737439,883.900702,71.79791763,4.15E-05,0.000995034,0.003659544,184.219822
1990.085059,0.004494966,0.00465126,0.358436651,0.00132625,1.18E-06,150.9764356,0.000107842,212.8047408,0.000153329,0.005677746,16.01278357,9.16E-06,2.604946728,0.389429583,0.000709449,4.579341491,0.000142454,0.014796911,41.69365314,2.96E-05,9.599719866,0.001660626,835.347431,76.21590691,4.41E-05,0.000940376,0.002659128,183.968499
1990.104396,0.003499003,0.00360955,0.354779639,0.017799442,1.58E-05,166.246141,0.000118749,240.4955136,0.000173281,0.005628272,12.00545705,6.87E-06,2.428069657,0.312628773,0.000569536,3.406759376,0.000135853,0.011008027,40.30218693,2.86E-05,9.501025631,0.001548929,908.08608,80.57507162,4.66E-05,0.00102226,0.002694871,183.717176
1990.187271,0.004116783,0.003931654,0.328661237,0.001316377,1.17E-06,168.5385851,0.000120386,256.806275,0.000185033,0.005421534,13.60027077,7.78E-06,1.879322312,0.234783166,0.00042772,6.809578008,0.000163435,0.022003321,44.40105117,3.15E-05,9.823541646,0.00181122,912.417155,90.76304093,5.25E-05,0.001027135,0.002534184,183.465853
1990.270146,0.004141818,0.004091878,0.336197679,0.000303145,2.70E-07,192.7589843,0.000137687,279.6714915,0.000201508,0.005410903,14.06959028,8.05E-06,1.839059721,0.201615276,0.000367296,8.001515041,0.000116614,0.025854745,46.09898022,3.27E-05,9.930818652,0.001797593,1001.257212,87.61201589,5.07E-05,0.001127145,0.001652428,183.21453
1990.353022,0.003886108,0.003990001,0.345250106,0.000334924,2.98E-07,177.4323888,0.000126739,269.4838958,0.000194168,0.005425241,14.31183416,8.19E-06,1.943728979,0.237361922,0.000432418,2.899411479,0.000118819,0.009368669,46.1433188,3.28E-05,9.680635632,0.001708606,914.783429,93.60483001,5.41E-05,0.001029799,0.001520059,182.963207
1990.435897,0.004903613,0.004575004,0.357591408,0.004300973,3.83E-06,166.0997939,0.000118644,224.2249977,0.000161558,0.005458861,11.51805914,6.59E-06,2.346504325,0.329491973,0.000600257,3.130237791,0.000152583,0.010114522,40.8208565,2.90E-05,9.566583687,0.001758253,760.069879,66.7077685,3.86E-05,0.000855634,0.002840183,182.711884
1990.518772,0.004275818,0.004448076,0.351842704,0.009299889,8.28E-06,164.27,0.000117337,219.1029226,0.000157867,0.005220193,11.59332959,6.63E-06,2.217650148,0.300998403,0.000548349,3.552839368,0.000124347,0.011480046,41.80721212,2.97E-05,9.622539863,0.001808853,750.456181,69.54012685,4.02E-05,0.000844811,0.002193979,182.460561
1990.601648,0.004921246,0.004771919,0.335135009,0.016034696,1.43E-05,171.0307701,0.000122166,228.9600554,0.00016497,0.005644776,10.64429879,6.09E-06,1.949493523,0.267306877,0.00048697,4.883700526,0.000126777,0.015780366,40.63630656,2.89E-05,9.993925297,0.001968083,732.573082,68.97305622,3.99E-05,0.00082468,0.002672125,182.209238
1990.640321,0.004480245,0.004544204,0.34585474,0.012546202,1.12E-05,154.2382824,0.000110172,215.198869,0.000155054,0.005494799,8.007527742,4.58E-06,1.953909275,0.219040681,0.000399041,7.829254808,0.00013782,0.025298133,36.91246808,2.62E-05,9.937319164,0.001962793,636.958024,50.99314729,2.95E-05,0.000717043,0.002919763,181.957915
1990.678994,0.005202456,0.005131675,0.354090409,0.008825474,7.86E-06,151.5875009,0.000108278,199.8150688,0.00014397,0.005418651,8.793515279,5.03E-06,2.064901909,0.28584289,0.000520739,6.941258843,0.000138231,0.022428813,36.82236592,2.62E-05,9.682106458,0.001881293,632.187317,52.05489618,3.01E-05,0.000711672,0.003367991,181.706592
1990.717667,0.005086461,0.005188389,0.34876827,0.011269552,1.00E-05,170.1216255,0.000121517,229.7591582,0.000165545,0.004934199,10.58269444,6.05E-06,1.847032074,0.320879839,0.000584568,6.127724482,0.000161947,0.019800095,41.52955372,2.95E-05,9.892152361,0.002009465,686.972853,58.93633673,3.41E-05,0.000773346,0.00391315,181.455269
1990.756339,0.004609935,0.004535091,0.372451147,0.012703963,1.13E-05,161.1913808,0.000115138,203.2147127,0.00014642,0.004937642,8.978891909,5.14E-06,1.839198524,0.322973536,0.000588382,6.599081422,0.000111522,0.021323158,37.06564715,2.63E-05,9.754617971,0.001977092,626.792646,51.20133678,2.96E-05,0.000705599,0.003922095,181.203946
1990.795012,0.005046868,0.004816134,0.425017668,0.000555501,4.95E-07,149.2427022,0.000106603,202.6560202,0.000146017,0.00526497,9.936226805,5.68E-06,2.235280678,0.361519237,0.000658603,-1.130636025,0.000107791,-0.003653346,34.2698983,2.43E-05,9.620808689,0.001843854,631.64006,53.59135139,3.10E-05,0.000711056,0.003494749,180.952623
1990.833685,0.005327129,0.005444758,0.439209443,0.013220573,1.18E-05,126.9038726,9.06E-05,173.2875855,0.000124857,0.005580685,6.696177769,3.83E-06,2.467877625,0.458905113,0.000836018,1.872802335,0.000131621,0.006051457,29.82312916,2.12E-05,9.440702833,0.001778526,494.309332,35.93903869,2.08E-05,0.000556459,0.004911946,180.7013
1990.872358,0.006088074,0.005990491,0.471102949,0.00853704,7.60E-06,113.7567432,8.13E-05,159.8413293,0.000115168,0.005479548,6.392882955,3.66E-06,2.649603971,0.448288772,0.000816677,-0.702007015,0.000141844,-0.002268347,24.56886194,1.75E-05,9.230132069,0.001619048,468.325649,36.46742475,2.11E-05,0.000527208,0.003793859,180.449977
1990.911031,0.005948382,0.005935192,0.464531606,0.066239308,5.90E-05,104.4372862,7.46E-05,145.0588701,0.000104517,0.005365108,6.900791325,3.95E-06,2.808879467,0.474508426,0.000864443,-0.868155118,9.47E-05,-0.00280521,26.48017688,1.88E-05,9.290206026,0.001580692,428.013454,35.17884323,2.03E-05,0.000481828,0.004152237,180.198654
1990.949704,0.004851157,0.00483274,0.435234138,0.003898638,3.47E-06,133.7836181,9.56E-05,184.0732464,0.000132628,0.005559381,9.418377487,5.39E-06,2.914981643,0.483951553,0.000881646,-0.225491403,0.000121925,-0.000728615,34.22860095,2.43E-05,9.093894735,0.001598206,575.97323,48.9197561,2.83E-05,0.00064839,0.003326959,179.947331
1990.988377,0.004454212,0.004364721,0.430877831,0.006329083,5.64E-06,117.0650199,8.36E-05,156.3817046,0.000112676,0.005439979,7.677283022,4.39E-06,3.084080206,0.499378094,0.00090975,-0.359294062,0.000114786,-0.001160962,30.54726175,2.17E-05,9.118883111,0.001492969,520.691391,40.15980237,2.32E-05,0.000586158,0.003299685,179.696008
1991.02705,0.00391188,0.003694057,0.422816933,-0.002962467,-2.64E-06,109.0808401,7.79E-05,154.0549906,0.000110999,0.005616222,8.951383781,5.12E-06,3.121524124,0.455878032,0.000830503,-3.689957303,7.60E-05,-0.011923105,30.93188338,2.20E-05,9.00188554,0.001499022,535.528066,39.16864147,2.27E-05,0.00060286,0.002901734,179.444685
1991.065723,0.004169643,0.004337266,0.446574717,-0.002792822,-2.49E-06,79.80889469,5.70E-05,116.8808598,8.42E-05,0.006133772,6.779990011,3.88E-06,3.987002767,0.707978354,0.001289771,2.357585624,0.000116648,0.007617904,18.18068529,1.29E-05,9.128049007,0.001418316,422.479151,35.44879935,2.05E-05,0.000475597,0.005362126,179.193362
1991.104396,0.003832347,0.003525218,0.421791917,0.006056104,5.39E-06,76.98921197,5.50E-05,114.3327149,8.24E-05,0.005835004,5.215158049,2.98E-06,3.573180291,0.551943659,0.001005512,-0.771006935,9.97E-05,-0.002491302,22.01398755,1.56E-05,9.055185364,0.001398614,381.677769,41.94384102,2.43E-05,0.000429666,0.003714793,178.942039
1991.119935,0.004426392,0.004176022,0.388340627,0.006436969,5.73E-06,79.00206932,5.64E-05,123.2253266,8.88E-05,0.005416463,6.9524684,3.98E-06,2.881317872,0.436116087,0.000794501,-0.587097042,8.25E-05,-0.001897046,22.64927019,1.61E-05,9.01333197,0.001545977,417.02915,32.15087281,1.86E-05,0.000469462,0.002399298,178.690716
1991.135474,0.004597546,0.004366256,0.409004985,0.006980876,6.22E-06,117.080388,8.36E-05,172.4943846,0.000124285,0.005267746,9.564211084,5.47E-06,2.673848188,0.405601443,0.000738911,1.140938592,0.000107175,0.003686636,33.49594505,2.38E-05,9.410754022,0.001690499,625.968644,59.03078563,3.41E-05,0.000704672,0.003157714,178.439393
1991.151013,0.003674026,0.003501707,0.409549875,0.010486239,9.34E-06,122.7435927,8.77E-05,187.4753754,0.000135079,0.005657896,9.370866897,5.36E-06,2.848272225,0.524534355,0.000955579,4.330782736,0.000119075,0.013993761,32.92095809,2.34E-05,9.321301147,0.001714833,690.7958,59.28776338,3.43E-05,0.00077765,0.004965874,178.18807
1991.166552,0.003205475,0.002990007,0.38014444,0.001251784,1.11E-06,126.5380856,9.04E-05,221.233267,0.000159402,0.005458297,12.30738287,7.04E-06,2.629170316,0.492704131,0.000897591,3.261639434,9.42E-05,0.010539111,39.7448288,2.82E-05,9.301035726,0.001827398,794.345604,68.00421472,3.93E-05,0.000894219,0.004206471,177.936747
1991.182091,0.002825513,0.00299464,0.425547605,0.005282753,4.70E-06,142.268093,0.000101621,246.2413961,0.000177421,0.00588692,12.37370514,7.08E-06,3.031717683,0.510244628,0.000929546,-0.583393259,0.000123979,-0.001885079,41.26482561,2.93E-05,9.224875092,0.001669088,760.38571,64.19262437,3.71E-05,0.000855989,0.003623777,177.685424
1991.19763,0.002830931,0.002790803,0.395468371,0.013037002,1.16E-05,157.0560478,0.000112184,255.0724744,0.000183784,0.0053411,10.55783893,6.04E-06,3.094960396,0.617072804,0.001124162,3.155262789,0.000188131,0.010195384,41.08763413,2.92E-05,9.372350339,0.001723322,802.68285,68.22444944,3.95E-05,0.000903604,0.009790114,177.434101
1991.21317,0.003893965,0.003711694,0.383487696,0.008538278,7.60E-06,155.0084586,0.000110722,290.7025512,0.000209456,0.005948928,12.43080693,7.11E-06,3.010947387,0.68912901,0.001255432,3.371665163,0.00024303,0.01089463,47.5891121,3.38E-05,9.296146939,0.001544103,970.239596,84.38933221,4.88E-05,0.001092228,0.006221715,177.182778
1991.228709,0.003409801,0.003401852,0.355596335,0.003301827,2.94E-06,112.9598544,8.07E-05,190.8391296,0.000137503,0.005007202,11.91315285,6.81E-06,2.411108398,0.397254746,0.000723705,-2.040753497,0.00011157,-0.006594146,34.69930989,2.46E-05,9.250362011,0.001623617,701.278157,54.16786911,3.13E-05,0.00078945,0.002947996,176.931455
1991.244248,0.003108567,0.003003145,0.361134314,0.000314911,2.80E-07,114.1531703,8.15E-05,212.5969447,0.00015318,0.004997487,13.62673268,7.79E-06,2.503957562,0.423440794,0.00077141,-0.316624204,9.64E-05,-0.001023086,39.29076999,2.79E-05,9.047928021,0.001634123,815.534028,69.62231534,4.03E-05,0.000918071,0.002765978,176.680132
1991.259787,0.003774724,0.003294113,0.3993074,0.005904899,5.26E-06,99.66739309,7.12E-05,182.404743,0.000131426,0.00544667,11.88235782,6.80E-06,2.906604877,0.450210929,0.000820179,-0.805341425,7.11E-05,-0.002602244,34.8742184,2.48E-05,9.189477,0.001596772,743.730923,64.06836648,3.71E-05,0.00083724,0.001709242,176.428809
