Age,d11B
1961,23.839
1962,23.564
1963,NA
1964,24.037
1965,23.627
1966,23.114
1967,24.058
1968,24.005
1969,24.729
1970,24.129
1971,24.657
1972,24.604
1973,24.475
1974,25.411
1975,24.198
1976,24.889
1977,24.716
1978,24.455
1979,24.303
1980,23.727
1981,23.578
1982,23.753
1983,23.915
1984,24.536
1985,24.507
1986,23.977
1987,23.908
1988,24.29
1989,24.477
1990,24.692
1991,23.927
1992,24.253
1993,24.21
1994,24.698
1995,24.289
1996,23.753
1997,24.12
1998,23.818
1999,24.228
2000,23.457
2001,23.542
2002,23.992
2003,23.296
2004,23.382
2005,23.27
2006,24.142
2007,23.989
2008,24.153
2009,23.695
