Age,Ba138Ca,BaCa,BCa,Cd,CdCa,LiCa,MgCa,Mn,MnCa,P,PbCa,PCa,SrCa,UCa,Y,YCa,Distance
1915.104396,0.0040834,0.004278893,0.454382098,0.023700253,2.11E-05,0.005965623,4.44340691,0.624325805,0.001137375,48.11946069,0.000291052,0.155485105,9.039131722,0.001595212,314.500613,0.000354043,1080.784735
1915.130567,0.004088914,0.004090842,0.445971836,0.029581393,2.63E-05,0.005955206,4.313748839,0.92958449,0.001693485,50.81163042,0.00030387,0.164184128,9.254527683,0.001603567,299.745184,0.000337432,1080.559553
1915.156738,0.004403361,0.004322132,0.446158456,0.012191385,1.09E-05,0.006381398,4.743363471,0.611155119,0.001113381,46.26105869,0.000232095,0.149480179,9.294170638,0.001635168,321.487,0.000361908,1080.334372
1915.182909,0.003841109,0.004019678,0.442901344,0.018458102,1.64E-05,0.006098066,4.095603452,0.591189508,0.001077009,40.89321727,0.00021767,0.132135442,9.150879495,0.001537474,303.055303,0.000341158,1080.10919
1915.20908,0.004698169,0.004494751,0.451657204,0.0190005,1.69E-05,0.006396112,3.473312277,0.552929259,0.001007307,38.6564902,0.000258145,0.124908059,9.382853878,0.001746424,274.083444,0.000308544,1079.884009
1915.235251,0.004140899,0.004482519,0.458808762,0.014661714,1.31E-05,0.006504261,3.962457777,0.514636739,0.000937547,42.30157095,0.000319003,0.136686158,9.106281824,0.001608345,269.197479,0.000303044,1079.658827
1915.261423,0.004943416,0.004826457,0.449822622,0.020169517,1.80E-05,0.005355116,4.126915125,0.544820913,0.000992536,36.3905287,0.000399449,0.117586214,9.058473298,0.001526587,272.736876,0.000307028,1079.433645
1915.287594,0.004310992,0.004500294,0.44843927,0.021299,1.90E-05,0.006695101,4.282729072,1.079459935,0.001966523,47.46985311,0.000317179,0.153386073,9.138237198,0.001440755,309.036923,0.000347892,1079.208464
1915.313765,0.004673112,0.004353938,0.44125517,0.01203618,1.07E-05,0.005494426,4.034506953,0.854670884,0.00155701,47.72378492,0.000403548,0.154206585,8.99344164,0.001449594,286.49112,0.000322512,1078.983282
1915.339936,0.004632842,0.004535758,0.473152694,0.020677315,1.84E-05,0.00655145,5.123914794,0.700847445,0.00127678,45.15511758,0.000418347,0.145906627,8.918678051,0.001312056,185.594343,0.000208929,1078.758101
1915.366107,0.004450845,0.004763504,0.484427857,0.022440946,2.00E-05,0.007135889,5.452437907,0.903646609,0.001646232,52.13684172,0.000467075,0.168466192,9.288081694,0.001504686,184.617174,0.000207829,1078.532919
1915.392278,0.00471535,0.004473748,0.452616879,0.027832717,2.48E-05,0.005894602,3.843617254,0.645867378,0.001176619,50.99012798,0.00026634,0.164760895,9.572200104,0.001774475,362.326005,0.000407881,1078.307737
1915.41845,0.004587075,0.004474904,0.434913191,0.014448683,1.29E-05,0.006235343,3.568247032,0.558025209,0.001016591,49.73889019,0.000306565,0.160717856,9.467224294,0.001777858,369.478843,0.000415933,1078.082556
1915.444621,0.004604561,0.004341449,0.446853262,0.028706263,2.56E-05,0.005231948,3.380839964,0.472588357,0.000860945,39.47506649,0.000258189,0.127553069,9.4223119,0.001759077,300.366986,0.000338132,1077.857374
1915.470792,0.004542179,0.005024469,0.46737276,0.041247546,3.67E-05,0.006549305,3.905901438,0.820757198,0.001495227,46.52136343,0.00037369,0.150321283,9.399007248,0.001711128,247.93887,0.000279112,1077.632193
1915.496963,0.00395025,0.004294739,0.393007012,0.015361602,1.37E-05,0.006023364,3.922700022,0.882753491,0.00160817,70.56780593,0.000435784,0.2280209,9.375430386,0.002042186,283.386178,0.000319016,1077.407011
1915.523134,0.004595764,0.004645035,0.392749811,0.018723247,1.67E-05,0.005906187,4.625244163,1.021909503,0.00186168,74.02938182,0.000563643,0.239206052,9.016215642,0.001742828,229.905996,0.000258812,1077.181829
1915.549305,0.005002597,0.004924966,0.400618887,0.02749201,2.45E-05,0.005806784,4.324570253,0.780490312,0.00142187,66.0122035,0.000479472,0.213300695,9.116098401,0.001961666,218.62989,0.000246118,1076.956648
