Age,BaCa,BCa,MgCa,Mn,SrCa,UCa,Dist
1988.92,0.004706,0.3957,3.732,0.319,8.809,0.001097,48.14
1988.96,0.004986,0.3954,4.039,0.341,8.777,0.001024,47.84
1988.99,0.004464,0.39,4.058,0.301,8.822,0.0009994,47.54
1989.02,0.00503,0.3745,4.127,0.314,8.755,0.0009788,47.25
1989.04,0.005634,0.3739,4.164,0.293,8.717,0.001013,46.95
1989.06,0.005192,0.3853,3.951,0.25,8.789,0.001035,46.66
1989.08,0.005404,0.3968,4.256,0.257,8.7,0.001005,46.36
1989.1,0.006422,0.3909,4.024,0.23,8.795,0.001057,46.07
1989.12,0.005197,0.3833,3.889,0.238,8.865,0.001109,45.77
1989.14,0.00482,0.3847,4.119,0.268,8.915,0.001066,45.48
1989.16,0.004555,0.3887,4.009,0.3,8.794,0.001065,45.18
1989.18,0.004894,0.3782,4.161,0.287,8.748,0.001035,44.89
1989.2,0.005404,0.3803,4.17,0.269,8.835,0.001071,44.59
1989.22,0.005281,0.4177,4.156,0.254,8.837,0.001031,44.3
1989.24,0.005264,0.3989,3.971,0.25,8.844,0.001066,44
1989.27,0.00467,0.403,3.79,0.257,8.866,0.001123,43.71
1989.29,0.005257,0.4107,4.102,0.25,8.883,0.001085,43.41
1989.31,0.004834,0.4171,3.703,0.226,8.915,0.00113,43.11
1989.33,0.004546,0.4263,3.566,0.204,9.055,0.001179,42.82
1989.35,0.004521,0.4362,3.595,0.208,8.899,0.00119,42.52
1989.37,0.00443,0.4538,3.798,0.218,8.917,0.001126,42.23
1989.39,0.003896,0.456,3.681,0.207,9.016,0.001138,41.93
1989.41,0.003649,0.4644,3.586,0.202,9.02,0.001199,41.64
1989.43,0.00342,0.4798,3.553,0.185,8.959,0.001206,41.34
1989.45,0.003538,0.5025,3.721,0.194,9.025,0.001175,41.05
1989.47,0.003259,0.5015,3.608,0.199,9.06,0.001191,40.75
1989.49,0.003085,0.5116,3.521,0.186,9.18,0.001244,40.46
1989.51,0.003092,0.5088,3.391,0.19,9.071,0.001228,40.16
1989.53,0.003087,0.5185,3.263,0.173,9.184,0.00125,39.87
1989.55,0.003269,0.5192,3.426,0.19,9.155,0.001282,39.57
1989.57,0.002964,0.5155,3.298,0.207,9.174,0.001269,39.28
1989.59,0.002826,0.507,3.406,0.207,9.089,0.001252,38.98
1989.61,0.003023,0.4934,3.441,0.23,9.163,0.001273,38.69
1989.64,0.002998,0.4905,3.462,0.262,9.077,0.001267,38.39
1989.65,0.003669,0.4769,3.535,0.28,9.085,0.001206,38.09
1989.67,0.003695,0.4611,3.572,0.308,8.988,0.001223,37.8
1989.69,0.004013,0.4396,3.776,0.303,8.904,0.001185,37.5
1989.71,0.004739,0.4316,3.734,0.317,8.931,0.00116,37.21
1989.73,0.005128,0.4108,3.657,0.318,8.896,0.00114,36.91
1989.75,0.005759,0.4153,3.905,0.264,8.819,0.001078,36.62
1989.77,0.006206,0.4035,3.993,0.263,8.804,0.001051,36.32
1989.79,0.006164,0.3996,4.151,0.301,8.784,0.00103,36.03
1989.81,0.006713,0.431,4.163,0.303,8.81,0.00101,35.73
1989.83,0.007857,0.4299,4.361,0.317,8.68,0.0009843,35.44
1989.85,0.007724,0.4479,4.255,0.324,8.774,0.0009735,35.14
1989.87,0.007905,0.4645,4.207,0.296,8.778,0.0009752,34.85
1989.88,0.008545,0.4633,4.231,0.255,8.842,0.0009995,34.55
1989.9,0.009325,0.4436,4.408,0.219,8.599,0.0009431,34.26
1989.92,0.008879,0.4175,4.289,0.24,8.649,0.0009096,33.96
1989.95,0.008215,0.4111,4.035,0.246,8.668,0.0009829,33.66
1989.97,0.00801,0.4086,4.22,0.273,8.745,0.000995,33.37
1989.99,0.006722,0.4073,4.433,0.27,8.674,0.0009392,33.07
1990.01,0.005849,0.42,4.263,0.28,8.751,0.0009708,32.78
1990.04,0.00576,0.4131,4.288,0.295,8.796,0.000982,32.48
1990.06,0.007077,0.4154,4.271,0.336,8.742,0.0009625,32.19
1990.08,0.007444,0.415,4.202,0.37,8.713,0.0009686,31.89
1990.1,0.005283,0.4201,4.264,0.354,8.641,0.001004,31.6
1990.12,0.004765,0.4126,4.254,0.368,8.803,0.001013,31.3
1990.15,0.004408,0.408,4.295,0.374,8.89,0.001015,31.01
1990.17,0.004972,0.3996,4.277,0.364,8.818,0.001033,30.71
1990.19,0.006293,0.38,4.365,0.33,8.818,0.0009877,30.42
1990.2,0.007442,0.4107,3.95,0.283,8.798,0.001046,30.12
1990.21,0.006938,0.4317,3.727,0.27,8.817,0.001136,29.83
1990.23,0.005223,0.4339,3.738,0.298,8.898,0.001152,29.53
1990.24,0.004219,0.4173,3.828,0.321,8.846,0.001096,29.24
1990.25,0.004312,0.4128,4.146,0.343,8.846,0.001062,28.94
1990.26,0.004229,0.4196,4.119,0.31,8.734,0.001036,28.64
1990.27,0.004341,0.4241,4.075,0.294,8.85,0.001035,28.35
1990.28,0.004689,0.4177,3.935,0.232,8.863,0.001067,28.05
