Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Y,Yb,Zr
2000.001366,0.00319,21.87,7.25,6.34,1.26,6.37,1.95,26.91,1.46,19.22,4.63,4.37,1.12,1.12,163.73,8.52,1.33
2000.086066,0.00339,16.56,6.49,5.89,1.03,5.53,1.8,21.61,1.37,15.46,3.97,3.41,0.88,0.95,150.3,8.22,0.96
2000.165301,0.00343,14.02,6.12,5.14,0.95,5.02,1.57,18.99,1.2,13.58,3.32,3.56,0.88,0.85,142.03,5.92,1.1
2000.25,0.00437,13.08,6.02,4.83,1.03,4.9,1.42,17.99,1.02,13.64,3.28,3.05,0.94,0.88,137.47,6.38,1.22
2000.331967,0.00344,18.37,6.07,5.18,0.96,5.81,1.67,20.79,1.03,15.62,3.7,3.23,0.96,0.81,141.39,6.07,1.49
2000.416667,0.00303,19.44,6.62,4.71,1.01,4.89,1.51,19.2,0.9,14.36,3.73,3.37,0.87,0.81,133.96,5.48,1
2000.454918,0.00303,15.64,4.71,3.85,0.74,4.29,1.18,16.44,0.82,11.97,2.84,3.3,0.74,0.63,117.37,4.8,1.73
2000.498634,0.00299,12.85,5.56,4.2,1.06,3.9,1.27,16.09,0.92,11.1,2.98,3.02,0.76,0.7,133.37,5.46,1.49
2000.583333,0.00291,13.06,5.08,4.2,0.9,4.3,1.24,16.06,0.92,11.41,2.86,2.88,0.71,0.69,130.31,5.87,1.29
2000.668033,0.00299,11.84,4.66,3.76,0.75,4.28,1.27,15.13,0.83,11.9,2.72,2.46,0.66,0.61,122.28,4.84,1.21
2000.75,0.00322,15.92,4.49,3.66,1,4.15,1.14,17.87,0.73,11.71,3.04,3.01,0.78,0.7,116.14,4.68,0.87
2000.834699,0.00334,11.91,4.2,3.63,0.79,4.09,1.1,14.08,0.74,11.01,2.69,2.65,0.7,0.68,115.89,4.57,0.72
2000.916667,0.00325,11.28,4.2,3.38,0.57,3.59,1.06,13.03,0.69,8.97,2.24,2.16,0.62,0.52,105.81,4.07,0.68
2000.954918,0.00334,11.89,4.14,3.63,0.86,4.05,1.04,14.69,0.76,11.82,2.69,2.46,0.64,0.7,121.88,5,0.77
2001.00137,0.00336,13.96,5.61,4.66,0.94,4.92,1.4,17.74,1.14,13.03,3.37,3.01,0.74,0.84,137.41,6.33,0.65
2001.039726,0.00316,13.62,6.35,4.87,1.07,4.97,1.65,18.67,1.17,13.66,3.38,3.05,0.87,0.87,144.98,7.08,1.62
