Age,d18O,SrCa
2010.583333,NA,9.58851218
2010.666667,-3.63200037,9.46618132
2010.75,-3.61200028,9.34448263
2010.833333,-3.9279993,9.39522552
2010.916667,-3.81800031,9.30839903
2011,-4.13100028,9.18754124
2011.083334,-4.54400038,9.04441058
2011.166667,-4.67399954,9.09802917
2011.25,-4.32600009,9.15786332
2011.333333,-4.36599966,9.1934426
2011.416667,-4.11174986,9.24848385
2011.5,-3.89199997,9.34138528
2011.583333,-3.6164999,9.32959852
2011.666667,-3.60200002,9.51843484
2011.75,-3.74300005,9.45925461
2011.833333,-3.90100007,9.38255638
2011.916667,-4.14900002,9.32303651
2012,-4.26800002,9.19702878
2012.083333,-4.48099999,9.1247405
2012.166667,-4.665,8.94070327
2012.25,-4.47933333,9.17405637
2012.333333,-4.17300003,9.19265328
