Age,LuminRange
-4113,0.236
-4112,0.131
-4111,0.242
-4110,0.099
-4109,0.172
-4108,0.31
-4107,0.236
-4106,0.311
-4105,0.206
-4104,0.227
-4103,0.095
-4102,0.224
-4101,0.19
-4100,0.12
-4099,0.2
-4098,0.222
-4097,0.125
-4096,0.146
-4095,0.387
-4094,0.209
-4093,0.125
-4092,0.192
-4091,0.264
-4090,0.288
-4089,0.364
-4088,0.13
-4087,0.264
-4086,0.174
-4085,0.24
-4084,0.111
-4083,0.26
-4082,0.181
-4081,0.172
-4080,0.077
-4079,0.15
-4078,0.245
-4077,0.216
-4076,0.333
-4075,0.079
-4074,0.267
-4073,0.2
-4072,0.095
-4071,0.197
-4070,0.222
-4069,0.119
-4068,0.281
-4067,0.179
-4066,0.112
-4065,0.207
-4064,0.205
-4063,0.295
-4062,0.074
-4061,0.194
-4060,0.12
-4059,0.388
-4058,0.318
-4057,0.139
-4056,0.141
-4055,0.332
-4054,0.176
-4053,0.108
-4052,0.22
-4051,0.234
-4050,0.253
-4049,0.112
-4048,0.265
-4047,0.125
-4046,0.224
-4045,0.219
-4044,0.107
-4043,0.294
-4042,0.291
-4041,0.192
-4040,0.141
-4039,0.162
-4038,0.204
-4037,0.357
-4036,0.161
-4035,0.07
-4034,0.18
