Age,d13C,d18O,d66Zn,SrCa,Zn
2006.04,-3.038067336,-5.243284546,0.227402953,8.896758973,1.066824818
2006.13,-3.181658909,-5.079598147,0.476119266,8.925585874,1.064602517
2006.21,-3.312048719,-5.018743264,-0.011107263,8.997752141,2.733077623
2006.29,-3.431728081,-4.796453611,0.299031954,8.956341966,0.758220238
2006.38,-3.465520928,-4.687504274,0.559145976,9.034605489,0.815069938
2006.46,-3.277834846,-4.632499206,0.606070185,9.129765544,0.83691257
2006.54,-3.074681464,-4.563910836,0.484425061,9.120512021,0.789484724
2006.63,-3.102903392,-4.533314348,0.505416613,9.00185291,0.808550705
2006.71,-2.969644145,-4.636889461,0.417228378,9.005772378,0.752960477
2006.79,-3.011468219,-4.755051573,0.290504409,8.980765543,0.827315551
2006.88,-2.955391856,-4.849337143,0.391011736,8.840749827,0.591104782
2006.96,-2.943441159,-5.028838079,0.472458446,8.855864668,0.648404047
2007.04,-3.062584051,-5.012042586,0.506708894,8.844808372,0.625551314
2007.1,-3.315372302,-5.175650671,0.465705495,8.947676344,0.63117742
2007.17,-3.524962789,-5.262288468,0.555528906,8.939431777,0.648145577
2007.23,-3.528064549,-5.116076483,0.535651764,8.977864343,0.731848629
2007.29,-3.81662902,-4.957179898,0.573982968,9.003505646,0.823151596
2007.35,-3.954429638,-4.738228857,0.569925219,9.134577995,0.717564821
2007.42,-3.790104805,-4.604631777,0.505961,9.134747121,0.817600742
2007.48,-3.675791567,-4.251605397,0.453587462,9.122586778,0.882633879
2007.54,-3.438866688,-4.35861448,0.550039189,9.112688387,0.89888305
2007.6,-3.316450505,-4.421257421,0.524299097,9.086820775,0.83507815
2007.67,-3.1900043,-4.539794632,0.354429913,8.978326976,0.789445464
2007.73,-3.235057325,-4.613996777,0.263177,9.003820341,0.699086686
2007.79,-3.534867218,-4.646493394,0.57600424,9.018080944,0.732173606
2007.85,-3.337451043,-4.816156999,0.509202481,8.931711434,0.666801905
2007.92,-3.442535306,-4.891614781,0.459594875,8.922092647,0.635307077
2007.98,-3.546137229,-4.86280064,0.3770756,8.864014734,0.696480007
2008.04,-3.487598991,-4.926565938,0.087523913,8.81340643,0.693141433
2008.14,-3.376404747,-4.74471382,0.208147428,8.892896802,0.711869898
2008.24,-3.514502314,-4.685611215,0.437953981,8.948525599,0.690863557
2008.34,-3.689293597,-4.430829415,0.524939833,8.980806166,0.728363225
2008.44,-3.691527347,-4.382889451,0.362400233,9.102431432,1.347641913
2008.54,-3.370230217,-4.308679678,0.433655943,9.06285796,0.769161625
2008.64,-3.0595208,-4.244824749,0.365737983,9.064731291,0.756485094
2008.74,-2.852259498,-4.552965701,0.411056242,8.998269257,0.784647243
2008.84,-2.65200365,-4.61227744,0.315928282,8.961904517,0.633946947
2008.94,-2.579159322,-4.769595805,0.205865692,8.924071815,0.697462189
2009.04,-2.744925055,-4.948609227,0.357910226,8.904699589,0.54235082
2009.12,-3.005230487,-5.040746888,0.474187984,8.911286573,0.461695114
2009.2,-3.209975338,-5.172652945,0.321558739,8.904499263,0.425125204
2009.27,-3.201613866,-4.892927222,0.231485391,8.965350872,0.494391604
2009.35,-3.499964033,-4.600608921,0.30361194,9.042347864,0.506119409
2009.43,-3.612372391,-4.226346385,0.488626993,9.090146911,0.568426414
2009.5,-3.744982163,-4.427648173,0.29523957,9.011042153,0.563599217
2009.58,-3.589033752,-4.359528254,0.466622511,9.060771474,0.540042772
2009.66,-3.383796523,-4.672821933,0.453341542,9.034506767,0.596742597
2009.73,-3.075005456,-4.930569436,0.187491911,8.896207103,0.433502278
2009.81,-2.886569365,-5.343587261,0.26620022,8.864904421,0.372148751
2009.89,-3.032726741,-5.231194843,0.23945926,8.870897482,0.404398401
2009.96,-3.297463808,-5.016644019,0.307095669,8.963942101,0.618011605
2010.04,-3.44037021,-4.785818734,0.277432434,8.997963105,1.005976685
