Age,Ba138Ca,BaCa,BCa,CdCa,LiCa,MgCa,MnCa,PbCa,PCa,SrCa,UCa,YCa,Dist
1972.104396,0.00390042,0.00404644,0.457603,1.47E-06,0.0051217,3.220426,0.00124221,9.33E-05,0.00757053,8.935873,0.00119897,0.000999257,590.4158392
1972.125114,0.00416431,0.00438289,0.45157,1.77E-06,0.00539718,2.880403,0.0021145,0.000110036,0.0165633,9.087363,0.00135396,0.00103626,590.2424288
1972.145833,0.00413962,0.00445622,0.456751,4.07E-05,0.00535332,3.127932,0.00147917,0.00012738,0.0144466,8.977386,0.00132695,0.00135258,590.0690184
1972.166552,0.0047687,0.00497653,0.461777,3.10E-05,0.00538725,3.468089,0.00140735,0.000124121,0.0234497,8.800884,0.0011713,0.000998739,589.895608
1972.187271,0.00476735,0.00476148,0.453206,3.25E-05,0.00537488,3.195079,0.00155511,0.000125253,0.0202838,9.111597,0.0012171,0.000864242,589.7221976
1972.20799,0.00462261,0.00455372,0.439993,2.10E-05,0.00538238,3.100854,0.00139835,0.000132602,0.018521,9.136372,0.00130407,0.00117012,589.5487872
1972.228709,0.0032707,0.00340894,0.446231,5.68E-06,0.00538219,2.947622,0.00136728,0.000115665,0.0166973,8.99677,0.00132601,0.00114587,589.3753768
1972.249427,0.00368517,0.00386534,0.422629,3.31E-05,0.00528615,3.051869,0.00124669,0.000125544,0.0236617,9.040964,0.00144258,0.0013358,589.2019664
1972.270146,0.00360596,0.0041414,0.440047,2.72E-05,0.00544583,3.290379,0.00125876,0.000146315,0.0233297,8.835606,0.00130389,0.00132633,589.028556
1972.290865,0.00453178,0.00464225,0.451783,3.59E-05,0.00547779,3.657252,0.0013386,0.000127103,0.0154832,8.695366,0.00105699,0.00103653,588.8551456
1972.311584,0.00466724,0.005012,0.45082,3.22E-05,0.00548798,3.621496,0.00127843,0.000113354,0.0141317,8.973491,0.00118922,0.000694662,588.6817351
1972.332303,0.00412671,0.00453981,0.467956,3.86E-05,0.00557524,3.462149,0.00134864,0.000128741,0.0179672,8.929686,0.00117242,0.00076507,588.5083247
1972.353022,0.00318366,0.00304588,0.476178,6.11E-06,0.00570193,2.700427,0.000825613,0.00010278,0.0161721,9.09578,0.00137137,0.000911608,588.3349143
1972.373741,0.00330668,0.00339502,0.474977,1.17E-05,0.00530952,2.912443,0.00080072,0.000146413,0.0171764,9.138524,0.00139719,0.00147519,588.1615039
1972.394459,0.0033358,0.0033208,0.486375,9.32E-06,0.00568721,2.80956,0.000734043,0.000133537,0.0248486,9.191622,0.00147447,0.00131271,587.9880935
1972.415178,0.00347086,0.00355409,0.540868,3.10E-05,0.0054915,2.885824,0.000811477,0.000158549,0.0213354,9.39462,0.00144067,0.00123267,587.8146831
1972.435897,0.00356283,0.00350477,0.531537,5.50E-06,0.00580318,3.141224,0.000828386,0.000162515,0.0218449,9.010748,0.00129875,0.000991536,587.6412727
1972.456616,0.00271508,0.00264529,0.514632,1.43E-05,0.00557916,2.155223,0.000778799,0.000149991,0.0206203,9.734804,0.00175758,0.000853926,587.4678623
1972.477335,0.00177569,0.00202433,0.518093,1.51E-06,0.00525166,2.014896,0.000589332,0.000179886,0.0124167,9.333682,0.00166396,0.00152853,587.2944519
1972.498054,0.00202357,0.00215622,0.533412,1.05E-06,0.00511035,2.297004,0.000462447,0.000103377,0.002483,9.429108,0.00157881,0.00130119,587.1210415
1972.518772,0.00365296,0.0035893,0.50651,-2.80E-06,0.00556635,2.772004,0.000520285,0.000149502,0.0110266,9.2643,0.00143971,0.00144164,586.9476311
1972.539491,0.00295952,0.00273676,0.512166,7.91E-07,0.0056092,2.199686,0.000838933,0.000166007,0.0196998,9.523752,0.0016832,0.000899072,586.7742207
1972.56021,0.00206331,0.00218497,0.550724,2.67E-05,0.00529722,2.136559,0.000648603,0.000191273,0.0188518,9.64431,0.00163252,0.00135129,586.6008103
1972.580929,0.00230156,0.00247639,0.524551,1.69E-05,0.00549654,1.99153,0.000549349,0.000155347,0.0152645,9.661879,0.00170228,0.00125083,586.4273999
1972.601648,0.00316718,0.00278551,0.529783,8.29E-06,0.0056693,2.11063,0.000599042,0.000147233,0.0211452,9.689373,0.00171848,0.00126103,586.2539895
1972.607633,0.00217965,0.00230776,0.519851,1.72E-05,0.0056049,1.945145,0.000758767,0.000218515,0.0307623,9.666002,0.00173986,0.00120399,586.0805791
1972.613618,0.00241615,0.00243055,0.554028,-2.51E-06,0.0055919,2.243066,0.000633768,0.000156276,0.0245184,9.512646,0.00167724,0.00137993,585.9071687
1972.619603,0.00275551,0.00294721,0.559459,1.25E-05,0.00553255,2.500905,0.000715804,0.000144896,0.0196874,9.41253,0.00161711,0.000983532,585.7337583
1972.625588,0.00256637,0.00300686,0.540816,9.32E-06,0.00594231,2.178442,0.000809685,0.000163595,0.0204383,9.543078,0.00173527,0.000892889,585.5603479
1972.631573,0.00263318,0.00278958,0.526453,5.84E-06,0.00548955,2.0938,0.00122592,0.000233774,0.0205844,9.737762,0.00174655,0.00112058,585.3869375
1972.637558,0.0028145,0.00293791,0.571476,1.71E-05,0.00570415,2.385837,0.000845613,0.000165415,0.0193857,9.460852,0.0016326,0.001155,585.2135271
1972.643543,0.00253158,0.0025706,0.576655,2.34E-06,0.00576804,2.328578,0.000652874,0.000119944,0.0147254,9.571242,0.00160472,0.000937003,585.0401166
1972.649529,0.00259496,0.0026152,0.563346,7.09E-06,0.00573319,2.1759,0.000832826,0.000114339,0.0129538,9.60479,0.00172654,0.000993788,584.8667062
1972.655514,0.00382587,0.00395545,0.582287,6.02E-06,0.00574861,2.602944,0.000813127,0.000105347,0.0029337,9.182294,0.00149814,0.000965503,584.6932958
1972.661499,0.00378386,0.00433291,0.54714,9.14E-07,0.00608383,2.357877,0.00124227,0.000112038,0.0154492,9.541493,0.00175108,0.0007426,584.5198854
1972.667484,0.00372351,0.00383651,0.577754,1.10E-05,0.0058279,2.504553,0.000902166,0.000173792,0.030463,9.43998,0.00159715,0.00124759,584.346475
1972.673469,0.00499752,0.00529354,0.539826,1.27E-05,0.00600102,2.242187,0.000814966,0.000177312,0.0257933,9.546919,0.00176708,0.00088987,584.1730646
1972.679454,0.00215425,0.00233883,0.544926,1.44E-05,0.00589145,2.100617,0.000795275,0.000184613,0.0301142,9.514279,0.00164544,0.0010763,583.9996542
1972.685439,0.00242167,0.00248865,0.501743,2.01E-06,0.00536914,1.990403,0.000627961,0.000125333,0.00899028,9.658661,0.00171488,0.00118865,583.8262438
1972.691424,0.0028879,0.00282385,0.528876,1.07E-05,0.00514289,1.962609,0.000647984,0.000127242,0.0201731,9.606276,0.00169501,0.00134957,583.6528334
1972.697409,0.00268964,0.00259404,0.57441,2.02E-06,0.00500703,2.418719,0.000687299,0.000129802,0.0160316,9.371384,0.00146004,0.00148929,583.479423
1972.703394,0.00221247,0.002454,0.571115,1.94E-06,0.00566851,2.155921,0.000734851,8.34E-05,0.0118356,9.521059,0.0015587,0.000929556,583.3060126
1972.709379,0.0034256,0.00345971,0.586589,8.27E-07,0.00554045,2.480196,0.000654037,0.000103539,0.0133313,9.336756,0.0015362,0.00115153,583.1326022
1972.715365,0.00384319,0.00361381,0.615019,1.42E-05,0.00628262,2.49539,0.000832755,0.000106448,0.0137183,9.480994,0.00159793,0.000711275,582.9591918
1972.72135,0.00272886,0.00275879,0.61629,1.35E-05,0.0059218,2.470179,0.000854148,0.000139198,0.0172241,9.381973,0.00153886,0.000887201,582.7857814
1972.727335,0.00232598,0.00237778,0.586152,5.78E-06,0.00602383,2.354916,0.00071207,0.00011991,0.00744584,9.545689,0.00156996,0.000757389,582.612371
1972.73332,0.00234949,0.00231971,0.567402,1.84E-05,0.00558286,2.330923,0.000789021,0.000116656,0.00156776,9.539469,0.00150195,0.00102967,582.4389606
1972.739305,0.00246863,0.00256743,0.580827,-3.31E-06,0.00552236,2.586563,0.000826117,0.000108703,0.00996307,9.389542,0.00147638,0.00118734,582.2655502
1972.74529,0.00317937,0.00339643,0.585004,1.29E-06,0.00588936,2.685566,0.000773419,9.70E-05,0.0132966,9.353634,0.0014554,0.000935164,582.0921398
1972.751275,0.00279304,0.00301104,0.575196,5.59E-06,0.00616275,2.437306,0.000891802,0.000109247,0.0113667,9.478543,0.00158184,0.000692772,581.9187294
