Age,Ba,BaCa,Cd,Mn,MnCa,P,Y,Distance
1989.445205,5.981414609,0.004710629,0.004783483,0.071310351,0.00012998,20.69214608,7.26053,45.388
1989.472603,5.337276542,0.004202292,0.00584,0.070035806,0.000127657,20.75196405,7.543883,45.16330669
1989.5,4.900836432,0.003857704,0.007059284,0.06737399,0.000122805,19.75735935,7.65578,44.93861338
1989.527397,4.244350476,0.003340099,0.004345249,0.057670825,0.000105119,16.20551717,8.142012,44.71392007
1989.557534,4.070212702,0.003202243,0.007155757,0.054052261,9.85E-05,18.34563493,8.273732,44.48922677
1989.584932,4.108752446,0.003231798,0.006401087,0.051465904,9.38E-05,20.18718464,9.548721,44.26453346
1989.612329,4.07364313,0.003203367,0.00648013,0.05443736,9.92E-05,16.70617378,8.898088,44.03984015
1989.642466,4.01665685,0.003157764,0.010949643,0.056981495,0.000103862,15.60096302,7.724468,43.81514684
1989.669863,4.84667951,0.003809333,0.005778034,0.055400138,0.00010098,20.17856032,9.303963,43.59045353
1989.69726,4.619518605,0.003629914,0.007235447,0.053659387,9.78E-05,17.61548896,9.27183,43.36576022
1989.724658,5.062542738,0.003977021,0.006785758,0.056107428,0.000102269,22.0855561,11.142459,43.14106692
1989.754795,4.031448979,0.003166244,0.011434121,0.058214643,0.00010611,16.13813009,8.598769,42.91637361
1989.782192,3.70182965,0.002906637,0.015136325,0.054844668,1.00E-04,14.06993259,8.71636,42.6916803
1989.809589,3.980447572,0.00312462,0.018042312,0.061594573,0.000112271,18.03222517,10.631057,42.46698699
1989.839726,3.537516337,0.002776236,0.004731689,0.060619759,0.000110494,11.49505075,8.227684,42.24229368
1989.856164,4.398334186,0.003450914,0.007503839,0.073488309,0.00013395,20.30426172,10.74132,42.01760037
1989.875342,5.372461409,0.00421419,0.012859698,0.08881346,0.000161883,28.37156995,10.076955,41.79290706
1989.891781,4.774180779,0.003743975,0.010090173,0.077420049,0.000141116,16.28862259,9.972093,41.56821376
1989.910959,5.448057294,0.004271337,0.008123641,0.077873215,0.000141942,13.87396367,9.923676,41.34352045
1989.930137,7.374581992,0.005780326,0.006532501,0.082780908,0.000150888,13.89904578,10.100455,41.11882714
1989.946575,8.177032806,0.006407744,0.011492984,0.086470298,0.000157612,19.72473246,10.57014,40.89413383
1989.965753,4.508750071,0.003532349,0.010974006,0.075229539,0.000137124,14.24373261,10.128845,40.66944052
1989.982192,4.113737803,0.003222043,0.010764542,0.071920766,0.000131092,13.06004541,10.068016,40.44474721
