Age,BaCa,MgCa,SrCa,UCa,YCa
2001.59,0.0180171,3.6716,9.3125,0.0015187,6.62E-05
2001.64,0.0174082,3.7466,9.3072,0.001512,6.62E-05
2001.68,0.0160062,3.8374,9.1497,0.0015247,6.00E-05
2001.73,0.0168671,4.1019,9.1717,0.0013936,5.63E-05
2001.77,0.0160978,4.1096,9.1777,0.0014022,5.67E-05
2001.82,0.0141346,4.4713,9.0387,0.0012333,4.84E-05
2001.86,0.0140819,4.4698,8.9617,0.0012105,5.72E-05
2001.91,0.0148722,4.5558,8.9204,0.0011947,5.34E-05
2001.95,0.0123507,4.2467,8.9243,0.0012694,5.07E-05
2002,0.0114067,4.1782,NA,0.0012995,5.23E-05
2002.05,0.0116803,3.9533,8.9832,0.0013256,5.45E-05
2002.09,0.0105829,4.0709,8.9129,0.001309,5.95E-05
2002.2,0.0088904,3.6275,8.9676,0.0013612,4.82E-05
2002.31,0.0103872,4.0813,8.9572,0.0012491,5.01E-05
2002.41,0.0115223,4.0921,9.0257,0.0012693,4.17E-05
2002.52,0.0160311,4.1061,9.1091,0.0013014,4.33E-05
2002.63,0.0185607,4.0472,9.2065,0.0013486,5.01E-05
2002.67,0.0205683,4.0572,9.1944,0.0013848,5.53E-05
2002.7,0.0186401,4.0653,9.1592,0.0013755,4.89E-05
2002.74,0.0166887,3.9463,9.2008,0.0014135,5.08E-05
2002.78,0.0171647,4.0678,9.1865,0.0014078,5.57E-05
2002.82,0.0177755,4.3569,9.0914,0.0013135,5.44E-05
2002.86,0.0164898,4.3096,9.1169,0.0013309,5.01E-05
2002.9,0.0171869,5.3006,9.0175,0.0013236,5.03E-05
2002.935,0.0170897,4.3483,NA,0.0013284,5.42E-05
2002.97,0.0157591,4.4574,8.9226,0.0012839,4.85E-05
2003.01,0.0156697,4.3907,8.9695,0.0012973,4.86E-05
2003.05,0.0170061,4.4871,9.017,0.0013036,5.74E-05
2003.09,0.015163,4.382,8.9953,0.0013072,4.61E-05
2003.13,0.014647,4.402,8.9722,0.0013014,4.66E-05
2003.15,0.0153713,4.2774,9.0563,0.001363,5.39E-05
2003.18,0.0154324,4.2369,9.0425,0.0013922,5.43E-05
2003.21,0.0124351,4.3366,8.9814,0.0013074,4.68E-05
2003.24,0.0131527,4.2615,9.0294,0.0013319,5.23E-05
2003.27,0.0132213,4.1735,9.0447,0.0013336,5.39E-05
2003.29,0.0136385,4.1734,9.0695,0.0013455,5.47E-05
2003.32,0.0148819,4.3241,8.9996,0.0012976,5.01E-05
2003.35,0.0152477,4.1771,9.0592,0.0012924,4.96E-05
2003.38,0.0152919,4.2356,9.0556,0.0012845,5.03E-05
2003.41,0.0142386,4.1478,9.0919,0.00129,4.91E-05
2003.44,0.0155018,4.1542,9.0876,0.0012745,4.70E-05
2003.46,0.0168029,4.3361,9.1487,0.0012965,4.96E-05
2003.49,0.0166298,3.947,9.1724,0.0013364,5.00E-05
2003.52,0.0163196,4.3027,9.1439,0.0013558,5.31E-05
2003.55,0.0171185,4.0064,9.2303,0.0014239,5.74E-05
2003.62,0.0167355,4.111,9.145,0.0013646,5.21E-05
2003.7,0.0159266,4.3669,9.0801,0.0012863,5.04E-05
2003.78,0.0148749,4.425,9.0361,0.0012329,4.94E-05
2003.85,0.0153028,4.5963,9.0433,0.0012545,5.20E-05
2003.93,0.0149134,4.5132,9.0239,0.0012184,4.93E-05
2004.01,0.0142743,4.5766,8.9558,0.0012106,5.07E-05
2004.08,0.0138193,4.5865,8.8986,0.0012074,5.90E-05
2004.12,0.01227,4.522,8.9132,0.0012202,4.79E-05
2004.16,0.012415,4.8096,8.9159,0.0012079,5.54E-05
2004.19,0.0104146,4.3795,8.9144,0.0012275,4.48E-05
2004.23,0.0108449,4.1509,8.9758,0.001253,4.85E-05
2004.26,0.0121625,4.3328,8.9942,0.0012635,6.77E-05
2004.3,0.0125794,4.4752,8.9853,0.001187,4.57E-05
2004.33,0.0177948,4.4955,9.0601,0.0012189,5.34E-05
2004.37,0.0158569,4.3462,9.0305,0.0012232,4.95E-05
2004.4,0.0155564,4.0681,9.1162,0.0012736,5.08E-05
2004.44,0.0166483,4.207,9.1083,0.0012379,4.28E-05
2004.47,0.0155942,4.1554,9.1275,0.0012559,4.64E-05
2004.51,0.0152822,4.0492,9.1557,0.0012978,4.63E-05
2004.54,0.0165123,4.0602,9.1708,0.0013272,5.02E-05
2004.6,0.0165801,3.9592,9.1331,0.0012783,5.47E-05
2004.65,0.0159689,4.1877,9.0892,0.0012736,4.98E-05
2004.71,0.0145613,3.9999,9.0852,0.0012935,5.09E-05
2004.77,0.0160981,4.5081,8.9964,0.0011885,5.03E-05
2004.82,0.0153092,4.7421,8.9653,0.0012019,5.24E-05
2004.88,0.0145877,4.4621,8.9665,0.0012068,5.06E-05
2004.93,0.0134586,4.7305,8.9415,0.0012079,4.49E-05
2004.99,0.0134491,4.5403,8.9304,0.0011942,5.11E-05
2005.04,0.01325,4.4386,8.959,0.0012284,4.96E-05
2005.1,0.0124659,4.5745,8.864,0.0012011,4.37E-05
2005.14,0.0119676,4.5943,8.9127,0.0011881,5.08E-05
2005.18,0.0120513,4.3014,9.0021,0.0012575,4.62E-05
2005.21,0.0124125,4.4703,8.9802,0.0012263,4.86E-05
2005.25,0.0123589,4.5141,8.9024,0.0011863,4.73E-05
2005.29,0.0134645,4.473,8.9397,0.0012087,4.80E-05
2005.33,0.0131959,4.6444,8.9659,0.0012077,4.31E-05
2005.37,0.0149097,4.4108,9.0247,0.0012403,4.52E-05
2005.41,0.0174556,5.7431,9.1046,0.0012853,6.19E-05
