Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,La,LaCa,MgCa,Mn,MnCa,P,PbCa,PCa,SrCa,UCa,Y,YCa,Dist
1950.601648,0.005090284,0.005268663,0.479289281,0.007280554,6.48E-06,33.37757808,2.38E-05,45.82145641,3.30E-05,2.307595251,0.150247508,0.000273716,13.65370751,5.97E-05,0.044118286,9.364126329,0.001660381,250.900716,0.000282446,514.5293379
1950.637558,0.006146646,0.006014742,0.495163519,0.015583223,1.39E-05,28.22963076,2.02E-05,35.34042573,2.55E-05,2.417626705,0.139576642,0.000254276,13.90061487,5.85E-05,0.044916101,9.390483933,0.001662845,209.410642,0.00023574,514.2820261
1950.673469,0.005272877,0.005676017,0.483163584,0.014933932,1.33E-05,35.66217306,2.55E-05,45.15168096,3.25E-05,2.146264077,0.113974486,0.000207635,15.04723332,6.31E-05,0.048621091,9.682070477,0.001794061,228.202354,0.000256894,514.0347143
1950.709379,0.006142613,0.005801772,0.516576849,0.014106137,1.26E-05,32.84385579,2.35E-05,37.62848336,2.71E-05,2.290165344,0.121969017,0.000222199,15.06331458,7.32E-05,0.048673053,9.598356786,0.001692551,192.938615,0.000217197,513.7874024
1950.74529,0.005118027,0.005600058,0.51435271,0.00726291,6.47E-06,32.82811481,2.34E-05,44.13422503,3.18E-05,2.131118191,0.117326822,0.000213742,14.93017509,5.20E-05,0.048242848,9.499535473,0.001805296,216.630397,0.000243867,513.5400906
1950.781201,0.005552694,0.005467285,0.529800201,0.008616901,7.67E-06,29.01179937,2.07E-05,34.66995881,2.50E-05,2.292117377,0.107549905,0.000195931,12.67902396,4.65E-05,0.040968858,9.585500353,0.001780445,193.566806,0.000217904,513.2927788
1950.817111,0.005604007,0.005397491,0.530843405,0.016252537,1.45E-05,23.94163971,1.71E-05,28.49585208,2.05E-05,2.244500495,0.116016368,0.000211355,11.0211471,4.73E-05,0.035611875,9.458582283,0.001717402,161.527407,0.000181836,513.045467
1950.853022,0.005511776,0.005700096,0.514608225,0.008248171,7.34E-06,29.64299926,2.12E-05,37.82006241,2.73E-05,2.190409992,0.127276522,0.000231868,12.00008575,6.56E-05,0.038775052,9.421092382,0.001656658,182.549073,0.000205501,512.7981551
1950.888932,0.005640936,0.005709356,0.544152326,0.012803128,1.14E-05,29.32611232,2.09E-05,39.65574766,2.86E-05,2.193723836,0.143907258,0.000262165,11.43548682,5.04E-05,0.036950702,9.581826545,0.001687822,182.11721,0.000205015,512.5508433
1950.924843,0.005171802,0.005629789,0.557727014,0.010439666,9.29E-06,22.43766983,1.60E-05,28.10624041,2.03E-05,2.732292955,0.147921623,0.000269479,7.777216909,5.73E-05,0.025129986,9.251414158,0.001493953,136.421001,0.000153573,512.3035315
1950.960753,0.005826096,0.005778896,0.558042306,0.014039236,1.25E-05,20.15395193,1.44E-05,26.81721549,1.93E-05,2.788371373,0.183478891,0.000334256,10.53774704,8.01E-05,0.034049898,9.165420098,0.001466983,128.723894,0.000144908,512.0562196
1950.996664,0.006140536,0.006062271,0.540119778,0.018099314,1.61E-05,23.39005737,1.67E-05,34.37068822,2.48E-05,2.682894171,0.164739383,0.000300117,11.85316365,7.62E-05,0.038300313,9.425212968,0.001520528,157.196328,0.000176961,511.8089078
1951.032574,0.006025725,0.006180605,0.561688383,0.021902572,1.95E-05,26.82166591,1.92E-05,39.12396764,2.82E-05,2.993557905,0.196640235,0.000358232,13.58263134,0.000190603,0.043888623,9.132524869,0.001381789,173.229696,0.00019501,511.561596
1951.068485,0.005764345,0.005922874,0.528403272,0.015266026,1.36E-05,32.27766374,2.31E-05,49.57591624,3.57E-05,2.945671523,0.189766677,0.00034571,13.28645769,0.000155035,0.042931617,9.2889834,0.001452053,219.351575,0.000246931,511.3142842
1951.104396,0.00582233,0.006091767,0.533866537,0.043995597,3.92E-05,25.48684181,1.82E-05,28.13243958,2.03E-05,3.05901701,0.307101144,0.000559466,12.30288573,0.0003963,0.039753469,9.076881079,0.001319098,149.703799,0.000168526,511.0669723
1951.1496,0.005467264,0.005645938,0.525617224,0.020562222,1.83E-05,30.25117404,2.16E-05,44.90757273,3.24E-05,2.527280077,0.231744391,0.000422184,11.73758916,0.000128259,0.037926865,9.132679166,0.001470913,198.176537,0.000223093,510.8196605
1951.194805,0.00498279,0.004844711,0.50300256,0.017882737,1.59E-05,27.56924163,1.97E-05,38.91198754,2.80E-05,2.453950431,0.211133228,0.000384635,9.053502156,6.55E-05,0.029253959,9.141814726,0.001594864,181.814982,0.000204675,510.5723487
1951.24001,0.004948053,0.004902619,0.503183406,0.013491486,1.20E-05,22.54343427,1.61E-05,30.32171078,2.18E-05,2.822475424,0.222166388,0.000404735,9.70065327,7.15E-05,0.031345054,9.028309803,0.001415316,164.101687,0.000184734,510.3250368
