Age,d13C,d18O,Density,Distance
1969.12,-1.46,-5.09,1.74,0
1969.25,-0.31,-4.46,1.83,3
1969.38,-0.22,-4.09,1.73,6
1969.62,0.09,-4.05,1.77,11.5
1969.8,0.14,-4.46,1.8,16
1970.12,-0.84,-5.05,1.79,24
1970.62,-0.74,-4.54,1.68,28.5
1971.12,-0.37,-5.29,1.69,34
1971.62,-0.19,-4.54,1.68,40
1972.12,-0.23,-5.11,1.71,45
1972.62,0,-4.67,1.66,50
1973.12,-0.83,-5.34,1.62,56.5
1973.31,-1.03,-5.1,1.53,59
1973.62,-0.78,-4.64,1.53,63
1974.12,-1.09,-5.28,1.64,71
1974.62,-0.57,-5.02,1.56,78
1975.12,-0.85,-5.34,1.56,83
1975.62,-1.01,-4.76,1.48,92
1975.78,-0.73,-5.33,1.38,94
1976.12,-0.95,-5.47,1.39,98.5
1976.62,-1.01,-4.61,1.51,102.5
1976.9,-0.32,-5.27,1.48,107
1977.12,-0.96,-5.58,1.48,110.5
1977.26,-0.99,-5.48,1.37,112
1977.62,-0.85,-4.61,1.51,116
1977.8,-1.08,-5.26,1.44,120
1978.12,-0.83,-5.49,1.44,127
1980.62,-1.1,-4.96,1.13,154
1980.96,-1.12,-5.26,1.16,161
1981.12,-0.81,-5.43,1.17,164.5
1981.39,-1.21,-5.42,1.17,168
1981.62,-1.09,-4.74,1.36,171
1981.87,-0.59,-5.26,1.25,174.5
1982.12,-0.79,-5.4,1.27,178
1982.37,-1.11,-4.99,1.12,181
1982.62,-1.06,-4.53,1.19,184
1982.87,-0.48,-5.12,1.17,189
1983.02,-0.85,-5.19,1.18,192
1983.12,-0.99,-5.25,1.09,194
1983.62,-1.1,-4.66,1.19,197
1984.12,-0.83,-5.07,1.23,203
1984.4,-1.31,-5.03,1.25,210.5
1984.62,-0.59,-4.95,1.33,216.5
1985.12,-1.16,-5.25,1.3,223.2
1985.62,-1.57,-4.49,1.37,226.8
1985.75,-0.95,-4.58,1.39,228
1986.12,-0.63,-5.2,1.37,231.5
1986.39,-1.19,-5.07,1.31,237
1986.52,-1.38,-4.74,1.29,239.5
1986.62,-1.22,-4.66,1.34,241.5
