Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,MnCa,Nd,Pr,Sm,SrCa,Tb,Tm,Y,Yb,YCa
1976.001366,0.00724,34.1,16.6,10.7,2.7,14.3,3.6,27.9,1.1,0.00204,31.9,7.1,8.9,9.18,2.1,1.4,184,7.7,0.000209
1976.086066,0.00751,33.1,15.8,10.2,2.6,14,3.7,27.1,1,0.002,31,6.9,8.7,9.18,2,1.3,190,7.7,0.000211
1976.165301,0.00777,32.2,15,9.8,2.4,13.7,3.6,26.4,1,0.00197,30.1,6.7,8.4,9.18,1.9,1.2,189,7.6,0.000212
1976.25,0.00804,31.1,14.2,9.3,2.3,13.4,3.5,25.8,0.9,0.00192,29.2,6.5,8.2,9.18,1.9,1.2,184,7.3,0.00021
1976.331967,0.00845,32.9,14.5,9.4,2.4,13.9,3.7,27.7,0.9,0.00186,31.3,7,8.6,9.18,2,1.2,192,7.9,0.000206
1976.416667,0.00908,40.2,16.4,10.5,2.9,15.6,4.4,33.5,1,0.00181,37.9,8.5,9.9,9.18,2.3,1.4,227,9.9,0.000203
1976.498634,0.00971,48,18.3,11.6,3.5,17.4,5.1,39.3,1.1,0.00179,44.5,10,11.2,9.19,2.7,1.5,265,11.5,0.000204
1976.583333,0.01034,56.5,20.2,12.6,4,19.1,5.6,45.2,1.2,0.00186,51.2,11.5,12.5,9.19,3,1.7,291,12.5,0.000209
1976.668033,0.01089,46.1,17.2,10.9,3.5,15.4,4.4,37.9,1.1,0.00201,42.4,9.4,10.6,9.1,2.6,1.6,229,9.9,0.00021
1976.75,0.01096,35.3,14.4,9.4,3,12.4,3.5,30.7,1.1,0.00216,34,7.4,8.7,9.03,2.1,1.4,183,7.9,0.00021
1976.834699,0.00949,30.6,13.5,8.9,2.7,12.8,3.3,27.7,1.1,0.00232,30.8,6.6,7.6,9.05,1.8,1.3,167,7.2,0.000213
1976.916667,0.00758,28.5,12.6,9,2.7,12.8,3.1,25.8,1.1,0.00239,29.3,6.1,7.4,9.03,1.8,1.3,159,6.9,0.000215
1977.00137,0.00547,26.9,11.6,9.2,2.8,12.5,3,24.3,0.9,0.00245,28.6,6,7.7,9,1.8,1.2,153,6.6,0.000217
1977.086301,0.00569,30.8,14,10.1,2.7,12.6,3.3,26.9,1.1,0.00251,28.5,6.4,8.4,9.05,2.1,1.3,162,6.6,0.000212
1977.163014,0.00582,29.8,14,10.2,2.9,13.3,3.4,26.7,1.1,0.00246,29.5,6.5,8.4,9.04,2,1.4,169,7.2,0.000204
1977.247945,0.00607,27.7,14.1,10.4,2.8,12.8,3.6,26.6,1,0.00233,29.1,6.3,8.8,9.04,2,1.4,174,7.5,0.000198
1977.330137,0.00659,27.1,14,10.1,2.9,12,3.5,25.7,1,0.00214,28.8,6.2,8.5,9.09,2.1,1.4,171,7.3,0.000194
1977.415068,0.00757,26.1,13.7,9.6,3.2,12,3.3,23.5,1,0.00199,29.1,6.1,7.8,9.17,2,1.3,161,7.3,0.000186
1977.49726,0.00899,25.5,13.9,9.9,2.6,12,3.2,23.2,1,0.00201,26.9,5.8,8.7,9.24,2,1.3,158,6.9,0.000183
1977.582192,0.01109,28,13.8,9.9,2.3,11.1,3.1,23,1,0.00212,24.9,5.7,7.9,9.26,2,1.1,155,6.5,0.000176
1977.667123,0.00793,29.6,15.2,10.2,2.6,12.6,3.7,27,1.1,0.00226,32.9,6.7,9,9.14,2.3,1.4,185,8.7,0.000177
1977.749315,0.00658,47.3,18.1,11.6,3.3,16.6,5.5,41.5,1.2,0.00247,48.7,10.4,11.9,9.13,2.7,1.6,277,13,0.000181
1977.834247,0.00644,48,18.4,12,3.2,16.9,5.4,41.1,1.3,0.00266,46.7,10.1,11.6,9.07,2.8,1.5,274,12.5,0.000184
1977.916438,0.00636,30.6,16.1,10.9,2.5,13.9,3.8,28.2,1.2,0.00285,31.9,6.7,9.1,8.97,2.5,1.4,192,8.3,0.000185
1978.00137,0.00585,29.4,14.6,9.8,2.4,12.8,3.4,26.1,1.2,0.00298,30.4,6.4,8.8,8.98,2.2,1.4,170,7.3,0.000192
1978.086301,0.00597,34.3,14.8,10,2.7,13,3.2,26.6,1.1,0.003,29.5,6.9,8.1,8.99,2.2,1.4,155,6.3,2.00E-04
1978.163014,0.00602,30.1,14.2,9.8,2.6,13.1,3,25.8,1.1,0.00291,28.6,6.3,8,9,2.1,1.3,140,5.7,0.000209
1978.247945,0.00606,26,13.6,9.7,2.5,13.2,2.8,24.8,1,0.00278,27.7,5.7,7.9,9.01,1.9,1.3,132,5.5,0.000213
1978.330137,0.00624,27.7,13.6,9.7,2.5,12.5,2.8,24.1,1,0.00266,27.4,5.8,7.7,9.06,2,1.2,129,5.5,0.000216
1978.415068,0.00645,28.9,13.6,9.8,2.5,11.7,2.9,23.5,1.1,0.00253,27.1,5.9,7.5,9.12,2,1.1,131,5.5,0.000223
1978.49726,0.00673,26.6,13,9.4,2.5,11.4,2.9,22.8,1.1,0.00238,27.5,5.7,7.6,9.21,1.9,1.2,132,5.8,0.000231
1978.582192,0.00701,25,12.4,9.1,2.6,11.2,3,22,1.1,0.00226,27.9,5.5,7.8,9.3,1.8,1.3,137,6.4,0.000236
1978.667123,0.00681,27.1,13,8.6,2.3,11.3,3.2,20.7,1,0.00221,25.4,5.5,7.1,9.24,1.9,1.2,151,6.7,0.000233
1978.749315,0.00781,20.5,12.1,8,2.1,10.7,3,18.7,0.9,0.00218,23.5,4.6,6.4,9.13,1.7,1.1,142,6.6,0.000232
1978.834247,0.00715,23.8,11.4,9.1,2.3,10.1,3.1,19.4,1,0.00212,22.5,4.9,7.1,9.17,1.7,1.1,149,6.4,0.000232
1978.916438,0.00634,23.1,12.1,8.1,2,10.2,3.1,18.8,0.9,0.00203,23.3,5,7.2,9.13,1.8,1.1,149,6.6,0.000229
1979.00137,0.00629,28.7,15.3,10.3,2.4,12.7,3.8,25.3,1.2,0.00198,29.8,6.2,8.6,9.12,2.1,1.4,189,8.4,0.000221
1979.086301,0.00576,32.3,13,9.6,2.5,12.1,4,27.2,1,0.00199,34.3,7.1,9.3,8.99,2.1,1.3,200,9.7,0.000214
1979.163014,0.00612,52.9,15.9,11,3.5,16.4,5.8,37.8,1.2,0.00201,51.2,11.3,12.4,9.06,2.6,1.5,290,14.6,0.000208
1979.247945,0.00657,74,19.1,12.6,4.7,20.9,7.6,48.6,1.3,0.00202,68.4,15.6,15.5,9.14,3.1,1.7,381,19.4,0.000202
1979.330137,0.00818,53.4,18,11.9,3.9,17.8,6,39.3,1.3,0.00206,52.1,11.7,12.5,9.12,2.8,1.7,310,15.1,0.000197
1979.415068,0.00996,29.6,16.3,11,2.9,13.6,3.7,27.8,1.2,0.00208,31.5,6.7,8.8,9.08,2.5,1.7,188,8.6,0.000186
1979.49726,0.01074,30.8,16.2,11.5,2.7,13.7,3.6,28.2,1.3,0.00219,32.3,6.8,9.4,9.24,2.3,1.6,181,8.5,0.000176
1979.582192,0.01148,31.4,16.2,12,2.6,14,3.7,29,1.3,0.00224,33.9,7,10.1,9.4,2.1,1.5,187,8.7,0.00017
1979.667123,0.01123,30.1,15.9,11.7,3.2,13.9,3.6,28.9,1.3,0.00228,33.1,6.8,8.1,9.3,2.4,1.4,185,8.2,0.000165
1979.749315,0.01089,31.2,16.4,10.9,2.6,13.2,3.5,28.8,1.2,0.00234,30.8,6.6,9,9.26,2.3,1.4,186,7.4,0.000162
1979.834247,0.006,27.8,13.7,9.8,2.6,11.8,3.2,26.3,1.2,0.00237,27.6,5.9,9,9.15,2.1,1.3,167,6.5,0.000163
