Age,BaCa,Lumin
1968.192,0.004594,NA
1968.212,0.0038436,NA
1968.231,0.0041521,NA
1968.25,0.0040984,NA
1968.269,0.0041107,NA
1968.288,0.0044235,NA
1968.308,0.0041992,NA
1968.327,0.0040951,NA
1968.346,0.0042705,NA
1968.365,0.0038614,NA
1968.385,0.0040943,NA
1968.404,0.0040135,NA
1968.423,0.0039945,NA
1968.442,0.0043566,NA
1968.462,0.003919,NA
1968.481,0.0043317,NA
1968.5,0.0043467,NA
1968.519,0.0045787,NA
1968.538,0.0039229,NA
1968.558,0.0041152,NA
1968.577,0.0042297,NA
1968.596,0.0043105,NA
1968.615,0.0042945,NA
1968.635,0.0042196,NA
1968.654,0.0040913,NA
1968.673,0.0042384,NA
1968.692,0.004347,NA
1968.712,0.0042934,NA
1968.731,0.0043541,NA
1968.75,0.0043312,NA
1968.769,0.0042251,NA
1968.788,0.0044297,NA
1968.808,0.0044516,NA
1968.827,0.0043708,NA
1968.846,0.0043979,NA
1968.865,0.0043735,NA
1968.885,0.0043301,NA
1968.904,0.004293,NA
1968.923,0.0039454,NA
1968.942,0.0038074,NA
1968.962,0.0041275,NA
1968.981,0.004154,NA
1969,0.0042169,NA
1969.019,0.0043196,NA
1969.038,0.0039586,NA
1969.058,0.0038793,NA
1969.077,0.0040251,NA
1969.096,0.0043736,NA
1969.115,0.0044317,NA
1969.135,0.004415,NA
1969.154,0.0045242,NA
1969.173,0.0041831,NA
1969.192,0.0039439,NA
1969.212,0.0040345,NA
1969.231,0.0041472,NA
1969.25,0.0042446,NA
1969.269,0.0043131,NA
1969.288,0.0041498,NA
1969.308,0.0040764,NA
1969.327,0.0040296,NA
1969.346,0.0037973,NA
1969.365,0.0037743,NA
1969.385,0.0037939,NA
1969.404,0.0036912,NA
1969.423,0.0039157,NA
1969.442,0.0042776,NA
1969.462,0.0047497,NA
1969.481,0.0047001,NA
1969.5,0.0046262,NA
1969.519,0.0045494,NA
1969.538,0.0040884,NA
1969.558,0.0038408,NA
1969.577,0.0037472,NA
1969.596,0.0037167,NA
1969.615,0.0036606,NA
1969.635,0.0035695,NA
1969.654,0.003449,NA
1969.673,0.0033151,NA
1969.692,0.0036373,NA
1969.712,0.0038414,NA
1969.731,0.0035548,NA
1969.75,0.0034159,NA
1969.769,0.0034334,NA
1969.788,0.0036612,NA
1969.808,0.0039507,NA
1969.827,0.0039407,NA
1969.846,0.0039575,NA
1969.865,0.0040408,NA
1969.885,0.0039709,NA
1969.904,0.0037774,NA
1969.923,0.0037877,NA
1969.942,0.0038352,NA
1969.962,0.0038103,NA
1969.981,0.0037755,NA
1970,0.0037229,NA
1970.019,0.0037751,NA
1970.038,0.003891,NA
1970.058,0.0039003,NA
1970.077,0.003889,NA
1970.096,0.0038408,NA
1970.115,0.0037998,NA
1970.135,0.0037689,NA
1970.154,0.0037368,NA
1970.173,0.0037043,NA
1970.192,0.0035616,NA
1970.212,0.0034677,NA
1970.231,0.0035633,NA
1970.25,0.0035727,NA
1970.269,0.0034908,NA
1970.288,0.0036459,NA
1970.308,0.0038767,NA
1970.327,0.0040369,NA
1970.346,0.0041581,NA
1970.365,0.0041815,NA
1970.385,0.0041767,NA
1970.404,0.0041494,NA
1970.423,0.0042065,NA
1970.442,0.0042411,NA
1970.462,0.0038404,NA
1970.481,0.0036081,NA
1970.5,0.003683,NA
1970.519,0.0037038,NA
1970.538,0.0036917,NA
1970.558,0.0038448,NA
1970.577,0.0040022,NA
1970.596,0.0040713,NA
1970.615,0.0043291,NA
1970.635,0.0041201,NA
1970.654,0.0035816,NA
1970.673,0.0037317,NA
1970.692,0.0040453,NA
1970.712,0.0040407,NA
1970.731,0.0040005,NA
1970.75,0.0040017,NA
1970.769,0.0039834,NA
1970.788,0.0040986,NA
1970.808,0.0038314,NA
1970.827,0.0038549,NA
1970.846,0.0038489,NA
1970.865,0.004081,NA
1970.885,0.0044055,NA
1970.904,0.0040792,NA
1970.923,0.0038498,NA
1970.942,0.0041586,NA
1970.962,0.0040334,NA
1970.981,0.0039298,NA
1971,0.0039765,NA
1971.019,0.003989,NA
1971.038,0.0038124,NA
1971.058,0.0036834,NA
1971.077,0.0039504,NA
1971.096,0.0036659,NA
1971.115,0.0036464,NA
1971.135,0.0034874,NA
1971.154,0.003522,NA
1971.173,0.0033722,NA
1971.192,0.0034286,NA
1971.212,0.003761,NA
1971.231,0.0040507,NA
1971.25,0.0045419,NA
1971.269,0.0045592,NA
1971.288,0.0046463,NA
1971.308,0.0045171,NA
1971.327,0.0044695,NA
1971.346,0.0043334,NA
1971.365,0.0040382,NA
1971.385,0.0038332,NA
1971.404,0.004033,NA
1971.423,0.0044824,NA
1971.442,0.0044711,NA
1971.462,0.0036392,NA
1971.481,0.0033396,NA
1971.5,0.0034883,NA
1971.519,0.0036948,NA
1971.538,0.0037956,NA
1971.558,0.0039725,NA
1971.577,0.0043598,NA
1971.596,0.0042078,NA
1971.615,0.0040615,NA
1971.635,0.0039859,NA
1971.654,0.0039103,NA
