Age,SrCa,Distance
1989.49726,9.0922,53.75
1989.524658,9.10272,53.5
1989.549315,9.12891,53.25
1989.576712,9.11528,53
1989.60411,9.11299,52.75
1989.628767,9.11166,52.5
1989.656164,9.09067,52.25
1989.680822,9.07985,52
1989.708219,9.03961,51.75
1989.732877,9.00342,51.5
1989.760274,8.97562,51.25
1989.784932,8.91717,51
1989.812329,8.87434,50.75
1989.839726,8.86923,50.5
1989.856164,8.83549,50.25
1989.872603,8.81335,50
1989.889041,8.818,49.75
1989.905479,8.7841,49.5
1989.921918,8.77001,49.25
1989.938356,8.82795,49
1989.954795,8.80837,48.75
1989.971233,8.78989,48.5
1989.987671,8.80892,48.25
1990.00411,8.7902,48
1990.023288,8.76506,47.75
1990.039726,8.77422,47.5
1990.056164,8.77688,47.25
1990.072603,8.80568,47
1990.089041,8.82887,46.75
1990.105479,8.82787,46.5
1990.121918,8.79493,46.25
1990.138356,8.80875,46
1990.154795,8.8404,45.75
1990.171233,8.87784,45.5
1990.187671,8.85741,45.25
1990.206849,8.8697,45
1990.223288,8.86848,44.75
1990.239726,8.78877,44.5
1990.256164,8.83176,44.25
1990.272603,8.8331,44
1990.289041,8.84688,43.75
1990.305479,8.8634,43.5
1990.321918,8.83817,43.25
1990.338356,8.86595,43
1990.354795,8.85825,42.75
1990.371233,8.91971,42.5
1990.390411,8.90107,42.25
1990.415068,8.97432,42
1990.439726,9.04281,41.75
1990.467123,9.04892,41.5
1990.491781,9.05959,41.25
1990.519178,9.05908,41
1990.543836,9.06441,40.75
1990.571233,9.03245,40.5
1990.59589,9.05948,40.25
1990.620548,9.02263,40
1990.647945,9.05071,39.75
1990.672603,9.03736,39.5
1990.7,9.03598,39.25
1990.724658,8.99928,39
1990.752055,8.99631,38.75
1990.776712,8.98609,38.5
1990.80411,8.91765,38.25
1990.820548,8.91293,38
1990.836986,8.90228,37.75
1990.853425,8.8692,37.5
1990.872603,8.87979,37.25
1990.889041,8.84268,37
1990.905479,8.82035,36.75
1990.921918,8.849,36.5
1990.941096,8.81888,36.25
1990.957534,8.83089,36
1990.973973,8.7999,35.75
1990.993151,8.80042,35.5
1991.009589,8.7902,35.25
1991.026027,8.76449,35
1991.042466,8.75653,34.75
1991.061644,8.73359,34.5
1991.078082,8.72982,34.25
1991.094521,8.75789,34
1991.110959,8.73933,33.75
1991.130137,8.78898,33.5
1991.146575,8.77587,33.25
1991.163014,8.79409,33
1991.182192,8.81835,32.75
1991.19863,8.82727,32.5
1991.215068,8.83604,32.25
1991.231507,8.84188,32
1991.250685,8.86437,31.75
1991.267123,8.87092,31.5
1991.283562,8.89896,31.25
1991.30274,8.91597,31
1991.327397,8.87656,30.75
1991.352055,8.95134,30.5
1991.376712,8.95134,30.25
1991.40137,8.98025,30
1991.426027,8.95958,29.75
1991.450685,9.00428,29.5
1991.475342,8.99125,29.25
1991.5,8.95918,29
1991.524658,8.99735,28.75
1991.549315,9.03424,28.5
1991.573973,9.05422,28.25
1991.59863,9.06759,28
1991.623288,9.05862,27.75
1991.647945,9.05486,27.5
1991.672603,9.03277,27.25
1991.69726,9.02845,27
1991.721918,9.02557,26.75
1991.746575,8.97827,26.5
1991.771233,8.95462,26.25
1991.79589,8.9278,26
1991.820548,8.95221,25.75
1991.834247,8.93584,25.5
1991.850685,8.91374,25.25
1991.867123,8.88111,25
1991.883562,8.87985,24.75
1991.9,8.8621,24.5
1991.916438,8.86208,24.25
1991.932877,8.8338,24
1991.946575,8.83619,23.75
1991.963014,8.80175,23.5
1991.979452,8.8148,23.25
1991.99589,8.80477,23
1992.012295,8.73089,22.75
1992.028689,8.75065,22.5
1992.045082,8.73143,22.25
1992.058743,8.72479,22
1992.075137,8.72481,21.75
1992.09153,8.74604,21.5
1992.107923,8.75209,21.25
1992.124317,8.74931,21
1992.14071,8.75019,20.75
1992.157104,8.7511,20.5
1992.170765,8.76555,20.25
1992.187158,8.75242,20
1992.203552,8.7683,19.75
1992.219945,8.78263,19.5
1992.236339,8.74565,19.25
1992.252732,8.78522,19
1992.269126,8.80768,18.75
1992.282787,8.81987,18.5
1992.29918,8.81839,18.25
1992.315574,8.81034,18
1992.331967,8.80606,17.75
1992.348361,8.81939,17.5
1992.364754,8.84521,17.25
1992.381148,8.85466,17
1992.397541,8.86053,16.75
1992.422131,8.93158,16.5
1992.446721,8.97104,16.25
1992.471311,8.97775,16
1992.495902,9.01132,15.75
1992.520492,9.01366,15.5
1992.545082,9.06455,15.25
1992.569672,9.0425,15
1992.594262,9.05873,14.75
1992.618852,9.06337,14.5
1992.643443,8.98395,14.25
1992.668033,8.98113,14
1992.692623,8.92593,13.75
1992.717213,8.92646,13.5
1992.741803,8.88698,13.25
1992.766393,8.90827,13
1992.790984,8.8717,12.75
1992.815574,8.88801,12.5
1992.840164,8.89864,12.25
1992.864754,8.8658,12
1992.889344,8.87481,11.75
1992.913934,8.85039,11.5
1992.938525,8.81346,11.25
1992.963115,8.80482,11
1992.990437,8.82989,10.75
1993.00411,8.80338,10.5
1993.020548,8.80717,10.25
1993.036986,8.78181,10
1993.050685,8.77205,9.75
1993.067123,8.74167,9.5
1993.083562,8.75202,9.25
1993.1,8.75237,9
1993.113699,8.74787,8.75
1993.130137,8.73872,8.5
1993.146575,8.77092,8.25
1993.163014,8.80336,8
1993.176712,8.77941,7.75
1993.193151,8.80954,7.5
1993.209589,8.80178,7.25
1993.226027,8.83393,7
1993.239726,8.82843,6.75
1993.256164,8.86015,6.5
1993.272603,8.83359,6.25
1993.289041,8.84197,6
1993.30274,8.86762,5.75
1993.319178,8.91492,5.5
1993.335616,8.93606,5.25
1993.352055,8.94677,5
1993.373973,8.91232,4.75
1993.39589,8.9717,4.5
1993.420548,9.05312,4.25
1993.442466,9.05781,4
1993.467123,9.0683,3.75
1993.489041,9.07777,3.5
1993.513699,9.08313,3.25
1993.535616,9.06521,3
1993.560274,9.07019,2.75
1993.582192,9.08964,2.5
1993.606849,9.04782,2.25
1993.628767,9.04061,2
1993.653425,9.04936,1.75
1993.675342,9.04645,1.5
1993.7,9.0066,1.25
1993.721918,9.00262,1
1993.746575,8.97722,0.75
1993.768493,8.99205,0.5
1993.793151,9.01461,0.25
