Age,d11B,Extn
1989.5,25.14,1.1999952
1989.83,25.185,1.50428394
1990.17,24.4685,1.079161092
1990.5,23.93667,0.859494114
1990.83,23.84083,1.093681601
1991.17,24.19578,1.391509004
1991.5,24.93472,1.866515852
1991.83,25.43,0.8
1992.17,25.1675,0.83383354
1992.5,24.41,1.070667069
1992.83,-999,2.025005616
1993.17,24.71583,1.398743339
1993.5,25.47167,0.779749944
1993.83,25.05333,0.892000841
1994.17,24.83,1.185001789
1994.5,24.49501,1.887002096
1994.83,24.09687,1.109946855
1995.17,24.535,0.722609743
1995.5,24.98651,-999
1997.67,25.11343,1.825673146
1997.83,24.11475,0.792769653
1998,23.91983,0.442511561
1998.17,24.46955,0.570556411
1998.33,25.01928,0.698601262
1998.5,25.56289,0.737772551
1998.67,26.05168,0.570551358
1998.83,25.70285,0.576837128
1999,25.01982,0.656227923
1999.17,24.89152,1.002967131
1999.33,25.41427,1.405263513
1999.5,25.16622,0.601745084
1999.67,25.12319,1.247680766
1999.83,25.00194,1.648974503
2000,24.61333,1.14000204
2000.17,24.38013,1.126830904
2000.33,24.4564,1.701758676
2000.5,24.9856,0.984150547
2000.67,25.40184,1.220758489
2000.83,24.88215,0.909397745
2001,24.636,0.804
2001.17,24.58047,NA
