Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Y,Yb,Zr
2001.00137,0.00484,4.53,0.95,1.11,0.52,1.03,0.29,4.06,0.2,2.86,0.72,0.64,0.12,0.22,97.96,1.21,1.1
2001.163014,0.00336,4.48,1.11,1.03,0.44,0.91,0.3,3.77,0.24,2.49,0.67,0.67,0.17,0.17,104.79,1.39,2.02
2001.247945,0.00225,20.94,1.13,0.86,0.2,0.85,0.25,3.32,0.17,1.65,0.34,0.6,0.15,0.17,88.69,1.28,0.5
2001.415068,0.00201,4.08,0.98,0.94,0.24,0.8,0.25,2.7,0.17,1.72,0.4,0.47,0.12,0.12,86.4,1.1,0.5
2001.582192,0.00243,5.87,1.47,0.99,0.3,0.73,0.28,2.84,0.22,2.21,0.37,0.31,0.1,0.21,99.8,1.21,0.74
2001.667123,0.0033,17.81,0.8,0.89,0.3,0.62,0.23,3.26,0.19,1.48,0.46,0.47,0.13,0.16,84.79,1.08,0.36
2001.749315,0.00416,3.38,0.99,0.78,0.34,0.68,0.21,2.28,0.18,1.54,0.39,0.5,0.11,0.14,79.92,0.89,0.44
2001.834247,0.00397,2.9,0.68,0.78,0.31,0.4,0.26,2.03,0.19,1.75,0.32,0.39,0.15,0.12,82.35,1.02,0.59
2001.916438,0.00458,3.02,0.8,0.92,0.41,0.91,0.22,2.84,0.18,1.37,0.42,0.41,0.11,0.16,81.04,1.02,0.64
2002.00137,0.00393,2.75,1.06,0.86,0.44,0.75,0.26,2.29,0.26,1.7,0.36,0.6,0.14,0.15,92.98,1.2,0.23
2002.086301,0.0034,2.37,0.83,0.82,0.32,0.62,0.24,2.8,0.16,1.42,0.43,0.38,0.11,0.13,78.98,1.1,0.33
2002.163014,0.00252,2.38,1.01,0.85,0.33,0.5,0.32,1.91,0.21,1.78,0.44,0.31,0.14,0.16,87.65,1.32,0.96
2002.330137,0.0023,3.68,1.12,0.8,0.33,0.83,0.3,3.41,0.23,1.83,0.55,0.62,0.14,0.17,85.88,1.17,0.82
2002.415068,0.00262,3.47,0.99,0.97,0.37,0.69,0.28,2.68,0.21,2.08,0.5,0.53,0.14,0.17,92.97,1.36,0.77
2002.49726,0.00275,4.75,1.19,1.07,0.27,0.86,0.29,3.22,0.2,2.24,0.45,0.45,0.18,0.17,84.92,1.38,0.38
2002.582192,0.00307,4.51,0.76,0.9,0.23,0.78,0.21,3.68,0.19,2.01,0.39,0.46,0.12,0.17,65.77,1.02,0.48
2002.749315,0.00307,2.58,0.85,0.91,0.41,0.61,0.28,2.49,0.21,1.62,0.45,0.69,0.1,0.2,80.9,1.16,0.33
2002.834247,0.00356,3.25,1.08,0.89,0.32,0.81,0.27,3.29,0.27,2.24,0.42,0.52,0.14,0.14,88.7,1.64,0.35
2002.916438,0.00401,3.48,1.34,1.13,0.5,1.19,0.38,3.25,0.28,3.02,0.53,0.48,0.18,0.2,99.08,1.95,0.44
2003.00137,0.00368,4.14,1.55,1.18,0.45,1.12,0.37,3.64,0.32,2.43,0.6,0.63,0.12,0.28,104.41,1.98,0.47
2003.163014,0.00323,3.6,1.1,1.03,0.37,1.15,0.36,3.58,0.25,1.89,0.49,0.87,0.16,0.26,88.52,1.42,0.23
2003.330137,0.00265,9,0.82,0.93,0.34,1,0.28,3.28,0.28,2.78,0.7,0.57,0.09,0.12,84.68,1.32,0.54
2003.415068,0.00254,5.11,0.99,1,0.33,1.14,0.28,3.84,0.26,2.4,0.7,0.37,0.15,0.17,85.45,1.03,1.11
2003.49726,0.00222,2.57,1.11,1.15,0.3,0.87,0.34,2.39,0.22,1.99,0.48,0.72,0.17,0.18,96.43,1.57,0.61
2003.667123,0.00201,3.35,1.35,1.01,0.34,0.86,0.31,2.89,0.29,2.28,0.52,0.53,0.18,0.21,95.82,1.18,0.83
2003.749315,0.00233,3.04,1.11,1.07,0.31,0.72,0.33,2.45,0.24,2.09,0.53,0.57,0.16,0.19,84.32,1.01,0.38
2003.834247,0.00254,2.93,0.73,1.09,0.32,1.11,0.26,2.34,0.21,1.79,0.49,0.51,0.14,0.2,90.97,1.24,0.26
2003.916438,0.00316,5.82,1.12,0.93,0.37,1.08,0.27,3.91,0.23,2.95,0.66,0.67,0.14,0.18,91.03,1.49,5.09
