Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Y,Yb,Zr
1999.330137,0.00299,5.9,1.07,1.01,0.41,1.04,0.28,5.02,0.22,3.33,0.8,0.39,0.11,0.21,84.27,1.4,2.32
1999.415068,0.00312,5.26,1.35,1.02,0.3,0.95,0.24,3.85,0.2,2.33,0.48,0.58,0.13,0.18,89.42,1.13,1.42
1999.49726,0.00229,5.3,1.15,0.99,0.42,1.23,0.33,4.34,0.18,2.77,0.68,0.68,0.17,0.18,98.65,1.35,0.24
1999.582192,0.00289,3.75,1.29,1.26,0.33,1,0.32,3.26,0.25,2.13,0.59,0.79,0.19,0.2,95.09,1.48,0.09
1999.667123,0.00368,3.42,1.34,1.16,0.47,0.85,0.32,2.9,0.29,2.2,0.59,0.77,0.18,0.21,87.55,1.43,4.1
1999.749315,0.00559,4.35,1.29,1.32,0.6,1.17,0.38,4.28,0.32,2.62,0.55,0.47,0.17,0.25,94.7,1.82,0.7
1999.834247,0.00469,3.3,1.52,1.45,0.53,1.22,0.37,3.32,0.35,2.59,0.61,0.48,0.19,0.29,91.61,1.66,0.82
1999.916438,0.00357,5.85,1.77,1.44,0.37,1.35,0.42,4.98,0.29,3.9,0.84,0.73,0.25,0.26,97.85,1.88,1.15
2000.001366,0.00366,3.79,1.51,1.31,0.37,1.29,0.32,4.19,0.3,3.06,0.65,0.77,0.2,0.23,98.73,1.67,0.21
2000.039617,0.00403,12.77,1.36,1.36,0.42,1.22,0.42,4.64,0.32,2.9,0.72,0.71,0.17,0.22,90.26,1.9,0.3
2000.086066,0.00546,4.58,1.39,1.24,0.53,1.04,0.34,4.45,0.26,2.6,0.73,0.93,0.22,0.21,91.31,1.21,0.23
2000.165301,0.00354,3.96,1.1,0.95,0.32,0.99,0.26,3.19,0.22,2.65,0.61,0.75,0.15,0.13,90.47,1.13,0.6
2000.203552,0.00311,1.82,0.78,0.73,0.36,0.66,0.22,1.75,0.19,1.83,0.42,0.43,0.1,0.14,79.38,0.98,1.38
2000.25,0.00299,2.89,0.87,0.85,0.25,0.76,0.26,2.34,0.17,3.11,0.75,0.36,0.1,0.12,72.31,0.86,0.17
2000.331967,0.00245,5.7,1.14,1.05,0.36,0.73,0.27,3.08,0.23,2.46,0.6,0.61,0.14,0.17,84.35,1.22,0.15
2000.416667,0.00239,2.61,1.04,0.88,0.31,0.76,0.23,2.31,0.17,1.72,0.47,0.8,0.13,0.17,82.13,1.09,0.17
2000.498634,0.00249,2.54,1.11,0.82,0.32,0.75,0.23,2.34,0.2,1.66,0.49,0.48,0.14,0.19,83.92,0.93,0.64
2000.583333,0.00338,2.46,1.01,1.05,0.37,1.02,0.3,2.43,0.26,1.85,0.43,0.56,0.18,0.18,93.67,1.07,0.6
2000.668033,0.00572,2.46,1.06,0.82,0.66,0.94,0.27,2.67,0.25,3.15,0.48,0.46,0.16,0.18,96.72,1.19,0.54
2000.75,0.00696,3.98,1.28,1.28,0.77,0.95,0.32,3.75,0.29,2.42,0.61,0.55,0.18,0.17,97.51,1.3,1.06
2000.834699,0.00489,2.88,0.97,0.83,0.54,0.73,0.3,2.86,0.21,2.16,0.61,0.7,0.17,0.19,85.98,1.06,0.35
