Age,MgCa,SrCa,Distance
2001.2,3.752491639,8.932799181,141.9
2001.22,3.836818161,9.162713435,141.4
2001.24,3.709833763,9.159827855,140.9
2001.27,3.657905545,9.127042565,140.4
2001.29,3.626526222,9.257771959,139.9
2001.31,3.561121081,9.231458973,139.4
2001.34,3.52678705,9.265947523,138.9
2001.36,3.64148768,9.17963081,138.4
2001.38,3.683506782,9.104709209,137.9
2001.41,3.713494599,9.275721521,137.4
2001.43,3.645660429,9.203236229,136.9
2001.46,3.675672361,9.325956817,136.4
2001.48,3.822542305,9.362307894,135.9
2001.5,3.747921743,9.321218755,135.4
2001.53,3.77923481,9.3544133,134.9
2001.55,3.732128591,9.439038359,134.4
2001.57,3.5375277,9.335041704,133.9
2001.6,3.449054075,9.35500831,133.4
2001.62,3.495701567,9.50922091,132.9
2001.65,3.542010494,9.460296288,132.4
2001.69,3.45690225,9.440272048,131.9
2001.73,3.45556362,9.481000858,131.4
2001.76,3.546855604,9.21025876,130.9
2001.8,3.439307947,9.372476147,130.4
2001.83,3.488408851,9.439895596,129.9
2001.87,3.525526461,9.347510182,129.4
2001.9,3.552724287,9.344927892,128.9
2001.94,3.53449264,9.069918688,128.4
2001.97,3.437143023,9.143839545,127.9
2002.01,3.438884123,9.127573717,127.4
2002.04,3.514846484,9.122841597,126.9
2002.08,3.481378382,8.991218646,126.4
2002.12,3.605186372,9.101121187,125.9
2002.17,3.653677854,9.19260056,125.4
2002.21,3.518976614,9.159034654,124.9
2002.26,3.467682852,9.313184212,124.4
2002.3,3.451944259,9.322179719,123.9
2002.35,3.5260901,9.429659992,123.4
2002.39,3.5186769,9.392939351,122.9
2002.44,3.596487011,9.221410839,122.4
2002.48,3.759850775,9.330635537,121.9
2002.53,3.681141173,9.202614396,121.4
2002.57,3.828200995,9.407398908,120.9
2002.62,3.735556865,9.545361472,120.4
2002.65,3.770644342,9.433078903,119.9
2002.68,3.693001442,9.428984902,119.4
2002.71,3.725879038,9.463346608,118.9
2002.75,3.612366548,9.473462149,118.4
2002.78,3.610086655,9.343831892,117.9
2002.81,3.566018071,9.257014938,117.4
2002.84,3.810215817,9.280841048,116.9
2002.87,3.704718419,9.131560819,116.4
2002.91,3.856316609,8.990739955,115.9
2002.94,3.6844937,9.360342984,115.4
2002.97,3.590336189,9.357231997,114.9
2003,3.687353661,9.131433466,114.4
2003.04,3.623162349,9.083523098,113.9
