Age,BaCa
1965.0167,0.00473
1965.0347,0.00452
1965.0527,0.00438
1965.0708,0.0046
1965.0889,0.00424
1965.1069,0.00444
1965.125,0.00438
1965.1431,0.00434
1965.1611,0.00456
1965.1792,0.00436
1965.1973,0.00451
1965.2153,0.00465
1965.2333,0.00451
1965.2513,0.00442
1965.2694,0.00452
1965.2875,0.00455
1965.3055,0.00458
1965.3236,0.00489
1965.3417,0.00467
1965.3597,0.00457
1965.3778,0.00476
1965.3959,0.00487
1965.4139,0.00476
1965.4319,0.00469
1965.45,0.00478
1965.468,0.00521
1965.4861,0.00493
1965.5042,0.00515
1965.5222,0.00501
1965.5403,0.00494
1965.5583,0.00485
1965.5764,0.00481
1965.5945,0.00494
1965.6125,0.00513
1965.6306,0.00471
1965.6486,0.00457
1965.6666,0.0042
1965.6847,0.00416
1965.7028,0.00418
1965.7208,0.00438
1965.7389,0.00422
1965.757,0.00419
1965.775,0.00414
1965.7931,0.00424
1965.8112,0.00412
1965.8292,0.00435
1965.8472,0.00408
1965.8652,0.00416
1965.8833,0.00377
1965.9014,0.00387
1965.9194,0.00392
1965.9375,0.004
1965.9556,0.00402
1965.9736,0.00378
1965.9917,0.00378
1966.0098,0.00387
1966.0278,0.00383
1966.0458,0.00371
1966.0638,0.00376
1966.0819,0.00384
1966.1,0.00388
1966.118,0.00383
1966.1361,0.00386
1966.1542,0.00408
1966.1722,0.00413
1966.1903,0.00401
1966.2084,0.00404
1966.2264,0.0041
1966.2444,0.00399
1966.2625,0.00386
1966.2805,0.0042
1966.2986,0.00414
1966.3167,0.00406
1966.3347,0.00371
1966.3528,0.00382
1966.3708,0.00372
1966.3889,0.00394
1966.407,0.00388
1966.425,0.00421
1966.4431,0.0039
1966.4611,0.00404
1966.4791,0.00367
1966.4972,0.0037
1966.5153,0.00383
1966.5333,0.00388
1966.5514,0.0039
1966.5695,0.00404
1966.5875,0.00402
1966.6056,0.0039
1966.6237,0.00387
1966.6417,0.00372
1966.6597,0.00366
1966.6777,0.00377
1966.6958,0.00419
1966.7139,0.00372
1966.7319,0.00365
1966.75,0.00372
1966.7681,0.00395
1966.7861,0.00386
1966.8042,0.00401
1966.8223,0.00413
1966.8403,0.00428
1966.8583,0.00433
1966.8763,0.00442
1966.8944,0.00461
1966.9125,0.00502
1966.9305,0.00514
1966.9486,0.00511
1966.9667,0.0051
1966.9847,0.00478
1967.0028,0.00507
1967.0209,0.00444
1967.0389,0.00431
1967.0569,0.00417
1967.075,0.00436
1967.093,0.00434
1967.1111,0.00412
1967.1292,0.00421
1967.1472,0.00427
1967.1653,0.00417
1967.1833,0.00418
1967.2014,0.0042
1967.2195,0.00427
1967.2375,0.00412
1967.2556,0.00422
1967.2736,0.00418
1967.2916,0.00419
1967.3097,0.00403
1967.3278,0.00408
1967.3458,0.00413
1967.3639,0.00406
1967.382,0.00393
1967.4,0.00407
1967.4181,0.00388
1967.4362,0.00399
1967.4542,0.00406
1967.4722,0.00407
1967.4902,0.00401
1967.5083,0.00382
1967.5264,0.00395
1967.5444,0.00373
1967.5625,0.00392
1967.5806,0.00397
1967.5986,0.004
1967.6167,0.00405
1967.6348,0.00403
1967.6528,0.00404
1967.6708,0.00408
1967.6888,0.00394
1967.7069,0.00422
1967.725,0.00417
1967.743,0.00401
1967.7611,0.0039
1967.7792,0.00388
1967.7972,0.00382
1967.8153,0.00381
1967.8334,0.00385
1967.8514,0.00375
1967.8694,0.00368
1967.8875,0.00369
1967.9055,0.00383
1967.9236,0.00361
1967.9417,0.00383
1967.9597,0.00372
1967.9778,0.00376
1967.9958,0.00385
1968.0139,0.00484
1968.032,0.0068
1968.05,0.00856
