Age,LuminGB
1943,0.913122845
1943.083,0.892523379
1943.167,0.871358407
1943.25,0.849965742
1943.333,0.850746269
1943.417,0.853364442
1943.5,0.84763336
1943.583,0.835804503
1943.667,0.843082787
1943.75,0.858212658
1943.833,0.865300719
1943.917,0.881871962
1944,0.879372432
1944.083,0.874237042
1944.167,0.86800714
1944.25,0.858902007
1944.333,0.841391573
1944.417,0.844974208
1944.5,0.840909091
1944.583,0.82135607
1944.667,0.844805867
1944.75,0.83663169
1944.833,0.845889537
1944.917,0.843285623
1945,0.852443963
1945.083,0.846715328
1945.167,0.845131558
1945.25,0.826808128
1945.333,0.831786791
1945.417,0.845899571
1945.5,0.81294964
1945.583,0.760281727
1945.667,0.78750099
1945.75,0.826475646
1945.833,0.846229196
1945.917,0.859338185
1946,0.852116825
1946.083,0.850240877
1946.167,0.835171452
1946.25,0.821889527
1946.333,0.815603714
1946.417,0.803227697
1946.5,0.802094913
1946.583,0.801834897
1946.667,0.820084939
1946.75,0.827716443
1946.833,0.823309065
1946.917,0.851952883
1947,0.873822404
1947.083,0.886410052
1947.167,0.914884024
1947.25,0.950962952
1947.333,0.907232043
1947.417,0.884253866
1947.5,0.872739323
1947.583,0.835228417
1947.667,0.855855856
1947.75,0.864330266
1947.833,0.838316487
1947.917,0.838300105
1948,0.871309095
1948.083,0.877639281
1948.167,0.887187423
1948.25,0.881250456
1948.333,0.873186511
1948.417,0.853673158
1948.5,0.851918769
1948.583,0.824411833
1948.667,0.84677068
1948.75,0.850813752
1948.833,0.922539341
1948.917,0.984253835
1949,0.938999027
1949.083,0.926933214
1949.167,0.937064394
1949.25,0.910290567
1949.333,0.903998368
1949.417,0.849916961
1949.5,0.871903387
1949.583,0.853450623
1949.667,0.868932733
1949.75,0.89437424
1949.833,0.91455459
1949.917,0.963890614
1950,0.975941589
1950.083,0.984121145
1950.167,0.960761093
1950.25,0.962031835
1950.333,0.939625366
1950.417,0.93195319
1950.5,0.929951725
1950.583,0.908623441
1950.667,0.923108457
1950.75,0.971157415
1950.833,0.994521338
1950.917,0.997484942
1951,0.918218876
1951.083,0.915214012
1951.167,0.903540461
1951.25,0.904455326
1951.333,0.875932631
1951.417,0.889505976
1951.5,0.845542362
1951.583,0.846766253
1951.667,0.853305098
1951.75,0.877832985
1951.833,0.899136939
1951.917,0.912103596
1952,0.934458329
1952.083,0.901331558
1952.167,0.903505237
1952.25,0.871274333
1952.333,0.876208641
1952.417,0.874770407
1952.5,0.864513519
1952.583,0.852279527
1952.667,0.889902072
1952.75,0.890943047
1952.833,0.888875615
1952.917,0.914742561
1953,0.912679571
1953.083,0.920635242
1953.167,0.894849975
1953.25,0.9060623
1953.333,0.864377021
1953.417,0.860372405
1953.5,0.867264032
1953.583,0.857377809
1953.667,0.860108394
1953.75,0.89541865
1953.833,0.893416129
1953.917,0.928825873
1954,0.990216974
1954.083,0.991926058
1954.167,0.933698056
1954.25,0.906500573
1954.333,0.901769589
1954.417,0.912853573
1954.5,0.874077947
1954.583,0.868022626
1954.667,0.880453312
1954.75,0.876046302
1954.833,0.894736842
1954.917,0.938482973
1955,0.925016025
1955.083,0.985691878
1955.167,0.979772202
1955.25,0.951147479
1955.333,0.959338088
1955.417,0.94100186
1955.5,0.904109589
1955.583,0.870415958
1955.667,0.912953436
1955.75,0.982689536
1955.833,1.011811349
1955.917,1.020052605
1956,1.001949344
1956.083,1
1956.167,0.996720672
1956.25,0.980436731
1956.333,0.978423767
1956.417,0.975441734
1956.5,0.929336764
1956.583,0.898881979
1956.667,0.925739878
1956.75,0.912602466
1956.833,0.94543656
1956.917,0.875664865
1957,0.866427899
1957.083,0.860490298
1957.167,0.876278722
1957.25,0.85685748
1957.333,0.885820431
1957.417,0.868468966
1957.5,0.87052406
1957.583,0.839917852
1957.667,0.844339428
1957.75,0.870496076
1957.833,0.881052568
1957.917,0.872242127
1958,0.932778812
1958.083,0.945813271
1958.167,0.951282397
1958.25,0.919135545
1958.333,0.896322811
1958.417,0.88754934
1958.5,0.879676342
1958.583,0.853788159
1958.667,0.869918699
1958.75,0.871885466
1958.833,0.870842498
1958.917,0.905660377
1959,0.930267727
1959.083,0.932799095
1959.167,0.933186512
1959.25,0.872486972
1959.333,0.861345492
1959.417,0.858419436
1959.5,0.893206512
1959.583,0.860239679
1959.667,0.867732392
1959.75,0.878348953
1959.833,0.905662114
1959.917,0.916597789
1960,0.931608331
1960.083,0.899615757
1960.167,0.907160386
1960.25,0.899943906
1960.333,0.87654315
1960.417,0.860064479
1960.5,0.865109685
1960.583,0.821232286
1960.667,0.841982081
1960.75,0.830598233
1960.833,0.874044649
1960.917,0.854603394
1961,0.860588294
1961.083,0.89395318
1961.167,0.886441764
1961.25,0.879931412
1961.333,0.89448323
1961.417,0.875041941
1961.5,0.875557157
1961.583,0.831146923
1961.667,0.863820842
1961.75,0.860869565
1961.833,0.869972161
1961.917,0.84795001
1962,0.876010216
1962.083,0.855789615
1962.167,0.909279635
1962.25,0.886410922
1962.333,0.884238623
1962.417,0.85003701
1962.5,0.868285569
1962.583,0.848755998
1962.667,0.879783317
1962.75,0.89960714
1962.833,0.887323782
1962.917,0.856037354
1963,0.897081717
1963.083,0.898648649
1963.167,0.873979634
1963.25,0.877700283
1963.333,0.855630709
1963.417,0.827202016
1963.5,0.852451023
1963.583,0.812553377
1963.667,0.828653748
1963.75,0.833656345
1963.833,0.821759184
1963.917,0.822809699
1964,0.829807417
1964.083,0.85221584
1964.167,0.858242615
1964.25,0.847480769
1964.333,0.838919728
1964.417,0.821871829
1964.5,0.834675818
1964.583,0.809220711
1964.667,0.84140127
1964.75,0.852560169
1964.833,0.844827586
1964.917,0.817565347
1965,0.822044621
1965.083,0.827949849
1965.167,0.827601191
1965.25,0.812951263
1965.333,0.831942857
1965.417,0.810815594
1965.5,0.803427559
1965.583,0.796406154
1965.667,0.823802566
1965.75,0.830636155
1965.833,0.819168286
1965.917,0.840633189
1966,0.845083597
1966.083,0.82965296
1966.167,0.840840987
1966.25,0.827599006
1966.333,0.824476859
1966.417,0.812403056
1966.5,0.835714705
1966.583,0.801362105
1966.667,0.805154605
1966.75,0.822975962
1966.833,0.819747099
1966.917,0.812599449
1967,0.825003062
1967.083,0.814872054
1967.167,0.844385103
1967.25,0.847884564
1967.333,0.841857976
1967.417,0.842275593
1967.5,0.841660199
1967.583,0.809172876
1967.667,0.829764594
1967.75,0.851475966
1967.833,0.900970405
1967.917,0.912157927
1968,0.888618816
1968.083,0.888420335
1968.167,0.881290267
1968.25,0.855323035
1968.333,0.845459203
1968.417,0.86048914
1968.5,0.817701581
1968.583,0.807711843
1968.667,0.843711253
1968.75,0.816995933
1968.833,0.835616704
1968.917,0.853644957
1969,0.868265099
1969.083,0.834087608
1969.167,0.850433498
1969.25,0.844146506
1969.333,0.84263871
1969.417,0.845115937
1969.5,0.830342124
1969.583,0.81422011
1969.667,0.825462106
1969.75,0.835440559
1969.833,0.843387079
1969.917,0.846919195
1970,0.835250514
1970.083,0.828823973
1970.167,0.852212254
1970.25,0.849930548
1970.333,0.846267778
1970.417,0.850015548
1970.5,0.863450429
1970.583,0.848796271
1970.667,0.866554942
1970.75,0.885236052
1970.833,0.938504488
1970.917,0.978852115
1971,0.965248207
1971.083,0.930243213
1971.167,0.885579401
1971.25,0.89466904
1971.333,0.87250255
1971.417,0.875483816
1971.5,0.841098849
1971.583,0.824802756
1971.667,0.850297409
1971.75,0.858882328
1971.833,0.878039552
1971.917,0.895412994
1972,0.900089627
1972.083,0.903183208
1972.167,0.883669693
1972.25,0.858146476
1972.333,0.863811947
1972.417,0.817494755
1972.5,0.820043101
1972.583,0.789770077
1972.667,0.823885373
1972.75,0.829126369
1972.833,0.85498467
1972.917,0.852379718
1973,0.860052658
1973.083,0.870471151
1973.167,0.874222521
1973.25,0.867566707
1973.333,0.8570602
1973.417,0.858299334
1973.5,0.863458439
1973.583,0.843882272
1973.667,0.867990719
1973.75,0.867549997
1973.833,0.90593164
1973.917,0.891584909
1974,0.87999325
1974.083,0.918397571
1974.167,0.964899997
1974.25,1.005318002
1974.333,0.925465225
1974.417,0.898769243
1974.5,0.878724537
1974.583,0.842393125
1974.667,0.86407767
1974.75,0.869823788
1974.833,0.849820144
1974.917,0.890677747
1975,0.892907407
1975.083,0.873272238
1975.167,0.884349931
1975.25,0.858333333
1975.333,0.878282837
1975.417,0.885789629
1975.5,0.871488123
1975.583,0.876673216
1975.667,0.872978548
1975.75,0.876481506
1975.833,0.837457283
1975.917,0.849251211
1976,0.933136106
1976.083,0.944626729
1976.167,0.91230504
1976.25,0.897306627
1976.333,0.862804586
1976.417,0.863485646
1976.5,0.84035393
1976.583,0.834152906
1976.667,0.841006218
1976.75,0.864068827
1976.833,0.893666943
1976.917,0.897984438
1977,0.913082483
1977.083,0.898660435
1977.167,0.906710706
1977.25,0.884656043
1977.333,0.894477037
1977.417,0.872093023
1977.5,0.889323287
1977.583,0.861786643
1977.667,0.878787879
1977.75,0.900693334
1977.833,0.908873311
1977.917,0.911647278
1978,0.898528315
1978.083,0.910755882
1978.167,0.883330396
1978.25,0.881449827
1978.333,0.893266432
1978.417,0.882221805
1978.5,0.864297801
1978.583,0.849447286
1978.667,0.862068966
1978.75,0.854586776
1978.833,0.861873237
1978.917,0.87787805
1979,0.890738283
1979.083,0.900272034
1979.167,0.902285066
1979.25,0.900582279
1979.333,0.898079903
1979.417,0.902035651
1979.5,0.880447499
1979.583,0.87216365
1979.667,NA
1979.75,NA
