Age,d11B
1973,23.64
1974,23.773
1975,22.947
1976,23.033
1977,23.159
1978,22.731
1979,22.9
1980,22.515
1981,22.782
1982,22.991
1983,22.95
1984,23.316
1985,23.228
1986,23.382
1987,23.631
1988,23.405
1989,23.418
1990,24.128
1991,23.384
1992,22.747
1993,23.073
1994,23.323
1995,22.722
1996,23.431
1997,23.239
1998,22.874
1999,23.021
2000,23.04
2001,22.661
2002,22.906
2003,22.862
2004,22.901
2005,22.883
2006,23.266
2007,22.909
2008,22.971
2009,23.071
