Age,Ba138Ca,BaCa,BCa,CaCa,Cd,CdCa,LiCa,MgCa,Mn,MnCa,P,PbCa,PCa,SrCa,UCa,Y,YCa,Dist
1963.104396,0.004208754,0.004211143,0.496340138,1014.672297,0.001070509,9.53E-07,0.00566586,6.375850073,2.073715425,0.003777823,12.18439175,0.000398938,0.039370587,8.821069415,0.001063544,147.810636,0.000166395,360.9432397
1963.133646,0.00414603,0.003965838,0.414103461,983.8209461,0.003319146,2.96E-06,0.005034663,4.847371624,1.142641717,0.002081625,10.6486321,0.000200801,0.034408193,8.728083423,0.001054845,77.839953,8.76E-05,360.7263447
1963.162896,0.004259602,0.004264081,0.449975232,993.8430423,0.005969264,5.31E-06,0.0053583,4.233722151,1.179608234,0.00214897,8.439076862,0.000164283,0.027268609,8.964198621,0.001254596,127.668816,0.000143721,360.5094498
1963.192146,0.004126846,0.004124759,0.489256976,1013.101604,0.00339523,3.02E-06,0.00544325,3.377131775,0.768406392,0.001399856,4.314354783,0.000127095,0.013940678,9.24381081,0.001440046,173.642388,0.000195474,360.2925548
1963.221396,0.004182425,0.004220763,0.474656428,1002.379489,0.003991324,3.55E-06,0.005826102,4.355511387,1.113863383,0.002029198,6.713421507,0.0001871,0.021692617,8.98402581,0.001323749,159.88495,0.000179987,360.0756598
1963.250646,0.004231753,0.004286545,0.482975881,983.0176359,0.00731415,6.51E-06,0.006094316,4.935383081,0.95680235,0.00174307,7.977892391,0.000200496,0.025778415,9.057716003,0.001359209,190.873406,0.000214872,359.8587648
1963.279896,0.004224788,0.00439943,0.468349222,1017.297575,0.009011331,8.02E-06,0.005793634,3.286447517,0.792541925,0.001443826,7.866603273,0.000157161,0.025418814,9.460965472,0.001730367,217.331989,0.000244657,359.6418698
1963.309147,0.004206148,0.004330072,0.489765665,996.7972715,0.00650731,5.79E-06,0.005691694,3.782246093,0.801810998,0.001460712,4.24045534,0.000191442,0.013701892,9.168564141,0.001510474,214.90431,0.000241924,359.4249749
1963.338397,0.004424925,0.004359173,0.485997139,1032.766369,0.010812725,9.63E-06,0.005485582,2.880231067,0.640904551,0.001167578,5.710881117,0.000172862,0.018453178,9.792183084,0.001799194,242.592249,0.000273093,359.2080799
1963.367647,0.004352795,0.004504429,0.516415357,1013.404274,0.016870738,1.50E-05,0.006101425,5.311437258,1.141431563,0.002079421,6.526563386,0.000313186,0.021088836,8.924264347,0.001148006,116.060843,0.000130653,358.9911849
1963.396897,0.004309192,0.003977342,0.433357002,1004.441279,0.004955696,4.41E-06,0.005620611,3.34380066,1.043010946,0.001900121,8.832206356,0.000176933,0.028538901,9.061155235,0.001310029,243.543139,0.000274164,358.7742899
1963.426147,0.004265731,0.004184737,0.494827462,989.3228238,0.014643172,1.30E-05,0.005994117,3.434773142,0.652641033,0.001188959,4.054749163,0.000159337,0.013101832,9.029777802,0.001476961,156.782165,0.000176494,358.557395
1963.455397,0.004492473,0.004534669,0.531541105,1002.679513,0.000603585,5.37E-07,0.006216016,5.278672215,1.353347656,0.002465482,8.775716764,0.000238342,0.02835637,9.00567866,0.001239943,110.584085,0.000124488,358.3405
1963.484647,0.003833967,0.004190502,0.488705382,995.7900536,0.001392819,1.24E-06,0.005505873,3.247169616,0.720639129,0.001312836,8.39601117,0.000212593,0.027129454,9.358815453,0.001460505,312.163647,0.000351412,358.123605
1963.513897,0.004643377,0.004430204,0.520179257,1002.047628,0.010783184,9.60E-06,0.005853648,3.398720841,0.62373771,0.001136304,6.881382908,0.000240885,0.02223534,9.428099089,0.001533201,243.129433,0.000273698,357.90671
1963.543148,0.004365402,0.004409946,0.513650713,998.5934628,0.009569721,8.52E-06,0.006239386,3.745215683,0.754672283,0.001374836,10.11234066,0.000190975,0.032675311,9.321177642,0.001427699,230.189528,0.000259131,357.6898151
1963.572398,0.004446436,0.004399856,0.494773917,1001.736908,0.005641443,5.02E-06,0.005168175,2.900841064,0.874547428,0.00159322,11.14226126,0.000217703,0.036003223,9.628151491,0.001732907,347.780252,0.000391507,357.4729201
1963.601648,0.00438032,0.00448227,0.485334531,996.4426594,0.004930359,4.39E-06,0.005752618,2.960323289,1.103103702,0.002009596,11.95196019,0.000173933,0.038619547,9.75090252,0.001713223,445.808499,0.00050186,357.2560251
1963.635164,0.004567342,0.004719306,0.548938672,1003.174351,0.019595763,1.74E-05,0.006559489,3.822085151,1.458155662,0.002656418,8.6530927,0.000141749,0.027960144,9.458646534,0.001598003,179.623068,0.000202207,357.0391301
1963.668681,0.004544865,0.004684291,0.494518041,988.6198295,-0.002413151,-2.15E-06,0.005909354,3.069428712,6.450596268,0.011751474,5.696687496,0.000172646,0.018407315,9.373925944,0.001586698,172.755912,0.000194477,356.8222351
1963.702197,0.003900591,0.004104843,0.523127277,992.7061073,0.005361273,4.77E-06,0.005459078,2.897832334,16.1470941,0.02941622,4.632469557,0.000130508,0.01496858,8.836240461,0.001469875,190.875634,0.000214874,356.6053402
1963.735714,0.004481851,0.004465208,0.540098705,1004.066553,0.006167789,5.49E-06,0.005362581,3.483968419,11.10502224,0.020230747,5.051456467,0.000169593,0.016322424,9.390921559,0.001554515,194.45774,0.000218907,356.3884452
1963.76923,0.004098312,0.004370524,0.526100965,977.184092,0.0094432,8.41E-06,0.005368323,4.536155328,10.89461018,0.019847426,6.577747771,0.000225693,0.021254224,8.999825778,0.001389996,162.926157,0.000183411,356.1715502
1963.802747,0.004468827,0.004361236,0.512457683,993.5406291,-0.002629832,-2.34E-06,0.005428986,3.720364481,2.541807864,0.004630578,5.783844153,0.000226966,0.018688938,9.135962781,0.001496419,165.716247,0.000186552,355.9546552
1963.836263,0.004566054,0.004502459,0.613164593,998.9443923,0.01224076,1.09E-05,0.006162144,5.791187496,1.935894885,0.003526747,6.429616705,0.000262547,0.020775578,8.861011202,0.001193807,89.644399,0.000100915,355.7377603
1963.86978,0.004204844,0.004247828,0.497393085,1001.670831,0.003187132,2.84E-06,0.006020556,3.997450477,1.312936196,0.002391862,9.26013351,0.00015827,0.029921633,8.959084311,0.001263929,184.298825,0.000207471,355.5208653
1963.903296,0.004285442,0.004484012,0.531940069,1001.599263,0.004154311,3.70E-06,0.006350812,5.010773674,2.465647267,0.004491831,7.100731996,0.00027155,0.022944107,8.981210402,0.001196337,141.480694,0.000159269,355.3039703
1963.936813,0.004113594,0.004194491,0.449279885,998.5348558,0.017290001,1.54E-05,0.004957146,3.805851276,8.883964997,0.016184502,11.48079013,0.000281658,0.037097088,8.970860465,0.001318886,160.015919,0.000180135,355.0870753
1963.97033,0.003904065,0.003987779,0.48048077,1015.160502,-0.002433219,-2.17E-06,0.005968827,4.056367039,2.374655738,0.004326066,7.309704483,0.000174222,0.023619346,9.037941624,0.001365955,173.145564,0.000194915,354.8701803
1964.003846,0.004199401,0.003948169,0.490352685,998.8881229,-0.002187794,-1.95E-06,0.005631864,4.249529324,2.714499378,0.004945182,6.334806809,0.000173148,0.020469226,8.929243599,0.001237975,217.182092,0.000244488,354.6532854
1964.037363,0.004427099,0.00433657,0.453174509,1020.318555,0.000970271,8.64E-07,0.005662653,4.712879516,6.756913312,0.012309512,9.354334489,0.000215185,0.030226018,9.021988766,0.001289293,192.181952,0.000216345,354.4363904
1964.070879,0.004116368,0.004308654,0.499608531,996.2717046,0.000836952,7.45E-07,0.006099364,4.849284887,3.967625631,0.007228084,7.015484302,0.000268508,0.022668652,9.010582114,0.001253975,172.212251,0.000193865,354.2194954
1964.104396,0.004347813,0.004176516,0.5110984,1003.80383,0.002421461,2.16E-06,0.005486686,4.308749254,2.601070662,0.004738541,5.829349141,0.000237066,0.018835975,9.049062309,0.001301926,152.297426,0.000171446,354.0026004
1964.142646,0.003723903,0.004059792,0.5131995,992.6973748,0.003946785,3.51E-06,0.005846995,4.656858414,4.049880511,0.007377933,6.256907901,0.000239842,0.020217516,8.762551976,0.001161002,174.808055,0.000196787,353.7857055
1964.180896,0.004298012,0.004072547,0.505834338,997.7536419,0.000205859,1.83E-07,0.005534705,4.332144766,7.140322758,0.013007994,7.096177617,0.000274024,0.022929391,9.07199013,0.001249952,181.740985,0.000204591,353.5688105
1964.219146,0.003928532,0.00427562,0.519857667,1004.498232,0.007115256,6.34E-06,0.005448452,4.739519896,3.65194087,0.00665298,9.224904123,0.00025894,0.029807798,8.939081836,0.001237377,203.731805,0.000229347,353.3519155
1964.257396,0.004167293,0.004136899,0.479653041,993.0209072,0.002574565,2.29E-06,0.005357223,4.389697888,2.693565133,0.004907044,7.818788132,0.000300827,0.025264313,8.98025223,0.001347836,252.927945,0.000284729,353.1350205
1964.295646,0.003817297,0.003913132,0.42978169,994.9650329,0.006408022,5.71E-06,0.004793995,2.907065582,0.989805533,0.001803194,8.157921059,0.000205966,0.026360129,9.234209195,0.001554865,399.66224,0.000449912,352.9181256
1964.333897,0.003977649,0.004095017,0.502904397,990.2733541,0.014705787,1.31E-05,0.006212303,4.227909341,1.130904678,0.002060243,8.390940022,0.000266271,0.027113068,9.015337484,0.001328844,261.739489,0.000294648,352.7012306
1964.372147,0.004222947,0.004419977,0.480708737,984.8628421,0.009470247,8.43E-06,0.005577529,4.21941744,0.879466218,0.001602181,9.374532214,0.000227218,0.030291281,9.28030575,0.001493315,270.018189,0.000303968,352.4843356
1964.410397,0.004175571,0.004315604,0.528379081,987.3779407,0.008813851,7.85E-06,0.005647385,3.927589014,0.586059862,0.001067664,9.000749054,0.000264594,0.029083502,9.159541682,0.001395758,251.149262,0.000282726,352.2674406
1964.448647,0.004301308,0.004367556,0.517106617,995.2210694,0.009031069,8.04E-06,0.005784767,3.843258178,0.450606787,0.0008209,8.4337568,0.000209343,0.027251419,9.142979263,0.001458179,219.868463,0.000247513,352.0505456
1964.486897,0.004472371,0.004418836,0.525651429,995.2197591,0.019025731,1.69E-05,0.005875772,4.450069607,0.484626382,0.000882876,9.129044686,0.000355763,0.029498054,9.05239653,0.00122286,209.90693,0.000236299,351.8336507
1964.525147,0.004176105,0.004226029,0.514261971,989.2002105,0.005161907,4.60E-06,0.005808059,3.33947573,0.363269241,0.000661791,9.763367245,0.000267818,0.031547697,9.297805454,0.001437704,215.58637,0.000242692,351.6167557
1964.563398,0.003990083,0.004130358,0.486174068,1010.546145,0.002336908,2.08E-06,0.005236881,2.531666078,0.326599229,0.000594987,5.53405607,0.000177955,0.017881815,9.67327976,0.001691975,319.332393,0.000359482,351.3998607
1964.601648,0.004114902,0.003967058,0.448449496,1006.190528,-0.003136136,-2.79E-06,0.004530879,2.331233667,0.269314717,0.000490628,9.178909989,0.000175296,0.029659181,9.702597965,0.001743801,282.94687,0.000318522,351.1829657
1964.631221,0.004013062,0.004243792,0.494404625,1011.847293,0.003331849,2.97E-06,0.005960812,3.183377166,0.339400611,0.000618308,6.69208537,0.000191245,0.021623675,9.492588994,0.001612211,146.378781,0.000164783,350.9660708
1964.660795,0.004163668,0.004381835,0.542457952,1003.619883,0.004592036,4.09E-06,0.005371822,3.498726792,0.413069226,0.000752515,7.164994765,0.000292813,0.023151755,9.370149372,0.001550794,198.550123,0.000223514,350.7491758
1964.690368,0.004117298,0.004237352,0.499919317,998.0561865,0.006746543,6.01E-06,0.005583207,3.467454352,0.370932453,0.000675752,8.714955129,0.000249927,0.028160035,9.353822823,0.001462497,248.889554,0.000280182,350.5322808
1964.719941,0.004186359,0.004330874,0.54440949,1005.305434,0.005557842,4.95E-06,0.006042361,3.723078999,0.39475572,0.000719152,8.62971936,0.000238069,0.027884619,9.231852145,0.001437287,162.733232,0.000183194,350.3153858
1964.749515,0.003696625,0.003920229,0.481975598,991.6649652,0.002608002,2.32E-06,0.005731776,2.248928655,0.279079394,0.000508417,8.395028636,0.000148836,0.027126279,9.539029827,0.001804458,322.477389,0.000363022,350.0984909
1964.779088,0.004078659,0.003880948,0.532834075,999.8147777,0.003325236,2.96E-06,0.005985983,2.713101447,0.245274044,0.000446832,8.191403945,0.000186211,0.02646832,9.479503492,0.001645524,244.522755,0.000275267,349.8815959
1964.808662,0.004081133,0.00398587,0.49687059,1002.085116,0.010219451,9.10E-06,0.005744195,3.018214123,0.26767827,0.000487647,9.370267324,0.000208413,0.030277501,9.352359883,0.001467849,253.103935,0.000284927,349.6647009
1964.838235,0.004195401,0.004246935,0.502499134,986.561363,0.009046197,8.05E-06,0.005437413,3.132993909,0.277649964,0.000505813,11.32171394,0.000305949,0.036583076,9.31910136,0.001456324,182.301855,0.000205223,349.4478059
1964.867808,0.003775527,0.00393189,0.547211373,992.8257062,0.003512107,3.13E-06,0.005200492,2.699727885,0.277790119,0.000506068,9.310318446,0.000158363,0.030083792,9.436558739,0.001552922,231.176564,0.000260242,349.2309109
1964.897382,0.003923825,0.003993106,0.534818061,998.5278433,0.006141916,5.47E-06,0.005622725,3.377295115,0.289086966,0.000526649,8.028232114,0.000187766,0.025941075,9.115877074,0.001396858,208.442522,0.00023465,349.014016
1964.926955,0.004098483,0.004052685,0.530479801,1001.782401,0.008481227,7.55E-06,0.0058703,3.544058941,0.334199132,0.000608832,8.555823127,0.000238,0.027645843,9.07540605,0.001332191,203.623491,0.000229225,348.797121
1964.956529,0.003936979,0.004023223,0.462643083,1010.821413,0.007641327,6.80E-06,0.006053357,3.357802438,0.344414317,0.000627442,8.419360956,0.000237199,0.027204902,8.908042076,0.001187837,176.266499,0.000198428,348.580226
1964.986102,0.004033055,0.003894732,0.468324311,991.9173433,0.000867097,7.72E-07,0.00539447,3.370125365,0.320928755,0.000584657,7.731350336,0.000223543,0.024981781,9.022460453,0.001343681,184.534545,0.000207736,348.363331
1965.015675,0.004000599,0.003772037,0.468932704,990.9621366,0.008456051,7.53E-06,0.005402905,4.065867715,0.412720842,0.000751881,7.844451857,0.000171064,0.025347238,8.819565842,0.001194596,115.644652,0.000130185,348.1464361
1965.045249,0.004546152,0.004264896,0.51304773,1008.139347,0.004907238,4.37E-06,0.005442523,4.189766611,0.395283614,0.000720114,4.917795808,0.000223077,0.015890536,8.9970851,0.001298438,104.149214,0.000117244,347.9295411
1965.074822,0.004030801,0.004019838,0.524905518,999.0555942,0.010440374,9.30E-06,0.005131432,4.196684566,0.370748924,0.000675418,7.660434157,0.000205533,0.024752634,8.870545509,0.001162981,109.265528,0.000123003,347.7126461
