Age,BaCa,MgCa,SrCa,UCa,YCa
1979.54,0.0124566,4.1074,9.3423,0.001532,8.46E-05
1979.57,0.0110862,4.2605,9.2563,0.0015314,7.53E-05
1979.6,0.011227,4.2575,9.2882,0.0015094,8.12E-05
1979.64,0.0108077,4.4966,9.1998,0.0013918,7.17E-05
1979.67,0.0108675,4.4783,9.1997,0.0013768,7.68E-05
1979.7,0.0108628,4.3429,9.2559,0.0013545,7.45E-05
1979.74,0.0111718,4.505,9.2104,0.0012764,7.25E-05
1979.77,0.0105189,4.0403,9.2968,0.0013635,9.06E-05
1979.81,0.0103225,5.0921,9.2543,0.001367,9.04E-05
1979.84,0.0101904,4.0452,9.1857,0.0013326,7.39E-05
1979.87,0.0106674,4.2601,9.1022,0.0012807,7.04E-05
1979.91,0.0105864,4.2725,9.1019,0.001265,7.54E-05
1979.94,0.010471,4.3137,9.0589,0.0013405,0.0001282
1979.97,0.0107987,4.3924,9.1021,0.0013225,0.0001136
1980.01,0.0094758,4.6417,9.0583,0.0012869,0.0001053
1980.04,0.0090309,5.9376,8.933,0.0012447,0.0001497
1980.12,0.009569,4.5408,9.0172,0.0012316,8.62E-05
1980.21,0.0090035,4.5434,9.0315,0.0012275,0.0001021
1980.29,0.0096779,5.0048,9.0362,0.0012402,0.0001195
1980.37,0.0089322,4.7757,9.0838,0.0012407,9.31E-05
1980.46,0.0097211,4.8053,9.0674,0.0012718,0.0001864
1980.54,0.009554,4.9865,9.1964,0.0013237,0.0001438
1980.62,0.0102415,4.4214,9.2749,0.0014246,0.0001213
1980.66,0.0104882,4.7403,9.221,0.0013263,0.0001178
1980.71,0.0105344,5.0956,9.1903,0.0013439,0.0001296
1980.75,0.0117255,4.6801,9.2234,0.0013784,0.0001161
1980.79,0.0119831,4.6298,9.2185,0.0014395,0.0001218
1980.83,0.0110578,4.617,9.1559,0.0013532,9.85E-05
1980.87,0.0111163,4.5933,9.1658,0.0014229,0.0001192
1980.91,0.0114902,4.8678,9.2024,0.001448,0.0001103
1980.96,0.0110976,4.7124,9.1956,0.0014473,0.0001068
1981,0.0115683,4.8019,9.1802,0.0014085,0.0001196
1981.04,0.0111274,4.8065,9.2346,0.0014594,0.0001088
1981.08,NA,4.8896,9.0929,0.0013836,0.0001238
1981.12,0.0099969,5.1692,9.0716,0.001372,0.0001224
1981.17,0.0090467,4.642,9.1377,0.0013446,9.83E-05
1981.22,0.0095834,4.7325,9.0842,0.0013293,0.0001029
1981.27,0.0090846,4.3659,9.2212,0.0013379,7.19E-05
1981.32,0.0104679,4.2028,9.2303,0.0013358,7.05E-05
1981.37,0.011297,4.354,9.2286,0.0013138,6.88E-05
1981.42,0.0125823,4.1037,9.2828,0.0013896,7.07E-05
