Age,Ba138Ca,BaCa,BCa,CdCa,FeCa,LiCa,MgCa,MnCa,PbCa,PCa,SrCa,UCa,YCa
1984.57,0.0062954947,0.0063118605,0.5488958001,0.0000949932,0.1224546037,0.0060139754,3.4640492787,0.0077148723,0.0003285629,0.0618199786,9.6151440952,0.0016877664,0.0000503727
1984.59,0.0067930168,0.0068852469,0.5471208544,0.0001706615,0.1936930023,0.0062635942,3.8384872564,0.0110527064,0.0005059109,0.0914966437,9.5463724677,0.0015706219,0.0000509348
1984.6,0.0058351469,0.0058972972,0.5962661660,0.0000712637,0.0926791992,0.0071082460,3.3522915976,0.0069978404,0.0002655450,0.0696853459,9.4220894600,0.0015528389,0.0000379762
1984.62,0.0066991386,0.0066502856,0.5681701561,0.0000895615,0.1096340878,0.0061242468,3.1374685074,0.0078563859,0.0002839736,0.1464851967,9.5608133190,0.0016440366,0.0000431396
1984.64,0.0075116720,0.0078798857,0.5532932358,0.0001068231,0.1028582647,0.0060411574,3.1608996374,0.0101388041,0.0002915896,0.2075175152,9.6056117802,0.0017025964,0.0000486040
1984.66,0.0089814359,0.0089173246,0.6140695365,0.0000769444,0.0845645216,0.0066306170,3.3755591918,0.0125561710,0.0003084334,0.3121119626,9.4300499412,0.0015452290,0.0000264494
1984.67,0.0087805176,0.0087304185,0.5884481983,0.0000892662,0.0946133856,0.0062124580,3.2825609942,0.0114541127,0.0003618451,0.2606252658,9.4060258323,0.0015009460,0.0000293683
1984.69,0.0082782989,0.0085960034,0.5719417092,0.0000677368,0.0769286624,0.0060833409,3.1204605041,0.0096832059,0.0002158602,0.2474153902,9.4646504458,0.0015802851,0.0000376085
1984.71,0.0081955844,0.0080909494,0.5791355461,0.0000444524,0.0746129054,0.0061021759,3.2406524498,0.0060311322,0.0001688555,0.1359333786,9.3518387611,0.0015166993,0.0000338345
1984.72,0.0074354844,0.0080099365,0.5670235679,0.0000471175,0.0813749343,0.0060023869,3.3365207110,0.0059772440,0.0002470038,0.0809462960,9.2921149939,0.0014467626,0.0000319808
1984.74,0.0071097797,0.0071993470,0.4854347031,0.0000642241,0.0922300813,0.0053360686,2.9618694144,0.0059731202,0.0001784671,0.0962062872,9.3514383660,0.0016357006,0.0000620179
1984.76,0.0075307290,0.0074151567,0.4686812622,0.0000555550,0.0772712870,0.0050916044,2.9117340397,0.0063966923,0.0001464363,0.1298932076,9.5284403879,0.0016895244,0.0000598936
