Age,BaCa,BCa,BMg,d11B,LiCa,LiMg,MgCa,SrCa,UB,UCa,USr,d11B_pHcf_pres
2009.983334,0.003899068,0.3426975,68.61978,22.54839,0.006213157,1.244087,4.994151,8.80676294,0.002818,0.000965574,0.10964,8.361794569
2010.083334,0.003895548,0.3339147,63.42749,22.62044,0.006271502,1.191279,5.264511,8.763797747,0.002799,0.00093472,0.106657,8.360941975
2010.178334,0.003905511,0.3407382,64.52688,22.81,0.006225401,1.178928,5.280562,8.792668286,0.002746,0.000935644,0.106412,8.37694273
2010.258334,0.003720461,0.3593926,70.59641,22.77325,0.007066153,1.388023,5.090805,8.832454845,0.002698,0.000969516,0.109767,8.383613343
2010.383334,0.003478459,0.3816865,78.50062,23.05306,0.006592304,1.355825,4.86221,8.930636402,0.002649,0.001011165,0.113224,8.416435541
2010.458334,0.003419823,0.4164635,88.89534,23.27768,0.006872232,1.466898,4.684874,8.960456847,0.002508,0.001044532,0.116571,8.442899982
2010.568334,0.003576235,0.4151405,93.28319,23.0513,0.00677773,1.522974,4.450325,9.005779567,0.002604,0.001081024,0.120037,8.434416295
2010.783334,0.004442617,0.3900123,82.25074,22.82366,0.006732503,1.419835,4.741749,8.900265572,0.002616,0.001020128,0.114618,8.398261095
2010.908334,0.005569359,0.3642836,72.52958,22.70565,0.006582101,1.310509,5.022551,8.845609321,0.002672,0.000973521,0.110057,8.386729983
2010.978334,0.004771484,0.3383669,67.4372,22.49621,0.006268788,1.249382,5.017512,8.793193152,0.002846,0.000962829,0.109497,8.352953696
2011.058334,0.003841634,0.3261435,63.24748,22.43867,0.006197856,1.201921,5.156624,8.775906671,0.002933,0.000956586,0.109001,8.344301695
2011.158334,0.004169341,0.3405772,65.50002,22.65481,0.006291677,1.210019,5.19965,8.788773751,0.002791,0.000950522,0.108152,8.362962818
2011.258334,0.004207962,0.3640424,71.96423,22.86118,0.006453687,1.275771,5.058657,8.859184021,0.002648,0.000963861,0.108798,8.395217928
2011.358334,0.003827473,0.4010456,86.55228,23.20623,0.006658934,1.437108,4.633565,8.915856128,0.002591,0.001039075,0.116542,8.434835196
2011.483334,0.003493363,0.4426579,101.9527,23.62426,0.006879706,1.58453,4.341796,9.042800533,0.00248,0.001097662,0.121385,8.478875441
2011.658334,0.003968813,0.4493291,107.8036,23.47661,0.006756829,1.621108,4.168033,9.079798065,0.002518,0.001131343,0.1246,8.478856737
2011.808334,0.005493192,0.4020204,86.90192,23.08049,0.006532161,1.412011,4.626139,8.940004239,0.002563,0.001030437,0.115261,8.427015104
2011.968503,0.005360483,0.3523654,70.25803,22.78915,0.006246587,1.245505,5.015305,8.800394903,0.002687,0.000946703,0.107575,8.375620577
2012.080368,0.004470452,0.3394079,64.76925,22.50003,0.006152425,1.174068,5.240264,8.778089041,0.002715,0.000921452,0.104972,8.345264611
2012.158334,0.004372022,0.3474765,66.2781,22.91755,0.006212309,1.184944,5.242705,8.786346006,0.002672,0.000928465,0.105671,8.372987112
2012.283334,0.004042959,0.3726416,73.36891,23.29438,0.006456229,1.271158,5.079013,8.849053493,0.002575,0.000959531,0.108433,8.419820183
2012.358334,0.003815726,0.4103416,85.30479,23.35083,0.006700441,1.392936,4.8103,8.94819002,0.002457,0.001008143,0.112664,8.443568925
2012.483334,0.003867933,0.4383325,99.60014,23.49436,0.006790563,1.542986,4.400923,9.048104039,0.002458,0.001077486,0.119084,8.472681322
2012.63969,0.004018763,0.4395374,100.6209,23.57522,0.006805205,1.557878,4.368253,9.054061763,0.002445,0.001074812,0.11871,8.484200637
2012.773334,0.005067586,0.4109874,88.5868,23.2329,0.006665592,1.436744,4.639375,8.953393847,0.002481,0.001019602,0.113879,8.437881649
2012.863419,0.00545967,0.3717543,77.30756,23.16122,0.006313025,1.312815,4.80877,8.885711871,0.002575,0.00095731,0.107736,8.415993272
2012.975283,0.005580965,0.3542032,70.41315,23.10204,0.006185758,1.229686,5.030356,8.816843619,0.002614,0.000925851,0.105009,8.401796436
