Age,BaCa,BCa,BMg,d11B,LiCa,LiMg,MgCa,SrCa,UB,UCa,USr,d11B_pHcf_pres
2007.458334,0.003166609,0.4093802,89.33063,23.28608,0.006697687,1.461498,4.582753,9.003006758,0.002632,0.001077511,0.119683,8.449835547
2007.558334,0.003089905,0.4300094,99.98605,23.80076,0.00667127,1.551208,4.300694,9.02060774,0.002545,0.001094279,0.121309,8.497648889
2007.658334,0.003450928,0.4306571,99.07778,23.98724,0.00664081,1.527797,4.346657,9.030058491,0.002506,0.001079307,0.119524,8.509373593
2007.808334,0.004122046,0.4035228,87.26334,23.58452,0.006561215,1.418888,4.624196,8.923610787,0.002526,0.001019432,0.11424,8.455500695
2007.883334,0.004007488,0.3702085,75.33314,23.28021,0.006372168,1.296662,4.914284,8.849405014,0.00262,0.000969951,0.109606,8.420291492
2007.958334,0.003771604,0.3455182,68.44496,23.13751,0.006207636,1.229693,5.048117,8.831511191,0.002739,0.000946287,0.107149,8.39564466
2008.133334,0.003527538,0.3542012,70.42262,23.31364,0.006210035,1.234685,5.029651,8.813441546,0.002689,0.000952369,0.108059,8.402989283
2008.208334,0.00333754,0.3707171,75.19059,23.59144,0.006369491,1.29189,4.930365,8.841422432,0.002597,0.000962828,0.1089,8.436862207
2008.333334,0.00320949,0.4058894,86.35224,23.75278,0.006585523,1.401058,4.700392,8.932202315,0.002487,0.001009262,0.112991,8.474820309
2008.433334,0.003263858,0.4298753,95.98968,23.90593,0.006709855,1.498288,4.478349,9.017781192,0.002452,0.001054114,0.116893,8.49660283
2008.633334,0.003285251,0.4458271,101.7584,23.95755,0.006780652,1.547659,4.381232,9.043485377,0.002398,0.001069185,0.118227,8.513300831
2008.708334,0.003959715,0.4234364,93.25062,23.57861,0.00668853,1.472971,4.540843,8.991586807,0.002456,0.001040088,0.115673,8.463180798
2008.808334,0.004509027,0.387843,79.22124,23.22641,0.006500845,1.32787,4.895694,8.883030177,0.002534,0.000982691,0.110626,8.43127081
2008.948334,0.004549604,0.3425417,65.99561,22.73793,0.006240743,1.20237,5.19037,8.786459833,0.002727,0.000933981,0.106298,8.364152232
2009.060029,0.003963342,0.3364908,63.60443,22.75022,0.006203524,1.172607,5.290368,8.77061054,0.002737,0.000920931,0.105002,8.367226115
2009.133334,0.003845334,0.3470388,65.59507,22.78968,0.006271885,1.185472,5.290623,8.786619242,0.002686,0.00093209,0.106081,8.370800112
2009.208334,0.003532615,0.3584277,69.08396,23.06496,0.006343077,1.222575,5.188291,8.831801433,0.002623,0.000940311,0.106469,8.399121507
2009.333334,0.00325884,0.3797811,76.02869,23.22524,0.00657644,1.316543,4.995235,8.882750933,0.002548,0.000967532,0.108923,8.431028928
2009.408334,0.003091713,0.4080071,86.88916,23.36375,0.006672692,1.421016,4.695719,8.954954798,0.002495,0.001017812,0.113659,8.451727389
2009.583334,0.003246264,0.4174321,93.10766,23.14871,0.006747201,1.504954,4.483327,9.011086801,0.002553,0.00106574,0.11827,8.44406615
2009.658334,0.003437446,0.405704,90.27448,23.07339,0.006701702,1.491217,4.494117,8.99714857,0.002639,0.001070664,0.119,8.43932045
2009.808334,0.003891219,0.3906607,83.84968,22.80918,0.00661052,1.418853,4.65906,8.930065953,0.002638,0.001030408,0.115386,8.404092695
2009.908334,0.004102193,0.363509,75.96506,22.63446,0.00643515,1.344799,4.785214,8.89636714,0.002749,0.000999291,0.112326,8.388138574
