Age,BaCa,BCa,MgCa,SrCa,UCa,Distance
-5884.9,0.003223,0.42025,3.666,8.475,0.0009787,39.73
-5884.87,0.003235,0.42574,3.863,8.431,0.0009769,39.4
-5884.85,0.00339,0.4123,3.768,8.551,0.0009777,39.07
-5884.82,0.003478,0.43897,3.807,8.568,0.0009957,38.74
-5884.79,0.00349,0.43657,3.52,8.542,0.0010121,38.41
-5884.76,0.003539,0.43758,3.899,8.544,0.0010096,38.08
-5884.74,0.00299,0.42255,3.741,8.569,0.0010067,37.75
-5884.71,0.002657,0.41764,3.598,8.587,0.0010059,37.42
-5884.68,0.002619,0.42697,3.626,8.522,0.0010042,37.09
-5884.65,0.002634,0.44618,3.674,8.589,0.0010432,36.76
-5884.62,0.002972,0.45328,4.163,8.639,0.0009842,36.43
-5884.6,0.002599,0.46079,3.877,8.63,0.0009927,36.1
-5884.57,0.002276,0.4596,3.46,8.645,0.0010272,35.77
-5884.54,0.002004,0.47644,2.999,8.684,0.0011257,35.44
-5884.51,0.002026,0.515,3.168,8.701,0.0011352,35.11
-5884.49,0.002027,0.51939,3.096,8.914,0.0011259,34.78
-5884.46,0.001962,0.52232,3.112,8.919,0.0011699,34.45
-5884.42,0.001816,0.51836,3.027,8.826,0.0011306,34.12
-5884.39,0.002009,0.52163,3.281,8.765,0.001057,33.79
-5884.35,0.002429,0.45833,2.832,8.747,0.0011853,33.46
-5884.32,0.002803,0.43467,2.762,8.596,0.0011651,33.13
-5884.28,0.002876,0.45928,3.399,8.581,0.0010077,32.8
-5884.24,0.003132,0.47024,3.536,8.577,0.0010181,32.47
-5884.21,0.00357,0.46018,3.448,8.609,0.0010535,32.14
-5884.17,0.004438,0.43979,3.408,8.584,0.0010517,31.81
-5884.14,0.004143,0.44301,3.496,8.524,0.0009749,31.48
-5884.1,0.003628,0.4661,3.459,8.516,0.0009821,31.15
-5884.07,0.002841,0.48349,3.347,8.465,0.0009733,30.82
-5884.03,0.003295,0.47829,3.368,8.59,0.0010328,30.49
-5883.99,0.003588,0.43748,3.211,8.59,0.001024,30.16
-5883.96,0.003976,0.44817,3.56,8.532,0.0010139,29.83
-5883.92,0.004144,0.43741,3.63,8.514,0.0009884,29.5
-5883.89,0.003455,0.4374,3.652,8.58,0.0010208,29.17
-5883.85,0.002981,0.42206,3.48,8.497,0.0010231,28.84
-5883.82,0.003282,0.43162,3.777,8.594,0.0010468,28.51
-5883.78,0.002562,0.45878,3.389,8.633,0.0010784,28.18
-5883.74,0.002259,0.44921,3.544,8.537,0.0010761,27.85
-5883.71,0.002261,0.44372,3.403,8.63,0.0010522,27.52
-5883.67,0.002273,0.45973,3.172,8.677,0.0010891,27.19
-5883.64,0.002395,0.46924,3.186,8.722,0.0011215,26.86
-5883.6,0.002418,0.50564,3.46,8.743,0.0010771,26.53
-5883.57,0.002049,0.48472,3.331,8.663,0.0010364,26.2
-5883.53,0.001997,0.47299,3.095,8.655,0.0011238,25.87
-5883.49,0.002061,0.4863,3.301,8.762,0.0011104,25.54
-5883.46,0.002011,0.49635,3.149,8.84,0.0011488,25.21
-5883.41,0.002067,0.51739,3.154,8.688,0.0011461,24.88
-5883.36,0.002157,0.50183,2.883,8.75,0.001145,24.55
-5883.32,0.002389,0.49245,2.999,8.677,0.0010908,24.22
-5883.27,0.002649,0.51313,3.211,8.74,0.0011168,23.89
-5883.22,0.003173,0.52637,3.433,8.691,0.0010702,23.56
-5883.18,0.004427,0.50589,3.364,8.695,0.001075,23.23
-5883.13,0.003817,0.48551,3.144,8.565,0.0010797,22.9
-5883.08,0.004414,0.47303,2.908,8.642,0.0011296,22.57
