Age,BaCa,d13C,d18O,MgCa,Mn,SrCa,d18Osw
-4097,0.006649612,-2.4,-4.8,3.819078967,0.856934175,9.010980104,-0.5275
-4092,0.005153728,-2.3,-4.5,3.699501694,0.819082175,9.037988584,-0.302
-4087,0.006247395,-2.2,-4.6,3.782984346,1.256472175,9.022694097,-0.3594
-4082,0.004518531,-2.1,-4.6,3.850037055,0.760695775,8.971263518,-0.2143
-4077,0.00503243,-2.1,-4.7,3.795090181,0.560021375,8.919445832,-0.1687
-4072,0.005304564,-2,-4.8,3.74884153,0.645756425,8.896087035,-0.2033
-4067,0.006787785,-1.7,-4.4,3.669010941,0.990047175,9.026902351,-0.1701
-4062,0.005935659,-2.3,-4.8,3.893164456,0.919341175,8.874801628,-0.1433
-4057,0.006785417,-2,-4.4,3.628479915,0.766145375,8.945719085,0.0589
-4052,0.005115362,-2,-4.6,3.822711492,1.218102175,8.912809347,-0.0494
-4047,0.005511213,-1.9,-4.7,3.721462023,1.525579175,8.971221751,-0.3147
-4042,0.004293975,-1.9,-4.6,3.749644995,1.839172175,8.952841809,-0.1623
-4037,0.00414587,-2.1,-4.5,3.816407436,2.211158175,8.992263102,-0.173
