Age,d15N
1863.5,5.85
1864.3,6.18
1864.6,5.93
1865,6.76
1865.5,6.44
1866,5.34
1866.25,5.5
1866.75,5.47
1867.3,6.08
1868,5.11
1868.3,6.09
1869,6.33
1869.25,6.6
1869.8,6.82
1870.1,5.86
1871.4,5.24
1872,5.78
1872.5,5.62
1872.9,5.75
1873.4,5.11
1873.9,5.87
1874.3,5.5
1874.6,5.41
1875,6.2
1875.5,5.65
1876.5,6.46
1877.5,6.91
1878.2,6.51
1878.8,6.17
1879.5,5.85
1880.5,6.28
1881.3,6.92
1881.6,6.47
1882.3,5.92
1883,5.61
1884,5.9
1884.25,5.64
1884.75,5.71
1885.25,6.07
1885.75,5.75
1886.25,5.64
1886.75,5.31
1887,5.14
1888,5.2
1888.25,5.4
1888.75,5.37
1889.4,5.66
1890,6.38
1891,5.59
1891.5,5.23
1892,5.53
1892.4,5.47
1892.8,5.34
1893.25,6.09
1893.75,6.25
1894.25,5.58
1894.75,5.67
1895.25,5.37
1895.75,5.05
1896,5.51
1897,5.54
1898,5.96
1898.75,5.7
1899.25,5.53
1899.75,5.63
1900.3,5.44
1901,5.84
1901.5,5.23
1902,5.18
1903,5.85
1904,6.02
1905,6.85
1905.5,6.95
1906,7.02
1906.5,6.54
1907,6.41
1907.5,5.99
1908,5.97
1908.5,6.14
1909,6.55
1909.5,6.44
1910,6.7
1910.5,6.74
1911,6.07
1911.5,5.82
1912,5.93
1912.5,6.05
1913,6.25
1913.5,6.59
1914,5.7
1914.5,5.54
1915,5.05
1915.5,5.42
1916,5.4
1916.5,5.22
1917,5.64
1917.5,5.43
1918,6.16
1918.5,6.13
1919,5.83
1919.5,5.93
1920,6.43
1920.5,6
1921,6.11
1921.5,5.84
1922,5.93
1922.5,5.74
1923,6.07
1923.5,5.94
1924,6.38
1924.5,5.87
1925,5.93
1925.5,6.06
1926,6.53
1926.5,6.35
1927,6.58
1927.5,5.99
1928,6.03
1928.5,5.8
1929,5.57
1929.5,5.3
1930,5.83
1930.5,5.26
1931,6.15
1931.5,5.54
1932,6.04
1932.5,6.52
1933,5.94
1933.5,5.61
1934,6.15
1934.5,6.74
1935,5.4
1935.5,5.4
1936,5.86
1936.5,5.34
1937,5.2
1937.5,5.26
1938,5.11
1938.5,5.45
1939,5.63
1939.5,5.19
1940,5.9
1940.5,6.05
1941,5.46
1941.5,5.94
1942,5.62
1942.5,6.12
1943,5.94
1943.5,5.18
1944,6.23
1944.5,5.7
1945,5.75
1945.5,5.27
1946,5.16
1946.5,5.44
1947,5.78
1947.5,5.05
1948,4.82
1948.5,4.97
1949,5.49
1949.5,5.39
1950,5.15
1950.5,5.04
1951,5.33
1951.5,5.06
1952,5.06
1952.5,5.18
1953,5.82
1953.5,5.53
1954,5.94
1954.5,5.62
1955,5.56
1955.5,5.75
1956,4.88
1956.5,5.09
1957,4.58
1957.5,4.81
1958,5.56
1958.5,5.58
1959,5.16
1959.5,6.01
1960,6.13
1960.5,5.54
1961,5.8
1961.5,6.19
1962,5.51
1962.5,5.92
1963,5.45
1963.5,5.94
1964,6.04
1964.5,5.98
1965,6.46
1965.5,5.84
1966,5.79
1966.5,5.84
1967,5.8
1967.5,5.23
1968,5.36
1968.5,5.69
1969,4.89
1969.5,5.41
1970,5.26
1970.5,4.8
1971,5.3
1971.5,6.53
1972,5.26
1972.5,6.02
1973,5.52
1973.5,6.24
1974,5.29
1974.5,5.84
1975,5.5
1975.5,5.45
1976,5.17
1976.5,4.7
1977,4.66
1977.5,4.93
1978,4.95
1978.5,5.24
1979,5.85
1979.5,6
1980,5.68
1980.5,6.12
1981,6.46
1981.5,6.53
1982,6.33
1982.5,6.11
1983,5.77
1983.5,6.13
1984,5.4
1984.5,5.2
1985,5.5
