"Age","LuminSF"
1644,0.23
1645,-0.51
1646,-0.48
1647,-0.82
1648,2.23
1649,0.68
1650,-1.3
1651,-0.56
1652,-0.46
1653,-0.4
1654,-1.23
1655,0.78
1656,0.83
1657,1.85
1658,-0.09
1659,2.35
1660,0.61
1661,0.51
1662,1.7
1663,1.17
1664,-0.63
1665,0.24
1666,-0.47
1667,1.04
1668,0.15
1669,0.04
1670,1.19
1671,0.98
1672,0.87
1673,3.12
1674,0.47
1675,1.16
1676,1.55
1677,1.11
1678,0.76
1679,1.6
1680,0.31
1681,-0.83
1682,-0.09
1683,-0.31
1684,1.75
1685,1.34
1686,0.5
1687,-1.7
1688,-1.01
1689,-1.74
1690,0.01
1691,1.4
1692,-0.89
1693,0.85
1694,-0.16
1695,0.32
1696,1.35
1697,-0.15
1698,0.65
1699,1.44
1700,-0.13
1701,0.47
1702,0.32
1703,1.27
1704,0.65
1705,2.43
1706,1.05
1707,2.15
1708,0.1
1709,0.06
1710,-0.58
1711,1.88
1712,0.21
1713,1.22
1714,0.54
1715,0.06
1716,0.54
1717,0.78
1718,0.98
1719,-1.41
1720,0.98
1721,0.01
1722,0.84
1723,-0.69
1724,-0.61
1725,0.47
1726,1.06
1727,-0.06
1728,-0.21
1729,1.42
1730,0.91
1731,2.71
1732,1.79
1733,1.53
1734,0.53
1735,-0.91
1736,0.79
1737,-0.94
1738,-0.54
1739,-0.44
1740,-0.53
1741,-0.71
1742,0.35
1743,0.07
1744,0.33
1745,-0.96
1746,0.36
1747,0.47
1748,0.12
1749,1.2
1750,-0.09
1751,-1.26
1752,-0.33
1753,1.14
1754,1.74
1755,0.68
1756,-0.4
1757,1.17
1758,1.63
1759,1.07
1760,1.49
1761,2.67
1762,1.03
1763,0.98
1764,-0.41
1765,2.64
1766,0.01
1767,-1.11
1768,0
1769,1.31
1770,-1.09
1771,-0.31
1772,-0.53
1773,0.04
1774,0.48
1775,-0.2
1776,0.29
1777,-0.43
1778,0.87
1779,1.6
1780,0.92
1781,-2.01
1782,0.3
1783,-0.6
1784,-0.78
1785,-0.68
1786,1.01
1787,-0.1
1788,0.14
1789,-0.25
1790,1.21
1791,0.36
1792,-0.95
1793,-1.15
1794,-0.58
1795,0.75
1796,-0.51
1797,-0.84
1798,0.09
1799,-1.12
1800,-0.81
1801,2.36
1802,0.28
1803,-0.78
1804,-0.77
1805,-1.11
1806,-0.08
1807,0.36
1808,-0.14
1809,-0.27
1810,1.38
1811,1.41
1812,0.01
1813,-0.05
1814,2.09
1815,-0.87
1816,-0.83
1817,1.36
1818,-0.53
1819,0.85
1820,-0.74
1821,-1.33
1822,-0.78
1823,-1.06
1824,-0.53
1825,0.92
1826,0.87
1827,-0.44
1828,-0.48
1829,-0.79
1830,-0.58
1831,-0.81
1832,-0.76
1833,0.07
1834,-0.57
1835,-0.48
1836,-0.03
1837,0.05
1838,-0.01
1839,0.23
1840,-0.31
1841,-0.13
1842,0.26
1843,0.5
1844,-0.88
1845,-0.53
1846,0.79
1847,-0.06
1848,-0.4
1849,-0.35
1850,-0.97
1851,-1.6
1852,0.99
1853,-1.07
1854,-0.73
1855,-1.19
1856,-0.37
1857,-0.18
1858,-1.53
1859,-0.17
1860,-0.11
1861,-0.35
1862,-0.01
1863,0.48
1864,0.82
1865,-0.58
1866,-0.14
1867,-0.66
1868,-0.72
1869,0.84
1870,1.31
1871,-0.24
1872,-1.23
1873,0.74
1874,-0.51
1875,2.3
1876,0.41
1877,1.04
1878,0.15
1879,0.73
1880,0.33
1881,1.21
1882,0.33
1883,-0.03
1884,0.47
1885,-1.45
1886,-0.71
1887,1.57
1888,-0.23
1889,-1.55
1890,2.3
1891,2.39
1892,-0.59
1893,-0.36
1894,0.68
1895,0.01
1896,0.77
1897,-1.8
1898,0.68
1899,-0.01
1900,-1.14
1901,-0.55
1902,-1.14
1903,-0.13
1904,-0.71
1905,-0.12
1906,1.01
1907,-0.93
1908,-0.88
1909,-0.71
1910,1
1911,1.46
1912,-1.22
1913,-0.46
1914,-0.84
1915,-1.69
1916,-0.62
1917,0.56
1918,-0.05
1919,-1.66
1920,-1.2
1921,-1.33
1922,0.46
1923,-1.22
1924,-0.3
1925,-0.05
1926,-0.96
1927,0.42
1928,-0.97
1929,-0.58
1930,-0.28
1931,-1.6
1932,-1.24
1933,0.62
1934,0.46
1935,-1.22
1936,-0.83
1937,-0.84
1938,-0.9
1939,-0.9
1940,0.86
1941,-0.65
1942,-1.35
1943,-0.79
1944,-0.6
1945,-1.43
1946,-0.28
1947,-0.8
1948,-1.29
1949,-0.73
1950,0.54
1951,0.56
1952,-1.04
1953,-0.07
1954,0.75
1955,0.41
1956,-0.03
1957,-1.37
1958,0.5
1959,-0.61
1960,-1.53
1961,-1.6
1962,-0.87
1963,-0.73
1964,-1.38
1965,-1.49
1966,-2.05
1967,-1.74
1968,0.8
1969,-1.5
1970,-1.03
1971,-0.35
1972,0.34
1973,-1.22
1974,1.61
1975,-0.16
1976,-0.45
1977,-0.35
1978,-1.51
1979,-0.55
1980,-1.95
1981,-0.43
1982,-1.44
1983,-1.14
1984,-1.23
1985,-0.63
1986,-1.08
