Age,LuminInd
-3250,0
-3249,0
-3248,1
-3247,1
-3246,0
-3245,1
-3244,2
-3243,1
-3242,0
-3241,1
-3240,1
-3239,1
-3238,2
-3237,2
-3236,0
-3235,0
-3234,0
-3233,1
-3232,2
-3231,2
-3230,0
-3229,0
-3228,0
-3227,1
-3226,1
-3225,1
-3224,1
-3223,2
-3222,0
-3221,0
-3220,2
-3219,1
-3218,1
-3217,2
-3216,2
-3215,1
-3214,1
-3213,1
-3212,1
-3211,0
-3210,2
-3209,0
-3208,0
-3207,0
-3206,0
-3205,0
-3204,0
-3203,1
-3202,0
-3201,1
-3200,1
-3199,0
-3198,0
-3197,0
-3196,0
-3195,2
