Age,d13C,d18O,Distance
-5753.46,-1.68,-4.15,120.25
-5753.4,-1.58,-4.25,119.5
-5753.33,-1.33,-4.3,118.75
-5753.27,-1.09,-4.42,118
-5753.21,-0.92,-4.52,117.25
-5753.15,-1.26,-4.68,116.5
-5753.08,-1.43,-4.76,115.75
-5753.02,-2,-4.66,115
-5752.96,-1.96,-4.73,114.25
-5752.9,-2.26,-4.59,113.5
-5752.83,-2.42,-4.49,112.75
-5752.71,-2.77,-4.34,111.25
-5752.65,-3.09,-4.37,110.5
-5752.58,-2.63,-3.99,109.75
-5752.52,-2.45,-4.17,109
-5752.46,-1.53,-4,108.25
-5752.37,-1.17,-4.29,107.5
-5752.28,-1.24,-4.38,106.75
-5752.19,-1.19,-4.64,106
-5752.16,-1.17,-4.64,105.75
-5752.09,-1.22,-4.75,105.25
-5752.03,-1.4,-4.9,104.75
-5752,-1.45,-5.01,104.5
-5751.91,-1.61,-4.75,103.75
-5751.82,-1.77,-4.73,103
-5751.73,-2.16,-4.74,102.25
-5751.64,-2.34,-4.62,101.5
-5751.55,-2.73,-4.5,100.75
-5751.46,-2.53,-4.3,100
-5751.33,-2.02,-4.32,98.5
-5751.27,-1.61,-4.35,97.75
-5751.2,-1.19,-4.48,97
-5751.14,-1.44,-4.58,96.25
-5751.08,-0.96,-4.66,95.5
-5751.03,-1.04,-4.76,95
-5750.97,-1.12,-4.81,94.25
-5750.95,-1.3,-5.03,94
-5750.88,-1.51,-4.86,93.25
-5750.82,-1.91,-4.91,92.5
-5750.76,-2.04,-4.87,91.75
-5750.69,-2.05,-4.72,91
-5750.63,-2.58,-4.55,90.25
-5750.59,-2.55,-4.48,89.75
-5750.54,-2.94,-4.31,89.25
-5750.5,-2.71,-4.12,88.75
-5750.44,-2.82,-4.2,88
-5750.37,-2.26,-4.01,87.25
-5750.3,-1.21,-4.14,86.5
-5750.23,-1.04,-4.06,85.75
-5750.16,-0.56,-4.46,85
-5750.09,-0.82,-4.66,84.25
-5750.05,-1.18,-4.9,83.75
-5750.02,-1.11,-4.99,83.5
-5750,-1.24,-4.98,83.25
-5749.95,-0.93,-4.75,82.75
-5749.88,-1.13,-4.82,82
-5749.81,-1.59,-4.68,81.25
-5749.74,-1.81,-4.68,80.5
-5749.67,-2.11,-4.4,79.75
-5749.6,-2.4,-4.31,79
-5749.53,-2.02,-4.23,78.25
-5749.46,-1.32,-4.06,77.5
-5749.39,-1.03,-4.22,76.75
-5749.32,-0.81,-4.32,76
-5749.17,-0.88,-4.68,74.5
-5749.1,-0.64,-4.65,73.75
-5749.03,-1.05,-4.9,73
-5748.96,-1.2,-4.79,72.25
-5748.89,-1.56,-4.92,71.5
-5748.82,-1.57,-4.81,70.75
-5748.67,-2.21,-4.61,69.25
-5748.6,-2.09,-4.43,68.5
-5748.55,-2.2,-4.41,68
-5748.51,-2.05,-4.3,67.5
-5748.46,-1.95,-4.27,67
-5748.38,-1.13,-4.35,66.25
-5748.3,-1.46,-4.42,65.5
-5748.23,-1.37,-4.45,64.75
-5748.15,-1.13,-4.45,64
-5748.07,-1.66,-4.62,63.25
-5747.95,-1.34,-4.91,62
-5747.89,-1.61,-4.68,61.5
-5747.84,-1.98,-4.8,61
-5747.79,-2.17,-4.95,60.5
-5747.77,-2.1,-4.72,60.25
-5747.69,-2.54,-4.51,59.5
-5747.61,-2.35,-4.34,58.75
-5747.51,-1.8,-4.01,57.75
-5747.46,-1.59,-3.91,57.25
