Age,BaCa
1758,0.00445
1758.028,0.00431
1758.056,0.00403
1758.083,0.00396
1758.111,0.00349
1758.139,0.00463
1758.167,0.00433
1758.194,0.00568
1758.222,0.00465
1758.25,0.00458
1758.278,0.00438
1758.305,0.00408
1758.333,0.0037
1758.361,0.00377
1758.389,0.00401
1758.416,0.00446
1758.444,0.00395
1758.472,0.00432
1758.5,0.00402
1758.527,0.00476
1758.555,0.00437
1758.586,0.00431
1758.618,0.00515
1758.649,0.00522
1758.68,0.00405
1758.711,0.00462
1758.743,0.00344
1758.774,0.00357
1758.805,0.00333
1758.836,0.00365
1758.868,0.00333
1758.899,0.00337
1758.93,0.00376
1758.961,0.00393
1758.993,0.00299
1759.024,0.00339
1759.055,0.00343
1759.086,0.00365
1759.118,0.00385
1759.149,0.0036
1759.18,0.00356
1759.211,0.00337
1759.243,0.00362
1759.274,0.00379
1759.305,0.0037
1759.336,0.00407
1759.368,0.00469
1759.399,0.00449
1759.43,0.00428
1759.461,0.00398
1759.493,0.00357
1759.524,0.00376
1759.555,0.00377
1759.581,0.00359
1759.606,0.00373
1759.632,0.00391
1759.658,0.00406
1759.683,0.0041
1759.709,0.00383
1759.734,0.00348
1759.76,0.00324
1759.786,0.00377
1759.811,0.00359
1759.837,0.0037
1759.863,0.0036
1759.888,0.00328
1759.914,0.0032
1759.94,0.00368
1759.965,0.00362
1759.991,0.00357
1760.017,0.00385
1760.042,0.00386
1760.068,0.00374
1760.093,0.00351
1760.119,0.00331
1760.145,0.00374
1760.17,0.00528
1760.196,0.00481
1760.222,0.00409
1760.247,0.00342
1760.273,0.00385
1760.299,0.00364
1760.324,0.00359
1760.35,0.00348
1760.376,0.00357
1760.401,0.00341
1760.427,0.00336
1760.452,0.00358
1760.478,0.00399
1760.504,0.00389
1760.529,0.0037
1760.555,0.00347
1760.569,0.00322
1760.584,0.00324
1760.598,0.00346
1760.612,0.00324
1760.626,0.00365
1760.641,0.00429
1760.655,0.00427
1760.669,0.00392
1760.684,0.00405
1760.698,0.00396
1760.712,0.00408
1760.726,0.00409
1760.741,0.00387
1760.755,0.00372
1760.769,0.004
1760.784,0.00401
1760.798,0.0043
1760.812,0.00362
1760.826,0.00479
1760.841,0.00413
1760.855,0.00367
1760.869,0.00415
1760.884,0.00358
1760.898,0.00365
1760.912,0.00423
1760.926,0.00369
1760.941,0.00383
1760.955,0.00368
1760.969,0.00391
1760.984,0.00374
1760.998,0.00385
1761.012,0.00428
1761.026,0.00416
1761.041,0.0042
1761.055,0.00398
1761.069,0.0035
1761.084,0.00379
1761.098,0.00343
1761.112,0.00382
1761.126,0.00602
1761.141,0.00452
1761.155,0.00354
1761.169,0.00314
1761.184,0.00408
1761.198,0.00341
1761.212,0.0039
1761.226,0.00396
1761.241,0.00398
1761.255,0.00406
1761.269,0.00424
1761.284,0.00389
1761.298,0.00378
1761.312,0.00446
1761.326,0.00429
1761.341,0.00461
1761.355,0.00572
1761.369,0.00662
1761.384,0.00695
1761.398,0.00807
1761.412,0.00486
1761.426,0.00485
1761.441,0.00452
1761.455,0.00424
1761.469,0.00446
1761.484,0.00413
1761.498,0.00404
1761.512,0.00374
1761.526,0.00396
1761.541,0.00369
1761.555,0.00387
1761.588,0.00408
1761.622,0.00374
1761.655,0.00382
1761.688,0.0036
1761.722,0.00539
1761.755,0.00509
1761.788,0.0045
1761.822,0.00356
1761.855,0.00386
1761.888,0.00424
1761.922,0.00404
1761.955,0.00363
1761.988,0.00384
1762.022,0.00349
1762.055,0.00357
1762.088,0.00352
1762.122,0.0037
1762.155,0.00375
1762.188,0.0038
1762.222,0.00374
1762.255,0.00431
1762.288,0.00369
1762.322,0.0039
1762.355,0.00415
1762.388,0.00363
1762.422,0.00385
1762.455,0.0045
1762.488,0.00403
1762.522,0.0043
1762.555,0.00393
1762.574,0.00391
1762.593,0.00417
1762.612,0.00367
1762.63,0.00388
1762.649,0.00388
1762.668,0.00356
1762.687,0.00371
1762.706,0.00366
1762.725,0.00405
1762.744,0.00347
1762.763,0.00352
1762.781,0.00374
1762.8,0.0042
1762.819,0.00335
1762.838,0.00329
1762.857,0.00362
1762.876,0.00373
1762.895,0.00365
1762.913,0.00367
1762.932,0.00395
1762.951,0.00373
1762.97,0.00344
1762.989,0.00387
1763.008,0.00364
1763.027,0.0033
1763.046,0.00337
1763.064,0.00368
1763.083,0.00356
1763.102,0.00366
1763.121,0.00375
1763.14,0.00349
1763.159,0.00354
1763.178,0.00353
1763.197,0.00331
1763.215,0.00345
