Age,d18O,SrCa
1971.75,-3.64619363,NA
1971.833334,-3.48106015,NA
1971.916667,-3.44028284,NA
1972,-3.45002849,9.45755793
1972.083334,-3.51387636,9.5061101
1972.166667,-3.2050689,9.49550126
1972.25,-3.23167459,9.53612813
1972.333334,-3.14933031,9.49896952
1972.416667,-2.88993453,9.77020986
1972.5,-3.06374512,9.58446998
1972.583333,-2.98888697,9.50577277
1972.666667,-3.36977918,9.53866309
1972.75,-3.57906224,9.42941446
1972.833333,-3.88475287,9.58385141
1972.916667,-3.86655965,9.319198
1973,-3.86042605,9.26750327
1973.083333,-4.12434669,9.4870241
1973.166667,-3.810994,9.39124014
1973.25,-3.68497358,9.4214194
1973.333333,-3.36241994,9.40609313
1973.416667,-3.06224759,9.64819995
1973.5,-3.35185177,9.62767587
1973.583333,-3.06665415,9.55787145
1973.666667,-3.32737017,9.59387048
1973.75,-3.26124254,9.54152861
1973.833333,-3.45981274,9.5484143
1973.916667,-3.2389062,9.5841377
1974,-3.79496578,9.24404017
1974.083333,-3.50266373,9.43150089
1974.166667,-3.44174417,9.36550003
1974.25,-3.4002102,9.42361606
1974.333333,-3.05675767,9.50718637
1974.416667,-3.07466929,9.62276991
1974.5,-3.06831698,9.45273147
1974.583333,-3.20607996,9.45264689
1974.666667,-3.5464441,9.32074996
1974.75,-3.71365168,9.23477784
1974.833333,-3.54667048,9.26269414
1974.916667,-3.33804073,9.28992926
1975,-2.91218324,9.3118012
