Age,d18O,SrCa
1971.416667,NA,9.50916361
1971.5,NA,9.38681519
1971.583334,NA,9.41350562
1971.666667,-3.83516478,9.4232094
1971.75,-4.03861117,9.56052765
1971.833334,-4.06606246,9.43825816
1971.916667,-4.27940044,9.23612547
1972,-4.32362749,9.16392654
1972.083334,-4.20878733,9.11637875
1972.166667,-4.24937082,9.15584994
1972.25,-4.11249449,9.20901166
1972.333334,-4.00024479,9.23743425
1972.416667,-3.52544212,9.32664761
1972.5,-3.51077581,9.32599622
1972.583333,-3.6995999,9.2742839
1972.666667,-3.76692626,9.39088934
1972.75,-4.07203223,9.23364466
1972.833334,-4.18941819,9.2735934
1972.916667,-4.42805954,9.189252
1973,-4.55389573,9.02791087
1973.083334,-4.42768444,9.14959796
1973.166667,-4.19198851,9.15009669
1973.25,-3.93638752,9.13633629
1973.333333,-3.9191647,9.30763602
1973.416667,-3.82922132,9.21383308
1973.5,-3.81024787,9.17043025
1973.583333,-4.01739279,9.1891784
1973.666667,-4.21168942,9.24812269
1973.75,-4.38840748,9.32733343
1973.833334,-4.45031567,9.32694113
1973.916667,-4.42706147,9.40376941
1974,-4.59299896,9.32758009
1974.083334,-4.38297245,9.38746903
1974.166667,-4.18199055,9.47892422
1974.25,-3.96693889,9.33330387
1974.333333,-3.72124123,9.41448453
1974.416667,-3.54072528,9.47450312
1974.5,-3.70578721,9.42487373
1974.583333,-3.87084913,9.36661364
1974.666667,-4.03591106,9.23438709
1974.75,-4.20097299,9.09284037
1974.833334,-4.36603492,9.05264889
1974.916667,-4.42147699,9.06966955
1975,-4.41268939,9.09106921
1975.083334,-4.51385105,9.0785094
1975.166667,-4.07820889,9.16679844
1975.25,-3.87165444,9.39484507
1975.333333,-3.67573673,9.42727505
1975.416667,-3.62659114,9.37295021
1975.5,-3.69097841,9.28420023
1975.583333,-3.81486865,9.33838694
1975.666667,-3.95250433,9.33063488
1975.75,-4.01847762,9.32560977
1975.833334,-4.18203452,9.2423602
1975.916667,-4.51104938,9.2373129
1976,-4.57189864,9.24967696
1976.083334,-4.08440672,9.2216627
1976.166667,-3.93563581,9.17400007
1976.25,-3.82340403,9.34519778
1976.333333,-3.65698233,9.22505387
1976.416667,-3.34283767,9.43255053
1976.5,-3.08836242,9.38047144
