Age,Lumin
1962.135,0.780593
1962.154,0.795058
1962.173,0.80335
1962.192,0.803269
1962.212,0.797517
1962.231,0.789274
1962.25,0.77699
1962.269,0.764385
1962.288,0.751907
1962.308,0.741481
1962.327,0.732565
1962.346,0.724957
1962.365,0.718633
1962.385,0.713587
1962.404,0.7105
1962.423,0.714722
1962.442,0.719365
1962.462,0.719412
1962.481,0.720056
1962.5,0.72078
1962.519,0.718429
1962.538,0.715995
1962.558,0.713475
1962.577,0.721295
1962.596,0.72681
1962.615,0.726128
1962.635,0.724497
1962.654,0.721251
1962.673,0.712318
1962.692,0.707726
1962.712,0.705935
1962.731,0.704208
1962.75,0.702531
1962.769,0.700914
1962.788,0.697494
1962.808,0.69437
1962.827,0.692526
1962.846,0.69213
1962.865,0.693123
1962.885,0.699095
1962.904,0.706795
1962.923,0.715805
1962.942,0.726556
1962.962,0.735855
1962.981,0.743064
1963,0.750985
1963.019,0.757821
1963.038,0.761185
1963.058,0.762799
1963.077,0.76193
1963.096,0.746838
1963.115,0.738239
1963.135,0.736017
1963.154,0.729787
1963.173,0.71984
1963.192,0.711443
1963.212,0.703175
1963.231,0.698438
1963.25,0.693672
1963.269,0.689061
1963.288,0.684935
1963.308,0.682462
1963.327,0.683008
1963.346,0.684552
1963.365,0.688442
1963.385,0.691956
1963.404,0.694337
1963.423,0.69533
1963.442,0.695479
1963.462,0.696306
1963.481,0.695418
1963.5,0.694135
1963.519,0.692211
1963.538,0.691405
1963.558,0.691025
1963.577,0.689047
1963.596,0.692635
1963.615,0.692734
1963.635,0.69153
1963.654,0.69212
1963.673,0.691924
1963.692,0.690657
1963.712,0.697449
1963.731,0.703003
1963.75,0.702503
1963.769,0.706095
1963.788,0.709509
1963.808,0.709197
1963.827,0.706718
1963.846,0.705586
1963.865,0.708072
1963.885,0.704933
1963.904,0.699137
1963.923,0.690148
1963.942,0.678497
1963.962,0.669761
1963.981,0.659801
1964,0.655447
1964.019,0.649895
1964.038,0.647754
1964.058,0.655069
1964.077,0.672228
1964.096,0.683414
1964.115,0.691119
1964.135,0.700676
1964.154,0.710949
1964.173,0.716578
1964.192,0.715757
1964.212,0.707131
1964.231,0.697167
1964.25,0.686412
1964.269,0.674171
1964.288,0.66495
1964.308,0.662217
1964.327,0.661752
1964.346,0.661964
1964.365,0.662549
1964.385,0.665106
1964.404,0.669771
1964.423,0.679163
1964.442,0.682071
1964.462,0.682461
1964.481,0.682998
1964.5,0.685703
1964.519,0.689696
1964.538,0.695063
1964.558,0.698531
1964.577,0.700577
1964.596,0.700066
1964.615,0.699893
1964.635,0.699604
1964.654,0.698283
1964.673,0.696466
1964.692,0.691368
1964.712,0.679983
1964.731,0.665386
1964.75,0.655046
1964.769,0.650604
1964.788,0.640728
1964.808,0.636108
1964.827,0.635851
1964.846,0.636856
1964.865,0.648469
1964.885,0.664942
1964.904,0.680103
1964.923,0.693886
1964.942,0.704916
1964.962,0.711297
1964.981,0.716206
1965,0.719067
1965.019,0.719658
1965.038,0.720026
1965.058,0.721976
1965.077,0.725216
1965.096,0.728836
1965.115,0.728442
1965.135,0.728848
1965.154,0.738202
1965.173,0.739335
1965.192,0.738127
1965.212,0.723583
1965.231,0.705474
1965.25,0.679725
1965.269,0.654599
1965.288,0.6355
1965.308,0.624078
1965.327,0.619554
1965.346,0.618556
1965.365,0.620617
1965.385,0.623485
1965.404,0.627445
1965.423,0.633335
1965.442,0.639535
1965.462,0.652469
1965.481,0.664675
1965.5,0.675344
1965.519,0.68828
1965.538,0.69545
1965.558,0.702343
1965.577,0.707986
1965.596,0.715206
1965.615,0.712752
1965.635,0.714552
1965.654,0.729802
1965.673,0.735679
1965.692,0.746044
1965.712,0.743428
1965.731,0.73487
1965.75,0.730167
1965.769,0.72668
1965.788,0.717317
1965.808,0.714145
1965.827,0.722149
1965.846,0.733801
1965.865,0.745255
1965.885,0.74954
1965.904,0.746195
1965.923,0.744595
1965.942,0.746171
1965.962,0.751913
1965.981,0.756914
1966,0.757322
1966.019,0.757106
1966.038,0.756891
1966.058,0.756675
1966.077,0.756459
1966.096,0.755111
1966.115,0.753563
1966.135,0.752015
1966.154,0.750467
1966.173,0.74867
1966.192,0.745999
1966.212,0.743327
1966.231,0.740656
1966.25,0.737984
1966.269,0.73358
1966.288,0.728018
1966.308,0.722456
1966.327,0.716893
1966.346,0.711331
1966.365,0.705982
1966.385,0.700638
1966.404,0.695294
1966.423,0.68995
1966.442,0.685239
1966.462,0.681712
1966.481,0.678185
1966.5,0.674658
1966.519,0.671131
1966.538,0.667664
1966.558,0.664219
