Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,Eu,EuCa,Gd,GdCa,La,LaCa,LiCa,Lu,LuCa,MgCa,Mn,MnCa,P,PbCa,PCa,Pr,PrCa,Sm,SmCa,SrCa,UCa,Y,Yb,YbCa,YCa,ZnCa,Dist
1982.104396,0.004441445,0.00441554,0.318449663,0.006852373,6.10E-06,27.2884792,1.95E-08,2.776416309,1.83E-09,19.43147488,1.24E-08,47.26909272,3.41E-08,0.005120387,1.349295137,7.72E-10,2.586324071,0.84925114,0.001547136,25.53890787,0.000316626,0.082522117,10.00995477,7.11E-09,8.018792238,5.34E-09,8.705945025,0.001105181,130.733473,5.426826993,3.14E-09,0.000147171,0.002473455,355.9971581
1982.125114,0.004683731,0.00436889,0.362490546,-0.001677257,-1.49E-06,24.80515953,1.77E-08,3.150617976,2.08E-09,13.44787768,8.56E-09,48.4814999,3.49E-08,0.004950044,1.177678297,6.74E-10,2.53665296,0.481116117,0.000876481,23.2421047,0.000288442,0.075100615,9.633870919,6.84E-09,10.68592264,7.11E-09,9.258101378,0.001386316,144.309854,6.595468987,3.81E-09,0.000162454,0.00123011,355.7056601
1982.145833,0.003524062,0.003739331,0.402024839,0.010554224,9.40E-06,20.90643575,1.49E-08,3.12412569,2.06E-09,17.2134917,1.10E-08,37.67759341,2.71E-08,0.004965334,0.790759054,4.52E-10,2.851584965,0.37048781,0.000674942,16.014204,0.000225756,0.051745596,7.021481567,4.99E-09,4.495236413,2.99E-09,9.118376934,0.001354519,114.004473,7.688446834,4.45E-09,0.000128338,0.001146417,355.4141621
1982.166552,0.004802408,0.004898026,0.371257419,0.006784339,6.04E-06,64.83690889,4.63E-08,3.229099169,2.13E-09,18.62625776,1.19E-08,89.43963534,6.44E-08,0.005234334,1.546767364,8.85E-10,2.597588228,0.815624658,0.001485877,32.26447421,0.00034736,0.104253977,17.17105506,1.22E-08,10.68499868,7.11E-09,9.100415269,0.00136365,142.698628,7.522395986,4.35E-09,0.00016064,0.002710476,355.1226641
1982.187271,0.005170227,0.005189389,0.381736652,0.01408681,1.25E-05,23.51885466,1.68E-08,2.085494411,1.37E-09,14.78748787,9.41E-09,37.29866364,2.69E-08,0.00566219,0.41669726,2.38E-10,3.028544039,0.897890564,0.001635746,19.19345679,0.000244895,0.062018497,8.6724981,6.16E-09,5.34401963,3.56E-09,8.875310776,0.001223276,89.280319,6.396938023,3.70E-09,0.000100506,0.003562072,354.8311662
1982.20799,0.00495525,0.005082655,0.381864356,0.01354162,1.21E-05,20.16217312,1.44E-08,2.907558451,1.91E-09,12.08073393,7.69E-09,36.5925787,2.64E-08,0.005680204,0.751828062,4.30E-10,3.348694224,0.663495916,0.001208734,15.84170318,0.000203309,0.051188206,7.022288996,4.99E-09,6.936531537,4.62E-09,8.881783024,0.001326593,97.6143,3.766366538,2.18E-09,0.000109887,0.002411335,354.5396682
1982.228709,0.003976332,0.003882978,0.416977725,0.000509418,4.54E-07,11.325826,8.09E-09,1.786826336,1.18E-09,11.14716044,7.09E-09,25.94761249,1.87E-08,0.005822667,0.98540746,5.64E-10,3.503962543,0.478889607,0.000872425,12.31581416,0.000212006,0.039795244,5.102128246,3.62E-09,5.515174155,3.67E-09,8.789599527,0.001131198,86.363761,2.695017804,1.56E-09,9.72E-05,0.002314698,354.2481702
1982.249427,0.003267653,0.003165284,0.424982118,0.006818105,6.07E-06,18.94125766,1.35E-08,2.29364778,1.51E-09,9.58905325,6.10E-09,37.92485196,2.73E-08,0.005447198,0.975626592,5.58E-10,2.598411872,0.324919297,0.000591927,15.04937527,0.000216053,0.048628012,8.662184102,6.15E-09,7.986778059,5.32E-09,9.325911028,0.001480248,117.10632,6.489458141,3.75E-09,0.00013183,0.001348932,353.9566722
1982.270146,0.003657959,0.003832334,0.457176355,0.006321081,5.63E-06,16.92562406,1.21E-08,1.283103726,8.45E-10,7.843955327,4.99E-09,37.09214372,2.67E-08,0.005742233,0.713997607,4.08E-10,2.870172223,0.381911497,0.000695753,19.58020077,0.000268587,0.063268157,6.587113607,4.68E-09,8.706643575,5.80E-09,9.202470256,0.001437035,102.238807,3.712773102,2.15E-09,0.000115093,0.0017639,353.6651743
1982.290865,0.004777018,0.004544266,0.424460474,0.022366811,1.99E-05,27.59168234,1.97E-08,2.490760614,1.64E-09,13.692908,8.72E-09,43.21603223,3.11E-08,0.005675593,1.545607402,8.84E-10,2.691840756,0.522092,0.000951129,25.3492534,0.000430953,0.0819093,8.184484171,5.81E-09,7.489736934,4.99E-09,9.03529063,0.001426871,97.803374,5.262152311,3.04E-09,0.0001101,0.002574743,353.3736763
