Age,BCa,LiCa,MgCa,SrCa,UCa
1949.58,0.633457,0.0059,3.543688,9.039879,0.00129
1949.663301,0.643098,0.00611,3.803093,8.886565,0.00118
1949.746602,0.595644,0.00611,4.317609,8.73108,0.00117
1949.829903,0.522698,0.00603,4.761924,8.548554,0.00106
1949.913203,0.490223,0.00583,4.891658,8.528545,0.00105
1949.996504,0.492777,0.00601,5.233108,8.453811,0.000999
1950.079805,0.501378,0.00614,5.307953,8.545249,0.000996
1950.163106,0.489958,0.00607,5.161713,8.619601,0.00101
1950.246407,0.50954,0.00626,5.260571,8.626028,0.000993
1950.329708,0.563576,0.00652,4.950625,8.858397,0.00111
1950.413009,0.595637,0.00676,4.786017,8.840718,0.00112
1950.496309,0.625943,0.00652,4.273395,8.893817,0.00122
1950.57961,0.639582,0.00625,3.980561,9.026368,0.00126
1950.662911,0.602244,0.00633,4.494438,8.847035,0.0011
1950.746212,0.540864,0.00618,4.889372,8.77805,0.00107
1950.829513,0.503468,0.00617,5.272492,8.669089,0.00102
1950.912814,0.492297,0.00625,5.381588,8.59114,0.000992
1950.996114,0.473832,0.00605,5.09871,8.611936,0.00104
1951.079415,0.476453,0.00613,5.576125,8.627802,0.000988
1951.162716,0.46843,0.00624,5.388816,8.57279,0.000957
1951.246017,0.520556,0.00645,5.431352,8.692495,0.000952
1951.329318,0.542557,0.00637,4.905867,8.806585,0.00103
1951.412619,0.571983,0.00618,4.274144,8.918341,0.00114
1951.49592,0.572842,0.00611,3.756274,8.915615,0.00122
1951.57922,0.602805,0.00615,3.535799,8.956481,0.00127
1951.662521,0.605115,0.00637,3.876991,8.791048,0.00119
1951.745822,0.536383,0.00638,4.393854,8.621221,0.00107
1951.829123,0.511593,0.00619,4.668047,8.700289,0.00102
1951.912424,0.493296,0.0065,5.127128,8.724469,0.000952
1951.995725,0.470448,0.00587,4.631097,8.584655,0.000987
1952.079026,0.454343,0.00584,4.434284,8.620171,0.00106
1952.162326,0.456316,0.00573,4.463881,8.5428,0.00102
1952.245627,0.46017,0.006,4.725066,8.648594,0.001
1952.328928,0.462987,0.00622,4.94333,8.693522,0.000995
1952.412229,0.499719,0.00627,4.361958,8.744657,0.00107
1952.49553,0.538254,0.00662,4.210378,8.824757,0.00111
1952.578831,0.580794,0.00671,4.013984,8.916476,0.00121
1952.662132,0.606632,0.00636,3.827877,8.902232,0.00119
1952.745432,0.525348,0.00621,4.13962,8.687928,0.00112
1952.828733,0.462711,0.00608,4.510353,8.624332,0.00107
1952.912034,0.459735,0.00623,5.02208,8.569365,0.000994
1952.995335,0.484797,0.0062,5.075726,8.652598,0.000963
1953.078636,0.463908,0.00584,4.728271,8.537495,0.000967
1953.161937,0.46981,0.00592,4.68384,8.623385,0.000969
1953.245238,0.504963,0.00609,4.476974,8.772846,0.00103
1953.328538,0.553541,0.00614,4.30136,8.743208,0.00107
1953.411839,0.574201,0.00625,4.303866,8.746853,0.00108
1953.49514,0.584461,0.00659,4.323435,8.770289,0.00108
1953.578441,0.523843,0.00569,3.640503,8.834684,0.00119
1953.661742,0.4708,0.00559,4.104529,8.723013,0.00112
1953.745043,0.507222,0.00594,4.32557,8.708241,0.00108
1953.828343,0.494164,0.00635,4.65746,8.736719,0.000988
1953.911644,0.475019,0.0062,4.700597,8.5301,0.000948
1953.994945,0.458996,0.00597,4.609745,8.609918,0.000973
1954.078246,0.469394,0.00599,4.73599,8.561982,0.000941
1954.161547,0.490401,0.00614,4.970077,8.672928,0.000907
1954.244848,0.490772,0.00608,4.913514,8.564541,0.000917
1954.328149,0.517188,0.00625,4.87919,8.622197,0.000965
1954.411449,0.545348,0.00624,4.368839,8.736431,0.00104
1954.49475,0.57958,0.00604,3.60869,8.907426,0.00124
1954.578051,0.611375,0.00626,3.358143,9.097475,0.00134
1954.661352,0.61299,0.00624,3.487974,8.972703,0.00124
1954.744653,0.539885,0.00595,3.723549,8.867278,0.00116
1954.827954,0.480261,0.0058,4.233423,8.556796,0.00105
1954.911255,0.488325,0.00613,4.686853,8.608234,0.000974
1954.994555,0.485291,0.00588,4.339797,8.613413,0.001
1955.077856,0.474283,0.00591,4.563132,8.700198,0.00103
1955.161157,0.479946,0.00586,4.236517,8.721531,0.00108
1955.244458,0.518682,0.00612,3.990286,9.083695,0.00118
1955.327759,0.517146,0.00643,4.122488,8.883865,0.00113
1955.41106,0.5526,0.00659,3.956666,8.851166,0.00112
1955.494361,0.591061,0.00592,3.198473,8.991965,0.00125
1955.577661,0.54736,0.00579,3.307877,8.982953,0.00126
1955.660962,0.546759,0.00647,4.097315,8.812535,0.00111
1955.744263,0.515642,0.00618,4.313185,8.66381,0.00105
1955.827564,0.511928,0.0063,4.627305,8.752624,0.00104
1955.910865,0.489239,0.00626,4.674345,8.679228,0.001
1955.994166,0.50337,0.00614,4.652043,8.818935,0.00103
1956.077467,0.489015,0.00597,4.199166,8.793918,0.00109
1956.160767,0.477013,0.00584,4.109907,8.723857,0.00111
1956.244068,0.482975,0.00591,4.14884,8.732857,0.0011
1956.327369,0.517779,0.00592,3.835168,8.763666,0.00116
1956.41067,0.568079,0.0058,3.456229,8.926036,0.00124
1956.493971,0.607791,0.00604,3.299822,9.06689,0.00126
1956.577272,0.586337,0.00616,3.414515,9.107822,0.00126
