"Age","SrCa"
2010.08,8.97
2010.18,8.977
2010.28,9.005
2010.38,9.04
2010.48,9.142
2010.58,9.241
2010.68,9.233
2010.78,9.161
2010.88,9.049
2010.98,8.991
2011.08,8.907
2011.18,8.986
2011.28,9.034
2011.38,9.189
2011.48,9.296
2011.58,9.365
2011.71,9.248
2011.83,9.135
2011.96,9.074
2012.08,8.922
2012.18,8.931
2012.28,9.031
2012.38,9.14
2012.48,9.243
2012.58,9.341
2012.68,9.323
2012.78,9.215
2012.88,9.116
2012.98,9.012
2013.08,8.946
2013.18,8.961
2013.28,9.005
2013.38,9.103
2013.48,9.25
2013.58,9.298
2013.71,9.197
2013.83,9.028
2013.96,9
2014.08,8.955
