Age,LuminInd
1612,0.5
1613,0
1614,1
1615,0.14
1616,0.64
1617,0.14
1618,0.5
1619,0
1620,2
1621,0
1622,3
1623,0.76
1624,0
1625,0
1626,2
1627,0
1628,0
1629,0
1630,3
1631,2
1632,3
1633,3
1634,0
1635,0
1636,0
1637,0
1638,0
1639,0
1640,2
1641,0
1642,2.5
1643,0
1644,1
1645,1.5
1646,1
1647,1.5
1648,0.76
1649,0.76
1650,0
1651,0
1652,0.5
1653,0
1654,0
1655,0
1656,0
1657,0
1658,1
1659,0
1660,0
1661,0
1662,0
1663,3
1664,3
1665,0
1666,0
1667,0
1668,0
1669,0
1670,0
1671,0.14
1672,0.14
1673,0.14
1674,0.26
1675,0
1676,0
1677,3
1678,0.76
1679,0.76
1680,0.42
1681,0
1682,0.26
1683,0.42
1684,0
1685,0.34
1686,1.68
1687,1.34
1688,0
1689,-0.17
1690,0
1691,0.08
1692,0.08
1693,-0.17
1694,2.68
1695,0.76
1696,0.01
1697,0.68
1698,0.17
1699,0.34
1700,3
1701,-0.33
1702,-0.15
1703,-0.17
1704,0.84
1705,0.34
1706,1.34
1707,0
1708,4
1709,0
1710,0.17
1711,0.84
1712,0.5
1713,0.18
1714,0.18
1715,0.18
1716,0
1717,0.18
1718,0.34
1719,0.18
1720,0
1721,-0.17
1722,-0.17
1723,-0.36
1724,-0.37
1725,1.5
1726,1
1727,0.64
1728,-0.63
1729,1.14
1730,0.88
1731,2
1732,2
1733,1
1734,0.14
1735,-0.25
1736,0.26
1737,-0.5
1738,-0.13
1739,1.2
1740,0.5
1741,-0.38
1742,0.2
1743,0.14
1744,0.64
1745,0.14
1746,0.26
1747,0.26
1748,-0.5
1749,2.38
1750,1.7
1751,-0.25
1752,0
1753,0.6
1754,0.1
1755,0.3
1756,0.6
1757,0.6
1758,2
1759,1
1760,0
1761,2.8
1762,0.1
1763,1.1
1764,0
1765,3
1766,-0.8
1767,-1.5
1768,-0.8
1769,3.2
1770,-0.6
1771,0.2
1772,-0.4
1773,0.2
1774,0
1775,-0.2
1776,0.06
1777,0
1778,0
1779,0.5
1780,0.3
1781,0.06
1782,0.6
1783,0
1784,0
1785,-0.2
1786,0.5
1787,1.5
1788,2
1789,0.3
1790,1.5
1791,0.5
1792,0
1793,-1.3
1794,-1.4
1795,3.4
1796,0.2
1797,0
1798,0
1799,-0.6
1800,-0.1
1801,2.6
1802,2.8
1803,0.2
1804,0
1805,-0.8
1806,0.8
1807,0.4
1808,1.4
1809,0.06
1810,1.66
1811,1.8
1812,-0.15
1813,0.06
1814,1.7
1815,0.5
1816,1.3
1817,3.6
1818,-0.5
1819,2.8
1820,1
1821,0
1822,0.6
1823,0
1824,0
1825,1.2
1826,1.4
1827,0
1828,0
1829,1.1
1830,0.16
1831,3
1832,0.4
1833,0.8
1834,0.5
1835,0.8
1836,0.2
1837,-0.4
1838,2.56
1839,0
1840,2.8
1841,0.9
1842,0.2
1843,0
1844,0
1845,-0.1
1846,0.2
1847,1.66
1848,1.18
1849,0.14
1850,0.72
1851,0.3
1852,1.42
1853,-0.49
1854,0.01
1855,-0.06
1856,0.3
1857,2.36
1858,-0.15
1859,2.58
1860,1
1861,0
1862,-0.14
1863,1.14
1864,2.44
1865,-0.86
1866,0
1867,0
1868,1.22
1869,-0.29
1870,3
1871,-0.07
1872,0.08
1873,1.4
1874,0.58
1875,0.58
1876,0.3
1877,0.72
1878,1.86
1879,1.14
1880,1.34
1881,1.58
1882,3
1883,0
1884,0.64
1885,-0.88
1886,-0.92
1887,1.76
1888,-0.24
1889,-0.87
1890,3.14
1891,3.26
1892,-0.36
1893,-0.18
1894,2.58
1895,1.7
1896,3
1897,-1.44
1898,1.58
1899,0.5
1900,-0.25
1901,-0.06
1902,-2.06
1903,1.25
1904,0.32
1905,-0.06
1906,2.5
1907,-0.13
1908,0.7
1909,-0.19
1910,4.26
1911,3.14
1912,0.2
1913,0.54
1914,0.36
1915,-0.21
1916,-0.03
1917,0.88
1918,4.88
1919,0.08
1920,0.2
1921,0.26
1922,1.38
1923,-0.31
1924,1
1925,0.84
1926,-0.75
1927,1.64
1928,0.38
1929,0.14
1930,0.96
1931,-0.44
1932,-0.13
1933,0.14
1934,1.14
1935,-0.38
1936,1.88
1937,0.31
1938,-0.24
1939,0.31
1940,3.52
1941,1.06
1942,0.26
1943,0.06
1944,0.26
1945,1.06
1946,1.5
1947,0.94
1948,-0.25
1949,0.28
1950,3.2
1951,1.2
1952,-0.32
1953,1.38
1954,0.82
1955,2.58
1956,0.5
1957,0.14
1958,4.64
1959,0.5
1960,-0.15
1961,-1.25
1962,-0.55
1963,1.2
1964,0.2
1965,0.44
1966,-0.31
1967,0.32
1968,2.88
1969,-1.88
1970,0.06
1971,2.5
1972,4.38
1973,0.25
1974,5.64
1975,0.69
1976,2.02
1977,2.38
1978,-0.13
1979,2.2
1980,-0.13
1981,2.82
1982,-0.56
1983,0.14
1984,0.5
1985,-0.31
