Age,LuminRange
-4094,0.06
-4093,0.096
-4092,0.088
-4091,0.224
-4090,0.102
-4089,0.265
-4088,0.184
-4087,0.096
-4086,0.081
-4085,0.154
-4084,0.136
-4083,0.196
-4082,0.158
-4081,0.192
-4080,0.046
-4079,0.204
-4078,0.086
-4077,0.284
-4076,0.293
-4075,0.064
-4074,0.294
-4073,0.206
-4072,0.071
-4071,0.203
-4070,0.22
-4069,0.157
-4068,0.273
-4067,0.215
-4066,0.176
-4065,0.27
-4064,0.086
-4063,0.264
-4062,0.042
-4061,0.094
-4060,0.048
-4059,0.208
-4058,0.223
-4057,0.106
-4056,0.175
-4055,0.37
-4054,0.228
-4053,0.146
-4052,0.096
-4051,0.193
-4050,0.194
-4049,0.127
-4048,0.242
-4047,0.198
-4046,0.174
-4045,0.205
-4044,0.122
-4043,0.205
-4042,0.151
-4041,0.162
-4040,0.173
-4039,0.113
-4038,0.131
-4037,0.304
-4036,0.161
-4035,0.135
-4034,0.158
-4033,0.15
-4032,0.218
-4031,0.15
-4030,0.207
-4029,0.148
-4028,0.217
-4027,0.262
-4026,0.395
-4025,0.141
-4024,0.227
-4023,0.186
-4022,0.282
-4021,0.398
-4020,0.113
-4019,0.226
-4018,0.06
-4017,0.305
-4016,0.22
-4015,0.138
-4014,0.112
-4013,0.217
-4012,0.23
-4011,0.092
-4010,0.319
-4009,0.156
-4008,0.129
-4007,0.129
-4006,0.286
-4005,0.12
-4004,0.141
-4003,0.148
-4002,0.287
-4001,0.177
-4000,0.169
-3999,0.129
