Age,LuminRange
-4098,0.174
-4097,0.212
-4096,0.172
-4095,0.251
-4094,0.313
-4093,0.186
-4092,0.119
-4091,0.155
-4090,0.188
-4089,0.227
-4088,0.131
-4087,0.296
-4086,0.136
-4085,0.221
-4084,0.154
-4083,0.334
-4082,0.156
-4081,0.174
-4080,0.097
-4079,0.267
-4078,0.236
-4077,0.217
-4076,0.349
-4075,0.072
-4074,0.297
-4073,0.192
-4072,0.116
-4071,0.192
-4070,0.355
-4069,0.215
-4068,0.325
-4067,0.303
-4066,0.176
-4065,0.263
-4064,0.258
-4063,0.367
-4062,0.215
-4061,0.229
-4060,0.117
-4059,0.268
-4058,0.362
-4057,0.122
-4056,0.181
-4055,0.328
-4054,0.192
-4053,0.082
-4052,0.166
-4051,0.191
-4050,0.176
-4049,0.13
-4048,0.233
-4047,0.137
-4046,0.279
-4045,0.226
-4044,0.107
-4043,0.266
-4042,0.222
-4041,0.184
-4040,0.123
-4039,0.232
-4038,0.228
-4037,0.229
-4036,0.271
-4035,0.088
-4034,0.223
-4033,0.121
-4032,0.096
