Age,BaCa,BCa,BMg,d11B,LiCa,LiMg,MgCa,SrCa,UB,UCa,USr,d11B_pHcf_pres
2006.738334,0.001596962,0.4682368,110.0817,23.9864,0.006499971,1.528132,4.253539,9.074475793,0.002399,0.001123173,0.123773,8.504268765
2006.958334,0.001406254,0.4267665,94.80233,23.43185,0.006229389,1.383802,4.501646,8.939578186,0.002467,0.001052861,0.117775,8.432779403
2007.208334,0.00141453,0.3925838,86.09151,22.35889,0.006231562,1.366548,4.560075,8.906915269,0.002659,0.001043938,0.117205,8.349437794
2007.408334,0.001432064,0.4240018,96.78685,22.83053,0.006565336,1.498669,4.380779,9.015620127,0.00263,0.001115287,0.123706,8.420369157
2007.508334,0.001431644,0.4629745,107.7936,23.30678,0.006764883,1.575057,4.295008,9.077146316,0.002418,0.001119585,0.123341,8.465817352
2007.658334,0.001496188,0.4613495,109.2799,23.31012,0.006680337,1.582372,4.221723,9.084038663,0.002407,0.001110426,0.122239,8.465517028
2007.808334,0.001620042,0.4027113,90.48378,22.16241,0.00643258,1.445314,4.450647,8.957020365,0.002661,0.001071805,0.119661,8.361264786
2007.878334,0.001935043,0.3955004,84.49326,21.87677,0.006176007,1.31942,4.680851,8.887187635,0.002622,0.001036904,0.116674,8.326332951
2008.008334,0.002093687,0.3551905,74.97132,21.84222,0.006146019,1.297262,4.737685,8.860686778,0.002862,0.001016723,0.114745,8.30477988
2008.158334,0.00202687,0.3615188,75.75467,21.90347,0.006155025,1.289758,4.772231,8.858302777,0.002778,0.001004309,0.113375,8.308371237
2008.228334,0.001935086,0.3870957,81.27577,22.00212,0.006375781,1.338678,4.762745,8.9038526,0.002637,0.001020613,0.114626,8.331129613
2008.328334,0.001805519,0.4177134,91.34084,22.79582,0.006594229,1.441951,4.573129,8.973551971,0.002537,0.001059734,0.118095,8.412218424
2008.408334,0.001674957,0.4659349,107.3226,23.67028,0.006790968,1.564219,4.341444,9.046089841,0.00234,0.001090152,0.120511,8.481531956
2008.674124,0.001802101,0.4808514,111.8594,23.57215,0.006778915,1.576964,4.298711,9.065269192,0.002303,0.001107562,0.122176,8.462173345
2008.816229,0.001990979,0.4200628,94.50383,22.73709,0.006481983,1.458288,4.444928,8.950493396,0.002583,0.001085223,0.121247,8.399070372
2008.958334,0.002263805,0.3564193,76.87711,21.626,0.006058895,1.306861,4.636222,8.846227894,0.002947,0.001050443,0.118745,8.288676451
2009.058334,0.002268859,0.3337494,72.74587,21.21205,0.006063074,1.321541,4.587882,8.842333783,0.003196,0.001066724,0.120638,8.261693794
2009.108334,0.002401544,0.331198,72.72334,21.62265,0.005859255,1.286556,4.554218,8.846963003,0.003273,0.001084059,0.122535,8.291600105
2009.158334,0.002336063,0.3405074,72.9788,21.49415,0.006024307,1.291152,4.665841,8.843470311,0.003084,0.001050253,0.11876,8.282361804
