Age,LuminRange
1825,0.062
1826,0.055
1827,0.155
1828,0.135
1829,0.053
1830,0.131
1831,0.124
1832,0.179
1833,0.104
1834,0.193
1835,0.075
1836,0.078
1837,0.065
1838,0.028
1839,0.124
1840,0.04
1841,0.105
1842,0.096
1843,0.098
1844,0.098
1845,0.143
1846,0.055
1847,0.088
1848,0.133
1849,0.172
1850,0.027
1851,0.153
1852,0.011
1853,0.167
1854,0.055
1855,0.082
1856,0.313
1857,0.065
1858,0.143
1859,0.107
1860,0.066
1861,0.232
1862,0.081
1863,0.193
1864,0.235
1865,0.147
1866,0.163
1867,0.073
1868,0.068
1869,0.177
1870,0.029
1871,0.095
1872,0.106
1873,0.208
1874,0.172
1875,0.065
1876,0.129
1877,0.141
1878,0.205
1879,0.149
1880,0.135
1881,0.05
1882,0.054
1883,0.123
1884,0.039
1885,0.048
1886,0.07
1887,0.192
1888,0.081
1889,0.031
1890,0.294
1891,0.127
1892,0.015
1893,0.181
1894,0.165
1895,0.195
1896,0.223
1897,0.014
1898,0.283
1899,0.138
1900,0.03
1901,0.111
1902,0.032
1903,0.111
1904,0.156
1905,0.126
1906,0.145
1907,0.024
1908,0.171
1909,0.058
1910,0.234
1911,0.208
1912,0.015
1913,0.147
1914,0.126
1915,0.049
1916,0.093
1917,0.188
1918,0.284
1919,0.181
1920,0.208
1921,0.058
1922,0.028
1923,0.12
1924,0.069
1925,0.059
1926,0.136
1927,0.164
1928,0.169
1929,0.171
1930,0.179
1931,0.072
1932,0.104
1933,0.085
1934,0.125
1935,0.066
1936,0.14
1937,0.056
1938,0.03
1939,0.049
1940,0.197
1941,0.071
1942,0.069
1943,0.173
1944,0.066
1945,0.06
1946,0.099
1947,0.054
1948,0.186
1949,0.142
1950,0.129
1951,0.027
1952,0.215
1953,0.177
1954,0.22
1955,0.216
1956,0.083
1957,0.227
1958,0.157
1959,0.074
1960,0.067
1961,0.125
1962,0.121
1963,0.117
1964,0.03
1965,0.042
1966,0.092
1967,0.111
1968,0.171
1969,0.237
1970,0.211
1971,0.332
1972,0.088
1973,0.208
1974,0.372
1975,0.126
1976,0.152
1977,0.049
1978,0.127
1979,0.193
1980,0.114
1981,0.079
1982,0.103
1983,0.11
1984,0.072
1985,0.106
1986,0.066
1987,0.068
1988,0.193
1989,0.178
1990,0.194
