Age,SrCa
-4946.418,9.327
-4946.5847,9.309
-4946.7513,9.202
-4946.918,9.029
-4947.0847,9.063
-4947.2513,9.11
-4947.418,9.326
-4947.5609,9.216
-4947.7037,9.145
-4947.8466,8.995
-4947.9894,9.084
-4948.1323,9.162
-4948.2751,9.274
-4948.418,9.337
-4948.5609,9.215
-4948.7037,9.072
-4948.8466,9.042
-4948.9894,9.049
-4949.1323,9.115
-4949.2751,9.231
-4949.418,9.262
-4949.5609,9.223
-4949.7037,9.053
-4949.8466,9.011
-4949.9894,8.943
-4950.1323,9.048
-4950.2751,9.092
-4950.418,9.288
-4950.543,9.217
-4950.668,9.084
-4950.793,9.023
-4950.918,9.014
-4951.043,9.087
-4951.168,9.112
-4951.293,9.267
-4951.418,9.328
-4951.5609,9.091
-4951.7037,9.018
-4951.8466,9.013
-4951.9894,9.072
-4952.1323,9.123
-4952.2751,9.318
-4952.418,9.332
-4952.618,9.193
-4952.818,9.121
-4953.018,9.04
-4953.218,9.24
-4953.418,9.276
-4953.543,9.248
-4953.668,9.119
-4953.793,9.086
-4953.918,9.048
-4954.043,9.196
-4954.168,9.112
-4954.293,9.247
-4954.418,9.253
-4954.543,9.214
-4954.668,9.096
-4954.793,9.067
-4954.918,8.98
-4955.043,9.017
-4955.168,9.126
-4955.293,9.305
-4955.418,9.356
-4955.618,9.169
-4955.818,9.136
-4956.018,9.105
-4956.218,9.275
-4956.418,9.341
-4956.56086,9.259
-4956.70371,9.245
-4956.84657,9.202
-4956.98943,9.149
-4957.13229,9.195
-4957.27514,9.229
-4957.418,9.302
-4957.58467,9.148
-4957.75133,9.102
-4957.918,9.038
-4958.08467,9.105
-4958.25133,9.304
-4958.418,9.332
-4958.518,9.253
-4958.618,9.243
-4958.718,9.123
-4958.818,9.057
-4958.918,8.991
-4959.018,9.033
-4959.118,9.214
-4959.218,9.087
-4959.318,9.288
-4959.418,9.317
-4959.58467,9.102
-4959.75133,9.084
-4959.918,9.043
-4960.08467,9.217
-4960.25133,9.287
-4960.418,9.34
-4960.58467,9.216
-4960.75133,9.056
-4960.918,9.054
-4961.08467,9.097
-4961.25133,9.284
-4961.418,9.345
-4961.56086,9.33
-4961.70371,9.117
-4961.84657,9.093
-4961.98943,9.043
-4962.13229,9.159
-4962.27514,9.251
-4962.418,9.363
-4962.543,9.334
-4962.668,9.175
-4962.793,9.056
-4962.918,9.03
-4963.043,9.039
-4963.168,9.2
-4963.293,9.292
-4963.418,9.427
