Age,Ba138Ca,BaCa,BCa,CdCa,LiCa,MgCa,MnCa,PbCa,PCa,SrCa,UCa,YCa,Dist
1934.601648,0.00401438,0.00389885,0.410349,-3.17E-06,0.00961966,6.025802,0.0321059,0.000685776,0.395737,9.101975642,0.00166415,0.000601633,816.696618
1934.615613,0.00402091,0.0037931,0.364923,1.55E-05,0.00778512,6.42551,0.0195183,0.0005287,0.363505,9.225840639,0.00152254,0.000576299,816.5209423
1934.629578,0.00388543,0.00398266,0.396167,7.11E-06,0.00711857,5.451573,0.0132431,0.000473677,0.304144,9.440476706,0.00144262,0.000331848,816.3452666
1934.643543,0.00419881,0.00419501,0.428,6.11E-06,0.00793688,4.738054,0.00304714,0.000474145,0.236875,9.550806758,0.00140088,0.000245491,816.169591
1934.657509,0.00352978,0.00393559,0.434258,2.73E-06,0.007294,3.99402,0.00228435,0.000478753,0.226663,9.473743366,0.00147244,0.000253274,815.9939153
1934.671474,0.0024252,0.00257802,0.176704,2.63E-06,0.00731627,2.344148,0.00347241,0.000365731,0.403708,10.1227967,0.00198431,0.000274633,815.8182396
1934.685439,0.0036566,0.00317131,0.265726,1.67E-05,0.00699994,3.119757,0.00650312,0.000470787,0.349423,9.852394932,0.00179079,0.000325259,815.6425639
1934.699404,0.00380747,0.00360973,0.355116,1.25E-05,0.00775411,2.753906,0.0264861,0.000585181,0.26696,9.756760627,0.00144786,0.00060118,815.4668883
1934.71337,0.0030582,0.00308747,0.310597,2.59E-06,0.00649924,2.277177,0.0183163,0.000480708,0.29144,9.831947068,0.00139364,0.000745496,815.2912126
1934.727335,0.00355086,0.00350165,0.390252,4.61E-05,0.00727907,2.868873,0.0146525,0.00070586,0.22967,9.769116081,0.0013796,0.000525865,815.1155369
1934.7413,0.00348481,0.00348573,0.380164,2.50E-06,0.0071087,2.165978,0.011128,0.000528449,0.248416,9.780890778,0.00141596,0.000563245,814.9398612
1934.755265,0.00380566,0.00374004,0.401139,6.18E-06,0.00753876,2.669043,0.00660148,0.000671381,0.220114,9.777698168,0.00145363,0.00055261,814.7641856
1934.76923,0.00392756,0.00410561,0.414424,2.60E-05,0.00960696,3.492093,0.0230796,0.000796342,0.29329,9.379800356,0.00152921,0.000566477,814.5885099
1934.783196,0.00410596,0.00396915,0.49721,2.22E-05,0.00796279,3.662113,0.0169503,0.000764399,0.202578,9.478008178,0.0015629,0.000482991,814.4128342
1934.797161,0.00346705,0.0036218,0.4266,7.52E-06,0.00958778,3.38569,0.0207579,0.000621872,0.228073,9.470646741,0.00156726,0.000720191,814.2371585
1934.811126,0.0042703,0.00416996,0.533708,6.69E-06,0.00843198,4.142224,0.0355565,0.000957084,0.17226,9.135500671,0.00143065,0.000495203,814.0614829
1934.825091,0.00428845,0.00439637,0.482282,7.13E-06,0.00803529,3.852551,0.0158806,0.000622353,0.193225,9.469526582,0.00142728,0.000524787,813.8858072
1934.839056,0.00341202,0.00397996,0.461901,2.98E-06,0.0103115,3.323091,0.0230586,0.000603665,0.198675,9.234792426,0.00134515,0.000487846,813.7101315
1934.853022,0.00370603,0.00354802,0.351405,9.22E-06,0.00966507,3.123024,0.0239651,0.000769186,0.267878,9.281217618,0.00136152,0.000599545,813.5344558
1934.866987,0.00406216,0.00374923,0.375357,8.97E-06,0.00920122,3.440573,0.0183522,0.000942238,0.25681,9.035955287,0.00126842,0.000449131,813.3587801
1934.880952,0.00495657,0.00419941,0.370084,1.61E-06,0.016746,4.7058,0.0259749,0.00112934,0.259579,9.178118073,0.0013304,0.000614512,813.1831045
1934.894917,0.00366332,0.0044793,0.443187,8.12E-06,0.00889367,4.473483,0.00778634,0.000968761,0.184515,8.805910982,0.00112022,0.000312959,813.0074288
1934.908883,0.00341031,0.00387246,0.447739,8.23E-06,0.00870349,3.980664,0.0125578,0.00125134,0.195149,9.1661664,0.0012446,0.000416565,812.8317531
1934.922848,0.00328694,0.0035482,0.387455,7.48E-06,0.00521356,3.026112,0.00575985,0.000671374,0.134702,9.156502699,0.00125895,0.000372137,812.6560774
1934.936813,0.00314085,0.00322978,0.336312,4.27E-06,0.00558403,2.727359,0.00553326,0.000488717,0.165227,9.197254831,0.00127781,0.000440499,812.4804018
1934.950778,0.00319107,0.00334032,0.327296,2.69E-05,0.00658692,2.595264,0.00389422,0.00056671,0.214651,9.261500439,0.0013118,0.000426543,812.3047261
1934.964743,0.00330482,0.00339318,0.363263,9.71E-06,0.00617243,3.196804,0.00375082,0.000884714,0.17542,9.359615316,0.00127132,0.000422742,812.1290504
1934.978709,0.00403712,0.00383253,0.399861,3.17E-06,0.00627727,3.277867,0.0029589,0.00103738,0.160921,9.070572908,0.00126635,0.000364615,811.9533747
1934.992674,0.00344069,0.00356294,0.365997,3.20E-06,0.00599819,3.286316,0.00313962,0.000748051,0.17699,9.082019501,0.00126126,0.000418656,811.7776991
1935.006639,0.0034789,0.00327182,0.45246,2.84E-05,0.00676649,2.597976,0.00491134,0.000942197,0.250768,9.281543946,0.00136872,0.000470493,811.6020234
1935.020604,0.00336787,0.00333589,0.307697,1.95E-06,0.00632711,2.492826,0.00442618,0.00109118,0.245934,9.414289889,0.00130771,0.000392996,811.4263477
1935.03457,0.0031022,0.00316824,0.295847,1.59E-06,0.0057481,2.204378,0.00575216,0.000620103,0.253065,9.530885164,0.00141167,0.00049651,811.250672
1935.048535,0.00304188,0.00275391,0.259798,3.29E-05,0.00582928,2.260295,0.00488746,0.000685073,0.296579,9.382650676,0.00138139,0.000580479,811.0749964
1935.0625,0.00309848,0.00307562,0.312013,1.33E-05,0.0060029,2.792765,0.00289851,0.000910506,0.237416,9.151580961,0.00124937,0.000409989,810.8993207
1935.076465,0.003453,0.00325182,0.301628,2.65E-06,0.00576742,2.546077,0.00332843,0.000637039,0.239272,9.455936605,0.00139012,0.000485491,810.723645
1935.09043,0.00371944,0.00355953,0.345976,2.31E-05,0.00515392,3.209886,0.000987077,0.000950203,0.09582,8.983889342,0.00121252,0.000231232,810.5479693
1935.104396,0.00323801,0.00335527,0.374017,7.13E-06,0.00494679,3.178407,0.00107676,0.00111517,0.0931611,8.901078531,0.00116324,0.000256322,810.3722937
1935.123521,0.00367885,0.00347963,0.433479,7.99E-06,0.00533414,3.487126,0.000994369,0.000804764,0.0660133,9.033518508,0.00115338,0.000260069,810.196618
1935.142646,0.0034497,0.0034855,0.379653,-3.09E-06,0.00501237,3.381426,0.000961433,0.000982867,0.103212,8.956531274,0.00116204,0.000202631,810.0209423
1935.161771,0.00397316,0.00368817,0.417081,-3.01E-06,0.00534678,3.394765,0.00194972,0.0014617,0.10372,9.001959039,0.0011927,0.000226779,809.8452666
1935.180896,0.00339549,0.00346361,0.383701,1.11E-05,0.00514137,3.18483,0.00279345,0.000951004,0.0899506,8.911915225,0.00119627,0.000208177,809.669591
1935.200021,0.00322753,0.00303558,0.288247,6.68E-06,0.00445897,2.390815,0.00188176,0.000828386,0.142801,9.33036195,0.0012363,0.000277642,809.4939153
1935.219146,0.0031736,0.00341322,0.359912,2.66E-06,0.00473274,2.663114,0.00133729,0.000993337,0.112635,9.085024637,0.00117586,0.000268825,809.3182396
1935.238271,0.00340654,0.00345895,0.356253,1.34E-05,0.00489198,2.606222,0.00136682,0.000915427,0.122162,9.085790516,0.00124576,0.000250165,809.1425639
1935.257396,0.00345828,0.00353667,0.378312,8.02E-06,0.00491416,2.716159,0.00149241,0.000703626,0.120608,9.164528601,0.00125921,0.000239692,808.9668883
1935.276521,0.00323949,0.00294548,0.281633,4.51E-06,0.00418852,1.928391,0.00168613,0.000611479,0.148967,9.454687775,0.00137437,0.00026812,808.7912126
