Age,d98Mo,Fe,Mn,Mo,Ti
1970,0.79,3.576,0.173,0.0159,0.0775
1971,0.81,2.791,0.159,0.0202,0.133
1972,0.71,2.116,0.135,0.0216,0.102
1973,0.66,8.223,0.183,0.0207,0.134
1974,1.01,3.6,0.186,0.0205,0.12
1975,1.07,2.833,0.164,0.0204,0.101
1976,1.1,2.928,0.164,0.0195,0.138
1977,1.1,NA,NA,0.019,NA
1978,1.24,NA,NA,0.018,NA
1979,1.04,NA,NA,0.0198,NA
1980,1.19,NA,NA,0.0167,NA
1981,1.17,NA,NA,0.0189,NA
1982,1.48,NA,NA,0.016,NA
1983,0.63,1.737,0.175,0.0328,0.141
1984,0.95,6.494,0.186,0.0236,0.135
1985,1.38,5.962,0.197,0.0181,0.147
1986,1.62,2.215,0.227,0.0139,0.115
1987,1.29,3.067,0.309,0.0168,0.145
1988,1.46,4.529,0.249,0.0156,0.113
1989,1.35,9.447,0.199,0.0143,0.146
1990,1.53,4.574,0.167,0.0144,0.148
1991,1.39,2.919,0.197,0.0138,0.127
1992,1.52,6.181,0.175,0.0134,0.0951
1993,1.63,2.371,0.153,0.013,0.103
1994,1.65,1.715,0.137,0.0127,0.119
1995,1.49,2.103,0.142,0.0144,0.129
1996,1.26,3.815,0.17,0.0165,0.118
1997,1.34,4.09,0.174,0.0171,0.192
1998,1.73,4.311,0.189,0.0137,0.174
1999,1.52,2.389,0.161,0.014,0.155
2000,1.59,5.412,0.198,0.0136,0.166
2001,1.18,5.253,0.182,0.0159,0.171
2002,1.69,2.087,0.17,0.0136,0.164
2003,1.6,2.154,0.159,0.015,0.149
2004,1.39,2.227,0.177,0.0145,0.17
2005,1.24,8.091,0.386,0.018,0.254
2006,1.44,4.509,0.198,0.0167,0.231
2007,1.43,3.649,0.208,0.018,0.187
2008,1.67,NA,NA,0.0181,NA
2009,1.29,NA,NA,0.0232,NA
