Age,Ba138Ca,BaCa,BCa,CdCa,LiCa,MgCa,MnCa,PbCa,PCa,SrCa,UCa,YCa,Distance
1987.601648,0.00337609,0.00322146,0.639135,-1.54E-06,0.0065651,2.89506,0.000454055,4.80E-05,0.000210377,9.321736185,0.00157937,0.000336528,452.2456865
1987.61334,0.00350201,0.00322366,0.612973,8.21E-06,0.00686757,2.771734,0.000480074,5.59E-05,0.00236708,9.336537312,0.00159507,0.00039475,452.0698623
1987.625031,0.00313939,0.00332882,0.653324,1.34E-05,0.00655477,2.78706,0.000472601,5.46E-05,-0.000541137,9.241254614,0.00160817,0.000417587,451.8940381
1987.636723,0.00371213,0.00367394,0.659797,2.58E-06,0.00692008,2.831038,0.000555676,5.19E-05,0.00068642,9.379919105,0.0015851,0.000369058,451.718214
1987.648415,0.0039775,0.00396211,0.65299,8.43E-06,0.00717044,2.834546,0.000575352,6.82E-05,0.00296187,9.140833953,0.00158353,0.000435039,451.5423898
1987.660107,0.00398126,0.00398483,0.655475,2.81E-06,0.00711568,2.774781,0.000705279,6.03E-05,0.00167164,9.160712045,0.00149484,0.00039544,451.3665656
1987.671799,0.00369044,0.00384154,0.646939,-3.95E-06,0.00702015,2.898911,0.000623476,5.44E-05,0.000624663,9.128829344,0.00139133,0.000348965,451.1907414
1987.68349,0.00383341,0.00365395,0.666267,1.60E-05,0.00682961,2.921871,0.000696504,9.22E-05,0.00184819,9.2645307,0.00144409,0.000344285,451.0149173
1987.695182,0.00333809,0.00325314,0.651534,5.22E-06,0.00647251,2.706256,0.000611625,9.87E-05,0.00180554,9.239344383,0.00150812,0.000377833,450.8390931
1987.706874,0.00308291,0.00327906,0.629294,2.71E-06,0.00634619,2.667374,0.000653957,6.87E-05,0.000856031,9.200765467,0.00151201,0.000409335,450.6632689
1987.718566,0.00306962,0.0032939,0.669548,5.06E-06,0.00682214,2.931124,0.000644039,6.05E-05,-0.00104306,9.217506279,0.00146632,0.000337744,450.4874447
1987.730258,0.00330206,0.00336612,0.655288,7.92E-06,0.00665752,2.914427,0.000684354,6.04E-05,0.000524612,9.074368735,0.00142856,0.000422722,450.3116206
1987.74195,0.00346888,0.00350866,0.669344,3.11E-06,0.00687162,2.996662,0.000760163,5.63E-05,0.00041085,9.252623022,0.00146539,0.000359881,450.1357964
1987.753641,0.00372749,0.00356135,0.643199,7.83E-07,0.00708478,3.060786,0.000750172,5.46E-05,0.00192454,9.102121119,0.00143048,0.000351025,449.9599722
1987.765333,0.00416004,0.00424567,0.673321,7.87E-06,0.00768564,3.463471,0.0009367,5.55E-05,-0.000684788,9.150314423,0.00132993,0.000308443,449.784148
1987.777025,0.00455233,0.00411436,0.677886,7.05E-06,0.00782709,3.4717,0.00113368,4.98E-05,0.00236612,9.11670373,0.00126957,0.000317458,449.6083239
1987.788717,0.00368275,0.00374292,0.641497,4.66E-06,0.00783055,3.635767,0.000880981,4.01E-05,0.00121214,8.995873101,0.00122883,0.000181941,449.4324997
1987.800409,0.00339197,0.0034152,0.616898,1.10E-05,0.00680618,3.33098,0.000803771,4.26E-05,-0.00183039,9.062778586,0.00134968,0.000291817,449.2566755
1987.8121,0.00384302,0.00367027,0.604331,-1.62E-06,0.00635558,3.045891,0.000665704,5.72E-05,1.54E-05,8.980221817,0.00145988,0.000381248,449.0808513
1987.823792,0.00416439,0.00390653,0.621805,8.71E-07,0.00666708,3.383173,0.000775525,5.36E-05,-0.00568899,8.974215476,0.00133146,0.000358404,448.9050272
1987.835484,0.00416245,0.00405281,0.629506,9.66E-06,0.00717125,3.604104,0.000697882,5.86E-05,0.000841194,9.016515192,0.00124148,0.000405157,448.729203
1987.847176,0.00443133,0.00437571,0.615886,2.78E-06,0.00690303,3.612781,0.000766951,5.31E-05,0.0020809,8.985743827,0.00128916,0.000422996,448.5533788
1987.858868,0.00443402,0.00416011,0.611452,2.91E-06,0.00687861,3.589089,0.000847997,6.09E-05,0.00125596,8.949656765,0.00129735,0.000464544,448.3775546
1987.870559,0.00415713,0.004181,0.621509,5.88E-07,0.00709002,3.943412,0.000994753,5.99E-05,0.00266217,8.868043068,0.00116866,0.000568356,448.2017305
1987.882251,0.004323,0.0043187,0.573599,2.41E-06,0.00629921,3.922201,0.00116211,7.44E-05,-0.000124028,8.766872724,0.00115558,0.000858957,448.0259063
1987.893943,0.00524425,0.00541754,0.593608,8.34E-06,0.00676478,3.826278,0.00111876,8.68E-05,0.00446593,9.013257723,0.00124429,0.000956556,447.8500821
1987.905635,0.00534252,0.00535886,0.576031,4.32E-07,0.00668602,4.271826,0.00112758,6.41E-05,0.0040309,8.862863948,0.00114901,0.000587719,447.6742579
1987.917327,0.00658111,0.00681069,0.563885,-5.35E-06,0.00629022,3.847103,0.00112317,5.47E-05,0.00326244,8.899718865,0.00123928,0.000538682,447.4984338
1987.929018,0.00685366,0.00681689,0.543824,2.51E-06,0.00684964,4.113565,0.00102486,6.02E-05,0.00307399,8.91333786,0.0011676,0.000501736,447.3226096
1987.94071,0.00685832,0.00636369,0.529073,6.54E-06,0.00681129,4.191047,0.00108291,5.35E-05,0.00199983,8.801924037,0.00116546,0.000417262,447.1467854
1987.952402,0.00659057,0.00646434,0.499029,2.27E-06,0.00636167,4.273805,0.00105783,4.94E-05,-1.08E-05,8.663052339,0.00115953,0.000549929,446.9709612
1987.964094,0.00705473,0.00724542,0.533008,5.50E-06,0.00745083,5.04697,0.00126051,5.51E-05,0.00221933,8.705941398,0.00101925,0.000364026,446.795137
1987.975786,0.00848864,0.00833522,0.542952,7.89E-06,0.00727525,4.641397,0.00124989,5.75E-05,0.00324357,8.777505625,0.00108746,0.000405232,446.6193129
1987.987477,0.00851965,0.00849025,0.540382,4.57E-07,0.00730927,4.900778,0.0011559,4.53E-05,0.0033826,8.75020278,0.00101918,0.000303112,446.4434887
1987.999169,0.0084623,0.00831326,0.546786,3.62E-07,0.00678796,4.095764,0.00109848,6.99E-05,0.00188928,8.887269383,0.00121834,0.000510741,446.2676645
1988.010861,0.00648219,0.00671961,0.510053,4.60E-07,0.00607648,3.641947,0.000949373,5.42E-05,0.00134247,8.801865115,0.0012759,0.000517936,446.0918403
1988.022553,0.00537726,0.00580591,0.534229,-1.59E-06,0.00656839,4.118864,0.00109286,4.81E-05,0.00142585,8.76482652,0.00112607,0.000390929,445.9160162
1988.034245,0.00484194,0.00482818,0.508765,4.67E-07,0.00618556,3.958268,0.000996341,5.40E-05,0.00220941,8.868765057,0.00120132,0.000500985,445.740192
1988.045937,0.0049554,0.00475158,0.5084,8.18E-06,0.00631414,4.008598,0.00099092,6.86E-05,0.000493063,8.757789031,0.00117886,0.000520611,445.5643678
1988.057628,0.00497804,0.00484563,0.528862,2.59E-06,0.00664674,4.347109,0.000987004,4.93E-05,0.0035686,8.665243899,0.00108946,0.000366953,445.3885436
1988.06932,0.00492098,0.00488138,0.501679,2.64E-06,0.00668872,4.500881,0.00101017,4.59E-05,0.002503,8.672299119,0.00102276,0.000304016,445.2127195
1988.081012,0.00469218,0.00466812,0.500439,3.15E-06,0.00653705,4.120422,0.00102431,5.29E-05,0.000568894,8.629056725,0.00110194,0.000390228,445.0368953
1988.092704,0.0045827,0.00469901,0.484528,-1.72E-06,0.00599482,3.729964,0.00103311,5.58E-05,0.00255299,8.828274489,0.00121734,0.000470766,444.8610711
1988.104396,0.00480867,0.00486115,0.471029,4.48E-07,0.00610025,3.857281,0.00103018,5.80E-05,-0.000750196,8.64955653,0.0011446,0.000451453,444.6852469
1988.111817,0.00542438,0.00544614,0.503323,-1.78E-06,0.00689433,4.460423,0.00110674,5.82E-05,0.000347412,8.745421738,0.00102472,0.000361051,444.5094228
1988.119239,0.00556128,0.0052101,0.479914,3.30E-06,0.00658914,4.435883,0.00112549,4.30E-05,-0.00057508,8.611932917,0.00101892,0.00028684,444.3335986
1988.126661,0.00569689,0.00516669,0.484599,2.71E-07,0.00651837,4.342679,0.00109728,5.42E-05,0.00228527,8.717680848,0.00107803,0.000346431,444.1577744
1988.134082,0.00503914,0.00529632,0.460691,7.91E-06,0.00641602,4.28383,0.00102701,5.79E-05,0.000892991,8.713132738,0.00112867,0.000478917,443.9819502
1988.141504,0.00499943,0.00484098,0.485909,1.41E-06,0.00650982,4.405822,0.000867658,6.31E-05,0.00223086,8.662145139,0.0010635,0.000425636,443.8061261
1988.148926,0.00470956,0.00503158,0.494239,6.61E-07,0.00668932,4.395857,0.000876515,5.85E-05,-0.000308493,8.762301404,0.00106519,0.000453604,443.6303019
1988.156347,0.00573586,0.00530889,0.524722,4.03E-06,0.00730514,4.73431,0.000959863,5.45E-05,0.00140603,8.665721978,0.000984404,0.000274517,443.4544777
1988.163769,0.00505751,0.00510835,0.488273,1.04E-05,0.00626199,4.372499,0.00105104,5.86E-05,0.00181735,8.734878925,0.00106311,0.000378029,443.2786535
1988.171191,0.00553329,0.00540994,0.526332,-1.54E-06,0.0067918,4.480578,0.000943907,4.64E-05,0.00248726,8.76515693,0.00107536,0.000336253,443.1028294
1988.178612,0.00557699,0.00549008,0.498365,5.10E-07,0.00645496,4.176337,0.00096739,4.68E-05,0.0032905,8.622470797,0.00106725,0.00032777,442.9270052
1988.186034,0.00616444,0.0059627,0.489303,2.48E-06,0.00617557,3.772584,0.00103902,5.41E-05,0.00343795,8.856009585,0.00122884,0.000502025,442.751181
1988.193456,0.00545777,0.0056726,0.504732,1.54E-06,0.00646815,3.943953,0.00128227,7.38E-05,0.00123926,8.719097529,0.00112343,0.000437504,442.5753568
1988.200877,0.00597751,0.005958,0.499852,6.88E-06,0.00639791,3.864809,0.00091841,5.21E-05,0.00358796,8.722760022,0.00116597,0.000457909,442.3995327
1988.208299,0.00623944,0.00596809,0.499539,3.53E-06,0.00602403,3.979463,0.000984775,4.94E-05,-0.00113192,8.795566152,0.00116894,0.000432831,442.2237085
1988.215721,0.00617951,0.00602406,0.518553,2.21E-06,0.00652205,4.362311,0.00100061,4.53E-05,-0.00111469,8.665807079,0.00111163,0.000376213,442.0478843
1988.223142,0.00578473,0.00589681,0.516167,3.96E-06,0.00658474,4.258463,0.000865724,4.29E-05,-0.000925943,8.730547732,0.00105392,0.000332248,441.8720601
1988.230564,0.00769523,0.00764613,0.513344,1.48E-05,0.00667501,3.956134,0.000980984,5.83E-05,0.0017142,8.832179296,0.0011763,0.000425045,441.6962359
1988.237986,0.00812563,0.00817977,0.512116,9.29E-07,0.00668908,3.818842,0.000835563,5.10E-05,0.00158231,8.897106942,0.00123212,0.000449493,441.5204118
