"Age","LuminRange"
1972,0.451
1973,0.231
1974,0.761
1975,0.311
1976,0.333
1977,0.37
1978,0.265
1979,0.512
1980,0.126
1981,0.655
1982,0.226
1983,0.361
1984,0.195
1985,0.147
1986,0.244
1987,0.076
1988,0.27
1989,0.4
1990,0.381
1991,0.838
1992,0.07
1993,0.137
1994,0.204
1995,0.124
1996,0.186
1997,0.401
1998,0.446
1999,0.188
2000,0.491
2001,0.215
2002,0.286
