Age,LuminRange
1888,0.105
1889,0.115
1890,0.239
1891,0.206
1892,0.246
1893,0.277
1894,0.221
1895,0.172
1896,0.224
1897,0.112
1898,0.23
1899,0.23
1900,0.109
1901,0.129
1902,0.162
1903,0.277
1904,0.264
1905,0.193
1906,0.176
1907,0.088
1908,0.178
1909,0.068
1910,0.228
1911,0.244
1912,0.103
1913,0.198
1914,0.092
1915,0.084
1916,0.116
1917,0.16
1918,0.197
1919,0.237
1920,0.075
1921,0.197
1922,0.34
1923,0.155
1924,0.216
1925,0.115
1926,0.175
1927,0.089
1928,0.29
1929,0.205
1930,0.168
1931,0.174
1932,0.103
1933,0.202
1934,0.213
1935,0.217
1936,0.202
1937,0.234
1938,0.143
1939,0.083
1940,0.223
1941,0.325
1942,0.305
1943,0.111
1944,0.196
1945,0.147
1946,0.216
1947,0.146
1948,0.108
1949,0.136
1950,0.329
1951,0.351
1952,0.153
1953,0.17
1954,0.209
1955,0.146
1956,0.261
1957,0.178
1958,0.215
1959,0.275
1960,0.209
1961,0.105
1962,0.297
1963,0.273
1964,0.25
1965,0.191
1966,0.151
1967,0.228
1968,0.207
1969,0.135
1970,0.219
1971,0.349
1972,0.285
1973,0.347
1974,0.463
1975,0.228
1976,0.253
1977,0.31
1978,0.128
1979,0.231
1980,0.191
1981,0.189
1982,0.186
1983,0.216
