Age,SrCa,Dist
2010.4,9.10312,22.5
2010.44,9.1371,22
2010.47,9.19498,21.5
2010.51,9.21947,21
2010.55,9.23455,20.5
2010.59,9.31577,20
2010.63,9.35393,19.5
2010.67,9.23281,19
2010.72,9.24071,18.5
2010.76,9.21448,18
2010.81,9.31028,17.5
2010.85,9.24166,17
2010.9,9.14442,16.5
2010.94,9.20739,16
2010.99,9.03688,15.5
2011.04,9.03166,15
2011.08,9.0775,14.5
2011.13,8.88907,14
2011.18,9.08392,13.5
2011.23,9.06465,13
2011.28,9.16323,12.5
2011.33,9.08425,12
2011.38,9.26271,11.5
2011.43,9.16412,11
2011.48,9.32758,10.5
2011.52,9.39026,10
2011.57,9.37576,9.5
2011.62,9.48232,9
2011.67,9.46826,8.5
2011.72,9.45417,8
2011.76,9.24917,7.5
2011.81,9.32816,7
2011.85,9.30884,6.5
2011.9,9.25078,6
2011.94,9.19229,5.5
2011.99,9.12319,5
2012.03,9.29445,4.5
2012.08,9.03878,4
2012.12,8.89441,3.5
