Age,Lumin
1976.596204,1.01265
1976.615435,0.997938
1976.634666,0.981159
1976.653897,0.962316
1976.673128,0.945818
1976.692358,0.933349
1976.711589,0.922278
1976.73082,0.917408
1976.750051,0.912538
1976.769282,0.901964
1976.788512,0.891389
1976.807743,0.892336
1976.826974,0.895034
1976.846205,0.895258
1976.865436,0.894339
1976.884666,0.893601
1976.903897,0.893042
1976.923128,0.891653
1976.942359,0.888839
1976.96159,0.887001
1976.98082,0.88949
1977.000051,0.89198
1977.019282,0.903841
1977.038513,0.915701
1977.057744,0.920788
1977.076974,0.924846
1977.096205,0.931684
1977.115436,0.939805
1977.134667,0.948882
1977.153898,0.958914
1977.173128,0.968956
1977.192359,0.979016
1977.21159,0.988985
1977.230821,0.998547
1977.250052,1.008109
1977.269282,1.007585
1977.288513,1.00706
1977.307744,1.006687
1977.326975,1.006338
1977.346206,1.004826
1977.365436,1.002779
1977.384667,1.003792
1977.403898,1.007865
1977.423129,1.013282
1977.44236,1.021007
1977.46159,1.029289
1977.480821,1.040042
1977.500052,1.050794
1977.519283,1.050663
1977.538514,1.050532
1977.557744,1.047469
1977.576975,1.043961
1977.596206,1.037952
1977.615437,1.030371
1977.634668,1.021741
1977.653898,1.008981
1977.673129,0.993761
1977.69236,0.986093
1977.711591,0.987688
1977.730822,0.991473
1977.750052,0.993136
1977.769283,0.997975
1977.788514,1.00145
1977.807745,0.995294
1977.826976,0.976999
1977.846206,NA
1977.865437,NA
1977.884668,NA
1977.903899,NA
1977.92313,NA
1977.94236,NA
1977.961591,NA
1977.980822,NA
1978.000053,NA
1978.019284,NA
1978.038514,NA
1978.057745,NA
1978.076976,NA
1978.096207,NA
1978.115438,NA
1978.134668,NA
1978.153899,NA
1978.17313,NA
1978.192361,NA
1978.211592,NA
1978.230822,NA
1978.250053,NA
1978.269284,NA
1978.288515,NA
1978.307746,NA
1978.326976,NA
1978.346207,NA
1978.365438,NA
1978.384669,NA
1978.4039,NA
1978.42313,NA
1978.442361,NA
1978.461592,NA
1978.480823,NA
1978.500054,1.053693
1978.519284,1.054372
1978.538515,1.051964
1978.557746,1.042821
1978.576977,1.035046
1978.596208,1.031266
1978.615438,1.02932
1978.634669,1.029882
1978.6539,1.034268
1978.673131,1.038611
1978.692362,1.042602
1978.711592,1.046592
1978.730823,1.053163
1978.750054,1.0603
1978.769285,1.065349
1978.788516,1.068913
1978.807746,1.075394
1978.826977,1.088811
1978.846208,1.102141
1978.865439,1.104653
1978.88467,1.107165
1978.9039,1.108147
1978.923131,1.108533
1978.942362,1.106624
1978.961593,1.101696
1978.980824,1.095997
1979.000054,1.08572
1979.019285,1.075443
1979.038516,1.062374
1979.057747,1.048835
1979.076978,1.034766
1979.096208,1.020372
1979.115439,1.007534
1979.13467,0.997828
1979.153901,0.988175
1979.173132,0.979685
1979.192362,0.971195
1979.211593,0.960192
1979.230824,0.948378
1979.250055,0.938094
1979.269286,0.929548
1979.288516,0.921935
1979.307747,0.918569
1979.326978,0.915204
1979.346209,0.915696
1979.36544,0.916654
1979.38467,0.914043
1979.403901,0.90956
1979.423132,0.906134
1979.442363,0.90452
1979.461594,0.903123
1979.480824,0.904213
1979.500055,0.905302
1979.519286,0.914647
1979.538517,0.926158
1979.557748,0.937184
1979.576978,0.947734
1979.596209,0.960352
1979.61544,0.980468
1979.634671,1.000584
1979.653902,1.016587
1979.673132,1.032271
1979.692363,1.051639
1979.711594,1.072646
1979.730825,1.096449
1979.750056,1.124375
1979.769286,1.150531
1979.788517,1.163211
1979.807748,1.175892
1979.826979,1.184229
1979.84621,1.191665
1979.86544,1.199847
1979.884671,1.208665
1979.903902,1.216247
1979.923133,1.220163
1979.942364,1.22408
1979.961594,1.21463
1979.980825,1.204683
1980.000056,1.191521
1980.019287,1.176819
1980.038518,1.164058
1980.057748,1.153766
1980.076979,1.143485
1980.09621,1.133269
1980.115441,1.123053
1980.134672,1.120468
1980.153902,1.119083
1980.173133,1.116984
1980.192364,1.114359
1980.211595,1.112986
1980.230826,1.114707
1980.250056,1.116428
1980.269287,1.117044
1980.288518,1.11766
1980.307749,1.116092
1980.32698,1.113642
1980.34621,1.106795
1980.365441,1.095113
1980.384672,1.082308
1980.403903,1.064656
1980.423134,1.047005
1980.442364,1.028023
1980.461595,1.008894
1980.480826,0.992344
1980.500057,0.977427
1980.519288,0.962205
1980.538518,0.946348
1980.557749,0.930776
1980.57698,0.922773
1980.596211,0.914769
1980.615442,0.91237
1980.634672,0.911857
1980.653903,0.915293
1980.673134,0.92249
1980.692365,0.928529
1980.711596,0.930564
1980.730826,0.932599
1980.750057,0.939688
1980.769288,0.947121
1980.788519,0.958257
1980.80775,0.971401
1980.82698,0.98476
1980.846211,0.998497
1980.865442,1.0119
1980.884673,1.021011
1980.903904,1.030122
1980.923134,1.042112
