Age,SrCa
2009.58,9.7793
2010.17,9.472
2010.67,9.7034
2011.17,9.5936
2011.67,9.8295
2012.17,9.5899
2012.58,9.8802
2013.08,9.5672
2013.5,9.7581
2014.08,9.6032
